Id	Style	Refresh	TriggerRules	InitialEventId	RandomProbability	IsShowFightAbility
int	int	int	int	int	mut,int#int,2	mut,int#int,1
1	5	0	0	0	null	null
2	5	0	0	0	null	null
3	5	0	0	0	null	null
4	5	0	0	0	null	null
5	5	0	0	0	null	null
6	5	0	0	0	null	null
7	5	0	0	0	null	null
8	5	0	0	0	null	null
9	5	0	0	0	null	null
10	5	0	0	0	null	null
11	5	0	0	0	null	null
12	5	0	0	0	null	null
12001	0	0	0	0	null	null
12002	0	0	0	0	null	null
100001	0	0	0	0	null	null
100002	0	0	0	0	null	null
100003	0	0	0	0	null	null
100004	0	0	0	0	null	null
100005	0	0	0	0	null	null
100006	0	0	0	0	null	null
100007	0	0	0	0	null	null
100008	0	0	0	0	null	null
101001	0	0	0	0	null	null
101002	0	0	0	0	null	null
101003	0	0	0	0	null	null
101004	0	0	0	0	null	null
101005	0	0	0	0	null	null
101006	0	0	0	0	null	null
101007	0	0	0	0	null	null
101008	0	0	0	0	null	null
101009	0	0	0	0	null	null
101010	0	0	0	0	null	null
101011	0	0	0	0	null	null
101012	0	0	0	0	null	null
101013	0	0	0	0	null	null
101014	0	0	0	0	null	null
101015	0	0	0	0	null	null
101016	0	0	0	0	null	null
101017	0	0	0	0	null	null
101018	0	0	0	0	null	null
101019	0	0	0	0	null	null
101020	0	0	0	0	null	null
101021	0	0	0	0	null	null
101022	0	0	0	0	null	null
101023	0	0	0	0	null	null
102001	0	0	0	0	null	null
102002	0	0	0	0	null	null
102003	0	0	0	0	null	null
102004	0	0	0	0	null	null
102005	0	0	0	0	null	null
102006	0	0	0	0	null	null
102007	0	0	0	0	null	null
102008	0	0	0	0	null	null
102009	0	0	0	0	null	null
102010	0	0	0	0	null	null
102011	0	0	0	0	null	null
102012	0	0	0	0	null	null
102013	0	0	0	0	null	null
102014	0	0	0	0	null	null
102015	0	0	0	0	null	null
102016	0	0	0	0	null	null
102017	0	0	0	0	null	null
103001	0	0	0	0	null	null
103002	0	0	0	0	null	null
103003	0	0	0	0	null	null
103004	0	0	0	0	null	null
103005	0	0	0	0	null	null
103006	0	0	0	0	null	null
103007	0	0	0	0	null	null
103008	0	0	0	0	null	null
103009	0	0	0	0	null	null
103010	0	0	0	0	null	null
103011	0	0	0	0	null	null
103012	0	0	0	0	null	null
103013	0	0	0	0	null	null
103014	0	0	0	0	null	null
103015	0	0	0	0	null	null
103016	0	0	0	0	null	null
103017	0	0	0	0	null	null
104001	0	0	0	0	null	null
104002	0	0	0	0	null	null
104003	0	0	0	0	null	null
104004	0	0	0	0	null	null
104005	0	0	0	0	null	null
104006	0	0	0	0	null	null
104007	0	0	0	0	null	null
104008	0	0	0	0	null	null
104009	0	0	0	0	null	null
104010	0	0	0	0	null	null
104011	0	0	0	0	null	null
104012	0	0	0	0	null	null
104013	0	0	0	0	null	null
105001	0	0	0	0	null	null
105002	0	0	0	0	null	null
105003	0	0	0	0	null	null
105004	0	0	0	0	null	null
105005	0	0	0	0	null	null
105006	0	0	0	0	null	null
105007	0	0	0	0	null	null
105008	0	0	0	0	null	null
105009	0	0	0	0	null	null
105010	0	0	0	0	null	null
105011	0	0	0	0	null	null
105012	0	0	0	0	null	null
105013	0	0	0	0	null	null
105014	0	0	0	0	null	null
105015	0	0	0	0	null	null
105016	0	0	0	0	null	null
105017	0	0	0	0	null	null
105018	0	0	0	0	null	null
105019	0	0	0	0	null	null
105020	0	0	0	0	null	null
105021	0	0	0	0	null	null
106001	0	0	0	0	null	null
106002	0	0	0	0	null	null
106003	0	0	0	0	null	null
106004	0	0	0	0	null	null
106005	0	0	0	0	null	null
106006	0	0	0	0	null	null
106007	0	0	0	0	null	null
106008	0	0	0	0	null	null
106009	0	0	0	0	null	null
106010	0	0	0	0	null	null
106011	0	0	0	0	null	null
106012	0	0	0	0	null	null
106013	0	0	0	0	null	null
106014	0	0	0	0	null	null
106015	0	0	0	0	null	null
106016	0	0	0	0	null	null
106017	0	0	0	0	null	null
106018	0	0	0	0	null	null
106019	0	0	0	0	null	null
106020	0	0	0	0	null	null
107001	0	0	0	0	null	null
107002	0	0	0	0	null	null
107003	0	0	0	0	null	null
107004	0	0	0	0	null	null
107005	0	0	0	0	null	null
107006	0	0	0	0	null	null
107007	0	0	0	0	null	null
107008	0	0	0	0	null	null
107009	0	0	0	0	null	null
107010	0	0	0	0	null	null
107011	0	0	0	0	null	null
107012	0	0	0	0	null	null
107013	0	0	0	0	null	null
107014	0	0	0	0	null	null
107015	0	0	0	0	null	null
107016	0	0	0	0	null	null
107017	0	0	0	0	null	null
107018	0	0	0	0	null	null
107019	0	0	0	0	null	null
107020	0	0	0	0	null	null
107021	0	0	0	0	null	null
108001	0	0	0	0	null	null
108002	0	0	0	0	null	null
108003	0	0	0	0	null	null
108004	0	0	0	0	null	null
108005	0	0	0	0	null	null
108006	0	0	0	0	null	null
108007	0	0	0	0	null	null
108008	0	0	0	0	null	null
108009	0	0	0	0	null	null
108010	0	0	0	0	null	null
108011	0	0	0	0	null	null
108012	0	0	0	0	null	null
108013	0	0	0	0	null	null
108014	0	0	0	0	null	null
108015	0	0	0	0	null	null
108016	0	0	0	0	null	null
108017	0	0	0	0	null	null
108018	0	0	0	0	null	null
109001	0	0	0	0	null	null
109002	0	0	0	0	null	null
109003	0	0	0	0	null	null
109004	0	0	0	0	null	null
109005	0	0	0	0	null	null
109006	0	0	0	0	null	null
109007	0	0	0	0	null	null
109008	0	0	0	0	null	null
109009	0	0	0	0	null	null
109010	0	0	0	0	null	null
109011	0	0	0	0	null	null
109012	0	0	0	0	null	null
109013	0	0	0	0	null	null
109014	0	0	0	0	null	null
109015	0	0	0	0	null	null
109016	0	0	0	0	null	null
109017	0	0	0	0	null	null
109018	0	0	0	0	null	null
109019	0	0	0	0	null	null
109020	0	0	0	0	null	null
109021	0	0	0	0	null	null
109022	0	0	0	0	null	null
109023	0	0	0	0	null	null
109024	0	0	0	0	null	null
109025	0	0	0	0	null	null
109026	0	0	0	0	null	null
109027	0	0	0	0	null	null
109028	0	0	0	0	null	null
109029	0	0	0	0	null	null
109030	0	0	0	0	null	null
109031	0	0	0	0	null	null
109032	0	0	0	0	null	null
109033	0	0	0	0	null	null
109034	0	0	0	0	null	null
109035	0	0	0	0	null	null
109036	0	0	0	0	null	null
109037	0	0	0	0	null	null
110001	0	0	0	0	null	null
110002	0	0	0	0	null	null
110005	0	0	0	0	null	null
110006	0	0	0	0	null	null
110007	0	0	0	0	null	null
110008	0	0	0	0	null	null
110009	0	0	0	0	null	null
110010	0	0	0	0	null	null
110011	0	0	0	0	null	null
110012	0	0	0	0	null	null
110013	0	0	0	0	null	null
110014	0	0	0	0	null	null
110015	0	0	0	0	null	null
110016	0	0	0	0	null	null
110017	0	0	0	0	null	null
110018	0	0	0	0	null	null
110019	0	0	0	0	null	null
110020	0	0	0	0	null	null
111001	0	0	0	0	null	null
111002	0	0	0	0	null	null
111003	0	0	0	0	null	null
111004	0	0	0	0	null	null
111005	0	0	0	0	null	null
111006	0	0	0	0	null	null
111007	0	0	0	0	null	null
111008	0	0	0	0	null	null
111009	0	0	0	0	null	null
111010	0	0	0	0	null	null
111011	0	0	0	0	null	null
111012	0	0	0	0	null	null
111013	0	0	0	0	null	null
111014	0	0	0	0	null	null
112001	0	0	0	0	null	null
112002	0	0	0	0	null	null
112003	0	0	0	0	null	null
112004	0	0	0	0	null	null
112005	0	0	0	0	null	null
112006	0	0	0	0	null	null
112007	0	0	0	0	null	null
112008	0	0	0	0	null	null
112009	0	0	0	0	null	null
112010	0	0	0	0	null	null
112011	0	0	0	0	null	null
112012	0	0	0	0	null	null
112013	0	0	0	0	null	null
112014	0	0	0	0	null	null
112015	0	0	0	0	null	null
112016	0	0	0	0	null	null
112017	0	0	0	0	null	null
113001	0	0	0	0	null	null
113002	0	0	0	0	null	null
113003	0	0	0	0	null	null
113004	0	0	0	0	null	null
113005	0	0	0	0	null	null
113006	0	0	0	0	null	null
113007	0	0	0	0	null	null
113008	0	0	0	0	null	null
113009	0	0	0	0	null	null
113010	0	0	0	0	null	null
113011	0	0	0	0	null	null
113012	0	0	0	0	null	null
113013	0	0	0	0	null	null
113014	0	0	0	0	null	null
114001	0	0	0	0	null	null
114002	0	0	0	0	null	null
114003	0	0	0	0	null	null
114004	0	0	0	0	null	null
114005	0	0	0	0	null	null
114006	0	0	0	0	null	null
114007	0	0	0	0	null	null
114008	0	0	0	0	null	null
114009	0	0	0	0	null	null
114010	0	0	0	0	null	null
115001	0	0	0	0	null	null
115002	0	0	0	0	null	null
115003	0	0	0	0	null	null
115004	0	0	0	0	null	null
115005	0	0	0	0	null	null
115006	0	0	0	0	null	null
115007	0	0	0	0	null	null
115008	0	0	0	0	null	null
115009	0	0	0	0	null	null
115010	0	0	0	0	null	null
115011	0	0	0	0	null	null
115012	0	0	0	0	null	null
115013	0	0	0	0	null	null
115014	0	0	0	0	null	null
115015	0	0	0	0	null	null
116001	0	0	0	0	null	null
116002	0	0	0	0	null	null
116003	0	0	0	0	null	null
116004	0	0	0	0	null	null
116005	0	0	0	0	null	null
116006	0	0	0	0	null	null
116007	0	0	0	0	null	null
116008	0	0	0	0	null	null
116009	0	0	0	0	null	null
116010	0	0	0	0	null	null
116011	0	0	0	0	null	null
116012	0	0	0	0	null	null
116013	0	0	0	0	null	null
116014	0	0	0	0	null	null
116015	0	0	0	0	null	null
116016	0	0	0	0	null	null
116017	0	0	0	0	null	null
116018	0	0	0	0	null	null
117001	0	0	0	0	null	null
117002	0	0	0	0	null	null
117003	0	0	0	0	null	null
117004	0	0	0	0	null	null
117005	0	0	0	0	null	null
117006	0	0	0	0	null	null
117007	0	0	0	0	null	null
117008	0	0	0	0	null	null
117009	0	0	0	0	null	null
117010	0	0	0	0	null	null
117011	0	0	0	0	null	null
117012	0	0	0	0	null	null
117013	0	0	0	0	null	null
117014	0	0	0	0	null	null
117015	0	0	0	0	null	null
117016	0	0	0	0	null	null
117017	0	0	0	0	null	null
118001	0	0	0	0	null	null
118002	0	0	0	0	null	null
118003	0	0	0	0	null	null
118004	0	0	0	0	null	null
118005	0	0	0	0	null	null
118006	0	0	0	0	null	null
118007	0	0	0	0	null	null
118008	0	0	0	0	null	null
118009	0	0	0	0	null	null
118010	0	0	0	0	null	null
118011	0	0	0	0	null	null
118012	0	0	0	0	null	null
118013	0	0	0	0	null	null
119001	0	0	0	0	null	null
119002	0	0	0	0	null	null
119003	0	0	0	0	null	null
119004	0	0	0	0	null	null
119005	0	0	0	0	null	null
119006	0	0	0	0	null	null
119007	0	0	0	0	null	null
119008	0	0	0	0	null	null
119009	0	0	0	0	null	null
119010	0	0	0	0	null	null
119011	0	0	0	0	null	null
119012	0	0	0	0	null	null
119013	0	0	0	0	null	null
119014	0	0	0	0	null	null
119015	0	0	0	0	null	null
119016	0	0	0	0	null	null
119017	0	0	0	0	null	null
120001	0	0	0	0	null	null
120002	0	0	0	0	null	null
120003	0	0	0	0	null	null
120004	0	0	0	0	null	null
120005	0	0	0	0	null	null
120006	0	0	0	0	null	null
120007	0	0	0	0	null	null
120008	0	0	0	0	null	null
120009	0	0	0	0	null	null
120010	0	0	0	0	null	null
120011	0	0	0	0	null	null
120012	0	0	0	0	null	null
120013	0	0	0	0	null	null
120014	0	0	0	0	null	null
120015	0	0	0	0	null	null
120016	0	0	0	0	null	null
120017	0	0	0	0	null	null
120018	0	0	0	0	null	null
120019	0	0	0	0	null	null
201001	0	0	0	0	null	null
201002	0	0	0	0	null	null
201003	8	0	0	0	null	null
202001	0	0	0	0	null	null
202002	0	0	0	0	null	null
202003	0	0	0	0	null	null
203001	0	0	0	0	null	null
203002	0	0	0	0	null	null
203003	0	0	0	0	null	null
203004	0	0	0	0	null	null
204001	0	0	0	0	null	null
204002	0	0	0	0	null	null
204003	0	0	0	0	null	null
204004	0	0	0	0	null	null
205001	0	0	0	0	null	null
205002	0	0	0	0	null	null
205003	0	0	0	0	null	null
205004	0	0	0	0	null	null
205005	0	0	0	0	null	null
206001	0	0	0	0	null	null
206002	0	0	0	0	null	null
206003	0	0	0	0	null	null
206004	0	0	0	0	null	null
207001	0	0	0	0	null	null
207002	0	0	0	0	null	null
207003	0	0	0	0	null	null
207004	0	0	0	0	null	null
207005	0	0	0	0	null	null
208001	0	0	0	0	null	null
208002	0	0	0	0	null	null
208003	0	0	0	0	null	null
209001	0	0	0	0	null	null
209002	0	0	0	0	null	null
209003	0	0	0	0	null	null
209004	0	0	0	0	null	null
210001	0	0	0	0	null	null
210002	0	0	0	0	null	null
210003	0	0	0	0	null	null
210004	0	0	0	0	null	null
210005	0	0	0	0	null	null
211001	0	0	0	0	null	null
211002	0	0	0	0	null	null
211003	0	0	0	0	null	null
211004	0	0	0	0	null	null
212001	0	0	0	0	null	null
212002	0	0	0	0	null	null
212003	0	0	0	0	null	null
212004	0	0	0	0	null	null
213001	0	0	0	0	null	null
213002	0	0	0	0	null	null
213003	0	0	0	0	null	null
214001	0	0	0	0	null	null
214002	0	0	0	0	null	null
214003	0	0	0	0	null	null
214004	0	0	0	0	null	null
214005	0	0	0	0	null	null
215001	0	0	0	0	null	null
215002	0	0	0	0	null	null
215003	0	0	0	0	null	null
215004	0	0	0	0	null	null
3001001	0	0	0	0	null	null
3001002	0	0	0	0	null	null
3001003	0	0	0	0	null	null
3001004	0	0	0	0	null	null
3001005	0	0	0	0	null	null
3001006	0	0	0	0	null	null
3001007	0	0	0	0	null	null
3001008	0	0	0	0	null	null
3001009	0	0	0	0	null	null
3001010	0	0	0	0	null	null
3002001	0	0	0	0	null	null
3002002	0	0	0	0	null	null
3002003	0	0	0	0	null	null
3002004	0	0	0	0	null	null
3002005	0	0	0	0	null	null
3002006	0	0	0	0	null	null
3002007	0	0	0	0	null	null
3002008	0	0	0	0	null	null
3002009	0	0	0	0	null	null
3002010	0	0	0	0	null	null
3003001	0	0	0	0	null	null
3003002	0	0	0	0	null	null
3003003	0	0	0	0	null	null
3003004	0	0	0	0	null	null
3003005	0	0	0	0	null	null
3003006	0	0	0	0	null	null
3003007	0	0	0	0	null	null
3003008	0	0	0	0	null	null
3003009	0	0	0	0	null	null
3003010	0	0	0	0	null	null
3004001	0	0	0	0	null	null
3004002	0	0	0	0	null	null
3004003	0	0	0	0	null	null
3004004	0	0	0	0	null	null
3004005	0	0	0	0	null	null
3004006	0	0	0	0	null	null
3004007	0	0	0	0	null	null
3004008	0	0	0	0	null	null
3004009	0	0	0	0	null	null
3004010	0	0	0	0	null	null
3011001	0	0	0	0	null	null
3011002	0	0	0	0	null	null
3011003	0	0	0	0	null	null
3011004	0	0	0	0	null	null
3011005	0	0	0	0	null	null
3011006	0	0	0	0	null	null
3011007	0	0	0	0	null	null
3011008	0	0	0	0	null	null
3011009	0	0	0	0	null	null
3011010	0	0	0	0	null	null
3011011	0	0	0	0	null	null
3011012	0	0	0	0	null	null
3012001	0	0	0	0	null	null
3012002	0	0	0	0	null	null
3012003	0	0	0	0	null	null
3012004	0	0	0	0	null	null
3012005	0	0	0	0	null	null
3012006	0	0	0	0	null	null
3012007	0	0	0	0	null	null
3012008	0	0	0	0	null	null
3012009	0	0	0	0	null	null
