id	Event	Groups	isMustAppear	location
int	int	mut,int#int,2	int	mut,int#int,1
1	3003005	9#3	0	0
2	3003006	2#2|9#6|2#8|3#11	0	0#0#0#0
3	3003008	5#7|6#8	0	0#0
4	3003007	3#7|4#8	0	0#0
5	3003008	6#10|5#11	0	0#0
6	3003009	3#1|4#1|5#1|6#1|7#1|8#1|9#1|10#1|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|4#3|5#3|6#3|7#3|1#4|2#4|9#4|10#4|1#5|2#5|3#5|4#5|7#5|8#5|9#5|10#5|1#6|2#6|4#6|10#7|2#9|3#9|9#9|10#9|2#10|3#10|4#10|9#10|5#12|6#12	1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
7	3003007	1#10|2#12	0	0#0
8	3003010	1#1|3#6|8#6|10#10|1#12	0	0#0#0#0#0
9	3003008	8#9|10#11	0	0#0
10	3003001	8#11	0	0
11	3003002	5#5	0	0
12	3003007	7#6|8#7	0	0#0
13	3003003	6#5	0	0
14	3003004	3#4	0	0
15	101013	1#3|1#7|10#8|5#9|4#12|9#12	0	0#0#0#0#0#0
