Id	ItemId	ItemNum	LimitDay	PayItem	Price	Type
int	int	int	int	int	int	int
1	10443	1	100	10444	5	1
2	10441	1	5	10444	10	1
3	429001	1	0	10444	39	1
4	429002	1	0	10444	39	1
5	429003	1	0	10444	39	1
6	429004	1	0	10444	39	1
7	300201	1	0	10444	200	1
8	300202	1	0	10444	200	1
9	300203	1	0	10444	200	1
10	300204	1	0	10444	200	1
11	459101	1	0	10444	39	2
12	459102	1	0	10444	39	2
13	459103	1	0	10444	39	2
14	459104	1	0	10444	39	2
15	310201	1	0	10444	200	2
16	310202	1	0	10444	200	2
17	310203	1	0	10444	200	2
18	310204	1	0	10444	200	2
19	489201	1	0	10444	39	3
20	489202	1	0	10444	39	3
21	489203	1	0	10444	39	3
22	489204	1	0	10444	39	3
23	320201	1	0	10444	200	3
24	320202	1	0	10444	200	3
25	320203	1	0	10444	200	3
26	320204	1	0	10444	200	3
27	529001	1	0	10444	39	4
28	529002	1	0	10444	39	4
29	529003	1	0	10444	39	4
30	529004	1	0	10444	39	4
31	330201	1	0	10444	200	4
32	330202	1	0	10444	200	4
33	330203	1	0	10444	200	4
34	330204	1	0	10444	200	4
35	559101	1	0	10444	49	5
36	559102	1	0	10444	49	5
37	559103	1	0	10444	49	5
38	559104	1	0	10444	49	5
39	340201	1	0	10444	250	5
40	340202	1	0	10444	250	5
41	340203	1	0	10444	250	5
42	340204	1	0	10444	250	5
43	589201	1	0	10444	49	6
44	589202	1	0	10444	49	6
45	589203	1	0	10444	49	6
46	589204	1	0	10444	49	6
47	350201	1	0	10444	250	6
48	350202	1	0	10444	250	6
49	350203	1	0	10444	250	6
50	350204	1	0	10444	250	6
51	629001	1	0	10444	49	7
52	629002	1	0	10444	49	7
53	629003	1	0	10444	49	7
54	629004	1	0	10444	49	7
55	360201	1	0	10444	250	7
56	360202	1	0	10444	250	7
57	360203	1	0	10444	250	7
58	360204	1	0	10444	250	7
59	659101	1	0	10444	49	8
60	659102	1	0	10444	49	8
61	659103	1	0	10444	49	8
62	659104	1	0	10444	49	8
63	370201	1	0	10444	250	8
64	370202	1	0	10444	250	8
65	370203	1	0	10444	250	8
66	370204	1	0	10444	250	8
67	689201	1	0	10444	59	9
68	689202	1	0	10444	59	9
69	689203	1	0	10444	59	9
70	689204	1	0	10444	59	9
71	380201	1	0	10444	300	9
72	380202	1	0	10444	300	9
73	380203	1	0	10444	300	9
74	380204	1	0	10444	300	9
75	729001	1	0	10444	59	10
76	729002	1	0	10444	59	10
77	729003	1	0	10444	59	10
78	729004	1	0	10444	59	10
79	390201	1	0	10444	300	10
80	390202	1	0	10444	300	10
81	390203	1	0	10444	300	10
82	390204	1	0	10444	300	10
83	759101	1	0	10444	59	11
84	759102	1	0	10444	59	11
85	759103	1	0	10444	59	11
86	759104	1	0	10444	59	11
87	400201	1	0	10444	300	11
88	400202	1	0	10444	300	11
89	400203	1	0	10444	300	11
90	400204	1	0	10444	300	11
91	789201	1	0	10444	59	12
92	789202	1	0	10444	59	12
93	789203	1	0	10444	59	12
94	789204	1	0	10444	59	12
95	410201	1	0	10444	300	12
96	410202	1	0	10444	300	12
97	410203	1	0	10444	300	12
98	410204	1	0	10444	300	12
