SuitId	Type	SuitAttr	ChangeValue	Star
int	int	mut,int#int,2	mut,int#int,1	int
1	1	2#63#300|4#63#300	10444#0	1
2	1	2#63#300|4#63#400	10444#0	2
3	1	2#63#300|4#63#500	10444#0	3
4	1	2#63#300|4#63#600	10444#0	4
5	1	2#63#300|4#63#700	10444#0	5
6	1	2#63#300|4#63#800	10444#0	6
7	1	2#63#300|4#63#900	10444#0	7
8	1	2#63#300|4#63#1000	10444#0	8
9	1	2#63#300|4#63#1100	10444#0	9
10	1	2#63#300|4#63#1200	10444#0	10
11	2	2#55#300|4#55#300	10444#0	1
12	2	2#55#300|4#55#400	10444#0	2
13	2	2#55#300|4#55#500	10444#0	3
14	2	2#55#300|4#55#600	10444#0	4
15	2	2#55#300|4#55#700	10444#0	5
16	2	2#55#300|4#55#800	10444#0	6
17	2	2#55#300|4#55#900	10444#0	7
18	2	2#55#300|4#55#1000	10444#0	8
19	2	2#55#300|4#55#1100	10444#0	9
20	2	2#55#300|4#55#1200	10444#0	10
21	3	2#62#300|4#62#300	10444#0	1
22	3	2#62#300|4#62#400	10444#0	2
23	3	2#62#300|4#62#500	10444#0	3
24	3	2#62#300|4#62#600	10444#0	4
25	3	2#62#300|4#62#700	10444#0	5
26	3	2#62#300|4#62#800	10444#0	6
27	3	2#62#300|4#62#900	10444#0	7
28	3	2#62#300|4#62#1000	10444#0	8
29	3	2#62#300|4#62#1100	10444#0	9
30	3	2#62#300|4#62#1200	10444#0	10
31	4	2#58#500|4#58#500	10444#0	1
32	4	2#58#500|4#58#600	10444#0	2
33	4	2#58#500|4#58#700	10444#0	3
34	4	2#58#500|4#58#800	10444#0	4
35	4	2#58#500|4#58#900	10444#0	5
36	4	2#58#500|4#58#1000	10444#0	6
37	4	2#58#500|4#58#1100	10444#0	7
38	4	2#58#500|4#58#1200	10444#0	8
39	4	2#58#500|4#58#1300	10444#0	9
40	4	2#58#500|4#58#1400	10444#0	10
41	5	2#55#500|4#163#500	10444#50	1
42	5	2#55#500|4#163#600	10444#50	2
43	5	2#55#500|4#163#700	10444#50	3
44	5	2#55#500|4#163#800	10444#50	4
45	5	2#55#500|4#163#900	10444#50	5
46	5	2#55#500|4#163#1000	10444#50	6
47	5	2#55#500|4#163#1100	10444#50	7
48	5	2#55#500|4#163#1200	10444#50	8
49	5	2#55#500|4#163#1300	10444#50	9
50	5	2#55#500|4#163#1500	10444#50	10
51	6	2#62#500|4#161#500	10444#50	1
52	6	2#62#500|4#161#600	10444#50	2
53	6	2#62#500|4#161#700	10444#50	3
54	6	2#62#500|4#161#800	10444#50	4
55	6	2#62#500|4#161#900	10444#50	5
56	6	2#62#500|4#161#1000	10444#50	6
57	6	2#62#500|4#161#1100	10444#50	7
58	6	2#62#500|4#161#1200	10444#50	8
59	6	2#62#500|4#161#1300	10444#50	9
60	6	2#62#500|4#161#1500	10444#50	10
61	7	2#62#500|4#162#500	10444#50	1
62	7	2#62#500|4#162#600	10444#50	2
63	7	2#62#500|4#162#700	10444#50	3
64	7	2#62#500|4#162#800	10444#50	4
65	7	2#62#500|4#162#900	10444#50	5
66	7	2#62#500|4#162#1000	10444#50	6
67	7	2#62#500|4#162#1100	10444#50	7
68	7	2#62#500|4#162#1200	10444#50	8
69	7	2#62#500|4#162#1300	10444#50	9
70	7	2#62#500|4#162#1500	10444#50	10
71	8	2#55#500|4#164#500	10444#50	1
72	8	2#55#500|4#164#600	10444#50	2
73	8	2#55#500|4#164#700	10444#50	3
74	8	2#55#500|4#164#800	10444#50	4
75	8	2#55#500|4#164#900	10444#50	5
76	8	2#55#500|4#164#1000	10444#50	6
77	8	2#55#500|4#164#1100	10444#50	7
78	8	2#55#500|4#164#1200	10444#50	8
79	8	2#55#500|4#164#1300	10444#50	9
80	8	2#55#500|4#164#1500	10444#50	10
81	9	2#63#500|4#8888#90101	10444#100	1
82	9	2#63#500|4#8888#90102	10444#100	2
83	9	2#63#500|4#8888#90103	10444#100	3
84	9	2#63#500|4#8888#90104	10444#100	4
85	9	2#63#500|4#8888#90105	10444#100	5
86	9	2#63#500|4#8888#90106	10444#100	6
87	9	2#63#500|4#8888#90107	10444#100	7
88	9	2#63#500|4#8888#90108	10444#100	8
89	9	2#63#500|4#8888#90109	10444#100	9
90	9	2#63#500|4#8888#90110	10444#100	10
91	10	2#62#500|4#8888#90201	10444#100	1
92	10	2#62#500|4#8888#90202	10444#100	2
93	10	2#62#500|4#8888#90203	10444#100	3
94	10	2#62#500|4#8888#90204	10444#100	4
95	10	2#62#500|4#8888#90205	10444#100	5
96	10	2#62#500|4#8888#90206	10444#100	6
97	10	2#62#500|4#8888#90207	10444#100	7
98	10	2#62#500|4#8888#90208	10444#100	8
99	10	2#62#500|4#8888#90209	10444#100	9
100	10	2#62#500|4#8888#90210	10444#100	10
101	11	2#55#500|4#8888#90301	10444#100	1
102	11	2#55#500|4#8888#90302	10444#100	2
103	11	2#55#500|4#8888#90303	10444#100	3
104	11	2#55#500|4#8888#90304	10444#100	4
105	11	2#55#500|4#8888#90305	10444#100	5
106	11	2#55#500|4#8888#90306	10444#100	6
107	11	2#55#500|4#8888#90307	10444#100	7
108	11	2#55#500|4#8888#90308	10444#100	8
109	11	2#55#500|4#8888#90309	10444#100	9
110	11	2#55#500|4#8888#90310	10444#100	10
111	12	2#58#700|4#8888#90401	10444#100	1
112	12	2#58#700|4#8888#90402	10444#100	2
113	12	2#58#700|4#8888#90403	10444#100	3
114	12	2#58#700|4#8888#90404	10444#100	4
115	12	2#58#700|4#8888#90405	10444#100	5
116	12	2#58#700|4#8888#90406	10444#100	6
117	12	2#58#700|4#8888#90407	10444#100	7
118	12	2#58#700|4#8888#90408	10444#100	8
119	12	2#58#700|4#8888#90409	10444#100	9
120	12	2#58#700|4#8888#90410	10444#100	10
