Id	Type	Lvl	CostPlane	CostItem	Attr	GetItem	Skill	NextId
int	int	int	mut,int#int,1	mut,int#int,1	mut,int#int,2	mut,int#int,1	int	int
101001	1	1	101001#1	10425#10	2#3320|3#55|1#24700|5#32	10425#15	910111	102001
101002	2	1	101002#1	10425#10	2#3320|3#55|1#24700|5#32	10425#15	910211	102002
101003	3	1	101003#1	10425#10	2#3320|3#55|1#24700|5#32	10425#15	910311	102003
101004	4	1	101004#1	10425#10	2#3320|3#55|1#24700|5#32	10425#15	910411	102004
101005	5	1	101005#1	10425#10	2#3320|3#55|1#24700|5#32	10425#15	910511	102005
101006	6	1	101006#1	10425#10	2#4650|3#80|1#34500|5#46	10425#25	910611	102006
101007	7	1	101007#1	10425#10	2#4650|3#80|1#34500|5#46	10425#25	910711	102007
101008	8	1	101008#1	10425#10	2#4650|3#80|1#34500|5#46	10425#25	910811	102008
101009	9	1	101009#1	10425#10	2#4650|3#80|1#34500|5#46	10425#25	910911	102009
101010	10	1	101010#1	10425#10	2#6640|3#110|1#49300|5#66	10425#70	911011	102010
101011	11	1	101011#1	10425#10	2#6640|3#110|1#49300|5#66	10425#70	911111	102011
101012	12	1	101012#1	10425#10	2#6640|3#110|1#49300|5#66	10425#70	911211	102012
101013	13	1	101013#1	10425#10	2#6640|3#110|1#49300|5#66	10425#70	911311	102013
101014	14	1	101014#1	10425#10	2#6640|3#110|1#49300|5#66	10425#70	911411	102014
101015	15	1	101015#1	10425#10	2#6640|3#110|1#49300|5#66	10425#70	911511	102015
101016	16	1	101016#1	10425#10	2#6640|3#110|1#49300|5#66	10425#70	911611	102016
102001	1	2	101001#2	10425#40	2#6640|3#110|1#49300|5#66	10425#30	910112	103001
102002	2	2	101002#2	10425#40	2#6640|3#110|1#49300|5#66	10425#30	910212	103002
102003	3	2	101003#2	10425#40	2#6640|3#110|1#49300|5#66	10425#30	910312	103003
102004	4	2	101004#2	10425#40	2#6640|3#110|1#49300|5#66	10425#30	910412	103004
102005	5	2	101005#2	10425#40	2#6640|3#110|1#49300|5#66	10425#30	910512	103005
102006	6	2	101006#2	10425#40	2#9290|3#155|1#69100|5#90	10425#55	910612	103006
102007	7	2	101007#2	10425#40	2#9290|3#155|1#69100|5#90	10425#55	910712	103007
102008	8	2	101008#2	10425#40	2#9290|3#155|1#69100|5#90	10425#55	910812	103008
102009	9	2	101009#2	10425#40	2#9290|3#155|1#69100|5#90	10425#55	910912	103009
102010	10	2	101010#2	10425#40	2#13270|3#220|1#98600|5#130	10425#150	911012	103010
102011	11	2	101011#2	10425#40	2#13270|3#220|1#98600|5#130	10425#150	911112	103011
102012	12	2	101012#2	10425#40	2#13270|3#220|1#98600|5#130	10425#150	911212	103012
