Id	ScopeId	ConditionId	Preorder	Priority	CDTime	Count	Pushtype	Personas	Packs	Statistics	Packmax
int	mut,int#int,1	mut,int#int,1	int	int	int	int	int	mut,int#int,1	mut,int#int,1	int	int
10500	3#19#120	4#5	0	0	0	0	3	null	30500#30501#30502	0	0
10600	3#19#999	4#6	0	0	0	0	3	null	30600	0	0
10700	3#19#69	4#7	0	0	0	0	3	null	30700	0	0
10701	3#70#999	4#7	0	0	0	0	3	null	30701	0	0
10800	3#19#69	4#8	0	0	0	0	3	null	30800	0	0
10801	3#70#999	4#8	0	0	0	0	3	null	30801	0	0
10900	3#19#69	4#9	0	0	0	0	3	null	30900	0	0
10901	3#70#999	4#9	0	0	0	0	3	null	30901	0	0
11000	3#19#69	4#10	0	0	0	0	3	null	31000	0	0
11001	3#70#999	4#10	0	0	0	0	3	null	31001	0	0
11100	3#19#999	4#11	0	0	0	0	3	null	31100	0	0
11200	3#19#999	4#12	0	0	0	0	3	null	31200	0	0
11300	3#19#999	4#13	0	0	0	0	3	null	31300	0	0
20000	3#1#999	12#5	0	1	0	0	3	null	32000	0	0
20001	3#1#999	3#19#999	0	1	0	0	3	null	33001	0	0
20002	3#1#999	3#43#999	0	1	0	0	3	null	33002	0	0
20003	3#1#999	3#53#999	0	1	0	0	3	null	33003	0	0
20004	3#1#999	3#63#999	0	1	0	0	3	null	33004	0	0
20005	3#1#999	3#73#999	0	1	0	0	3	null	33005	0	0
20006	3#1#999	3#83#999	0	1	0	0	3	null	33006	0	0
20007	3#1#999	3#93#999	0	1	0	0	3	null	33007	0	0
20008	3#1#999	3#128#999	0	1	0	0	3	null	33008	0	0
20009	3#1#999	3#158#999	0	1	0	0	3	null	33009	0	0
20010	3#1#999	3#188#999	0	1	0	0	3	null	33010	0	0
30001	3#1#999	1#5201	0	1	0	0	2	null	34001#34002#34003#34003#34004#34004#34005#34006	0	0
30002	3#1#999	1#10201	0	1	0	0	1	0#1000#999999999	34007#34008	0	0
30003	3#1#999	1#13101	0	1	0	0	2	null	34001#34002#34003#34003#34004#34004#34005#34006	0	0
30004	3#1#999	1#15201	0	1	0	0	1	0#1000#999999999	34007#34008	0	0
30005	3#1#999	1#2202	0	1	0	0	2	null	34001#34002#34003#34003#34004#34004#34005#34006	0	0
30006	3#1#999	1#4102	0	1	0	0	1	0#1000#999999999	34007#34008	0	0
30007	3#1#999	1#5302	0	1	0	0	2	null	34001#34002#34003#34003#34004#34004#34005#34006	0	0
30008	3#1#999	1#7202	0	1	0	0	1	0#1000#999999999	34007#34008	0	0
30009	3#1#999	1#9102	0	1	0	0	2	null	34001#34002#34003#34003#34004#34004#34005#34006	0	0
30010	3#1#999	1#10302	0	1	0	0	1	0#1000#999999999	34007#34008	0	0
30011	3#1#999	1#12202	0	1	0	0	2	null	34001#34002#34003#34003#34004#34004#34005#34006	0	0
30012	3#1#999	1#14102	0	1	0	0	1	0#1000#999999999	34007#34008	0	0
30013	3#1#999	1#15302	0	1	0	0	2	null	34001#34002#34003#34003#34004#34004#34005#34006	0	0
30014	3#1#999	1#2103	0	1	0	0	1	0#1000#999999999	34007#34008	0	0
30015	3#1#999	1#3203	0	1	0	0	2	null	34001#34002#34003#34003#34004#34004#34005#34006	0	0
30016	3#1#999	1#4303	0	1	0	0	1	0#1000#999999999	34007#34008	0	0
30017	3#1#999	1#5403	0	1	0	0	2	null	34001#34002#34003#34003#34004#34004#34005#34006	0	0
30018	3#1#999	1#7103	0	1	0	0	1	0#1000#999999999	34007#34008	0	0
40000	3#30#999	13#3#17#18	0	1	0	0	2	null	35001#35001#35002#35002#35002#35003#35003#35003	0	0
41000	3#1#999	15#10	0	1	0	0	3	null	32100	0	0
50001	3#1#999	2#100	0	1	0	0	3	null	36001	0	0
50002	3#1#999	2#150	0	1	0	0	3	null	36002	0	0
50003	3#1#999	2#200	0	1	0	0	3	null	36003	0	0
50004	3#1#999	2#250	0	1	0	0	3	null	36004	0	0
50005	3#1#999	2#300	0	1	0	0	3	null	36005	0	0
50006	3#1#999	2#350	0	1	0	0	3	null	36006	0	0
50007	3#1#999	2#400	0	1	0	0	3	null	36007	0	0
50008	3#1#999	2#500	0	1	0	0	3	null	36008	0	0
50009	3#1#999	2#600	0	1	0	0	3	null	36009	0	0
50010	3#1#999	2#700	0	1	0	0	3	null	36010	0	0
50011	3#1#999	2#800	0	1	0	0	3	null	36011	0	0
50012	3#1#999	2#900	0	1	0	0	3	null	36012	0	0
50013	3#1#999	2#1000	0	1	0	0	3	null	36013	0	0
50014	3#1#999	2#1100	0	1	0	0	3	null	36014	0	0
50015	3#1#999	2#1200	0	1	0	0	3	null	36015	0	0
50016	3#1#999	2#1300	0	1	0	0	3	null	36016	0	0
60000	3#1#999	16#5	0	1	0	0	3	null	32001	0	0
60001	3#1#999	16#10	0	1	0	0	3	null	32002	0	0
70000	3#80#999	17#5	0	1	0	0	3	null	32200#32201#32202	0	0
70001	3#80#999	17#30	0	1	0	0	3	null	32203	0	0
70002	3#80#999	17#40	0	1	0	0	3	null	32204	0	0
70003	3#80#999	17#50	0	1	0	0	3	null	32205	0	0
70004	3#80#999	17#60	0	1	0	0	3	null	32206	0	0
80000	3#90#999	18#1	0	1	0	0	3	null	32301	0	0
80001	3#90#999	18#2	0	1	0	0	3	null	32302	0	0
80002	3#90#999	18#3	0	1	0	0	3	null	32303	0	0
80003	3#90#999	18#4	0	1	0	0	3	null	32304	0	0
