Level	Property	Consume
int	mut,int#int,2	mut,int#int,2
1	1#3120	75#1
2	1#3240	75#2
3	1#3360	75#3
4	1#3480	75#4
5	1#3600	75#5
6	1#3720	75#6
7	1#3840	75#7
8	1#3960	75#8
9	1#4080	75#9
10	1#4200	75#10|76#5
11	1#4440	75#12
12	1#4680	75#14
13	1#4920	75#16
14	1#5160	75#18
15	1#5400	75#20
16	1#5640	75#22
17	1#5880	75#24
18	1#6120	75#26
19	1#6360	75#28
20	1#6600	75#30|76#10
21	1#7200	75#35
22	1#7800	75#40
23	1#8400	75#45
24	1#9000	75#50
25	1#9600	75#55
26	1#10200	75#60
27	1#10800	75#65
28	1#11400	75#70
29	1#12000	75#75
30	1#12600	75#80|76#20
31	1#13800	75#90
32	1#15000	75#100
33	1#16200	75#110
34	1#17400	75#120
35	1#18600	75#130
36	1#19800	75#140
37	1#21000	75#150
38	1#22200	75#160
39	1#23400	75#170
40	1#24600	75#180|76#30
41	1#28200	75#210
42	1#31800	75#240
43	1#35400	75#270
44	1#39000	75#300
45	1#42600	75#330
46	1#46200	75#360
47	1#49800	75#390
48	1#53400	75#420
49	1#57000	75#450|76#50
50	1#60000	0
