Id	Lock	Cost
int	int	mut,int#int,2
1	0	null
2	1	200013#200
3	1	200013#300
4	1	200013#400
5	1	200013#500
6	1	200013#600
7	1	200013#700
8	1	200013#800
9	1	200013#900
10	1	200013#1000
11	1	200013#1100
12	1	200013#1200
13	1	200013#1300
14	1	200013#1400
15	1	200013#1500
16	1	200013#1600
17	1	200013#1700
18	1	200013#1800
19	1	200013#1900
20	1	200013#2000
21	1	200013#2100
22	1	200013#2200
23	1	200013#2300
24	1	200013#2400
25	1	200013#2500
26	1	200013#2600
27	1	200013#2700
28	1	200013#2800
29	1	200013#2900
30	1	200013#3000
31	1	200013#3100
32	1	200013#3200
33	1	200013#3300
34	1	200013#3400
35	1	200013#3500
36	1	200013#3600
37	1	200013#3700
38	1	200013#3800
39	1	200013#3900
40	1	200013#4000
41	1	200013#4100
42	1	200013#4200
43	1	200013#4300
44	1	200013#4400
45	1	200013#4500
46	1	200013#4600
47	1	200013#4700
48	1	200013#4800
49	1	200013#4900
50	1	200013#5000
