Id	PrivilegeType	Type	RefreshType	IfFloat	UnlockType	Condition	ContinueTime
int	int	int	mut,int#int,1	int	int	mut,int#int,2	mut,int#int,1
1	1	0	3#0	2	3	0#10000|1#11000|2#11500|3#12000|4#13000|5#14000|6#15000|7#16000|8#17000|9#18000|10#19000|11#20000|12#21000|13#22500|14#24000|15#25500|16#27000|17#28500|18#30000	null
27	27	0	3#0	2	3	0#10000|1#10500|2#11000|3#11000|4#11500|5#12000|6#12500|7#13000|8#13500|9#14000|10#15000|11#16000|12#17000|13#18000|14#18000|15#18000|16#18000|17#18000|18#18000	null
21	21	0	1#0	2	3	0#10000|1#12000|2#13000|3#14000|4#16000|5#18000|6#20000|7#22000|8#24000|9#26000|10#28000|11#30000|12#32000|13#34000|14#36000|15#38000|16#40000|17#42000|18#44000	null
2001	2001	0	1#0	1	3	0#0|1#25|2#50|3#75|4#100|5#125|6#150|7#175|8#200|9#230|10#260|11#290|12#320|13#350|14#380|15#410|16#450|17#490|18#530	null
2002	2002	0	1#0	1	3	0#0|1#2|2#3|3#4|4#5|5#6|6#8|7#10|8#12|9#14|10#16|11#18|12#20|13#22|14#24|15#26|16#28|17#30|18#32	null
50001	50001	0	3#0	1	3	0#3|1#3|2#3|3#4|4#4|5#4|6#5|7#5|8#5|9#6|10#6|11#6|12#7|13#7|14#7|15#8|16#8|17#8|18#9	null
1005	1005	0	1#0	1	3	0#1	null
1006	1005	0	1#0	1	4	0#1	86400#1
4	4	0	1#0	1	1	1#1	null
36	33	0	1#0	1	1	1#3	null
34	4	0	1#0	1	4	0#2	2592000#0
33	33	0	1#0	1	4	0#8	2592000#0
154	4	0	1#0	1	5	0#1	null
153	33	0	1#0	1	5	0#4	null
501	501	1	3#0	1	2	1101#1	null
2003	2003	1	3#0	1	3	0#0|1#1	null
509	509	1	3#0	1	2	1201#1	null
93001	93001	1	3#0	1	2	1101#1	null
94001	94001	1	3#0	1	2	1101#1	null
512	512	1	3#0	1	3	0#0|1#1	null
513	512	1	3#0	1	1	15#1	null
511	511	1	3#0	1	1	20#1	null
514	513	1	3#0	1	3	0#0|1#1	null
515	513	1	3#0	1	101	11#1	null
516	514	1	3#0	1	3	0#0|1#1	null
517	514	1	3#0	1	102	20#1	null
518	515	1	3#0	1	3	0#0|1#0|2#1	null
519	515	1	3#0	1	104	300000#1	null
520	516	1	3#0	1	3	0#0|1#0|2#1	null
521	516	1	3#0	1	103	10#1	null
522	517	1	3#0	1	3	0#0|1#0|2#1	null
523	517	1	3#0	1	104	2000000#1	null
16	16	0	1#0	1	1	1#3	null
22	22	0	1#0	1	1	1#30	null
25	25	0	3#0	1	1	1#1	null
26	26	0	3#0	1	1	1#1	null
37	37	0	1#0	1	3	0#2|1#2|2#2|3#2|4#2|5#2|6#3|7#3|8#3|9#3|10#3|11#4|12#4|13#4	null
