PropertyId	PropertyIdInBattle	Style	Score	TargetPropertyId	IfFormula	FightRete
int	int	int	float	int	int	float
1	12	1	0.4	0	0	0.4
2	1	1	2.0	0	0	2.0
3	2	1	2.658	0	0	2.658
4	3	1	0.0	0	0	0.0
5	4	1	6.4	0	0	6.4
6	13	1	0.0	0	0	0.0
7	16	1	0.0	0	0	0.0
51	5	2	180.0	0	0	1.8
52	6	2	180.0	0	0	1.8
53	7	2	0.0	0	0	0.0
54	8	2	0.0	0	0	0.0
55	9	2	140.0	0	0	1.4
56	10	2	200.0	0	0	2.0
57	14	2	80.0	0	0	0.8
58	11	2	80.0	0	0	0.8
59	0	2	0.0	0	0	0.0
60	15	2	140.0	0	0	1.4
61	26	2	0.0	1	0	0.0
62	22	2	0.0	2	0	0.0
63	23	2	0.0	3	0	0.0
64	0	2	0.0	4	0	0.0
65	21	2	0.0	5	0	0.0
66	0	2	0.0	0	0	0.0
67	0	2	0.0	6	0	0.0
68	0	2	0.0	6	0	0.0
69	69	2	0.0	51	0	0.0
70	70	2	0.0	52	0	0.0
101	0	1	0.0	0	1	0.0
102	0	1	0.0	0	1	0.0
103	0	1	0.0	0	1	0.0
104	0	1	0.0	0	1	0.0
105	0	1	0.0	0	1	0.0
106	0	1	0.0	0	1	0.0
107	0	1	0.0	0	1	0.0
108	0	1	0.0	0	1	0.0
109	0	1	0.0	0	1	0.0
110	0	1	0.0	0	1	0.0
111	0	1	0.0	0	1	0.0
112	0	1	0.0	0	1	0.0
151	17	2	0.0	0	0	0.0
152	19	2	0.0	0	0	0.0
153	18	2	0.0	0	0	0.0
154	20	2	0.0	0	0	0.0
155	24	2	80.0	0	0	0.8
156	25	2	80.0	0	0	0.8
157	157	1	0.0	0	0	0.0
158	158	1	0.0	0	0	0.0
159	0	2	0.0	0	0	0.0
160	160	2	0.0	0	0	0.0
161	161	2	90.0	0	0	0.9
162	162	2	90.0	0	0	0.9
163	163	2	90.0	0	0	0.9
164	164	2	90.0	0	0	0.9
165	27	2	140.0	0	0	1.4
166	28	2	200.0	0	0	2.0
167	167	2	90.0	0	0	0.9
168	168	2	90.0	0	0	0.9
169	169	2	90.0	0	0	0.9
170	170	2	90.0	0	0	0.9
171	171	2	200.0	0	0	2.0
172	172	2	0.0	0	0	0.0
173	173	2	0.0	0	0	0.0
174	174	2	0.0	0	0	0.0
175	175	2	0.0	0	0	0.0
176	176	2	0.0	0	0	0.0
177	177	2	0.0	0	0	0.0
178	178	2	0.0	0	0	0.0
179	179	2	0.0	0	0	0.0
180	180	2	0.0	0	0	0.0
181	181	2	0.0	0	0	0.0
182	182	2	0.0	0	0	0.0
183	183	2	0.0	0	0	0.0
184	184	2	0.0	0	0	0.0
185	185	2	0.0	0	0	0.0
186	186	2	0.0	0	0	0.0
187	187	2	0.0	0	0	0.0
188	188	2	0.0	0	0	0.0
189	189	2	0.0	0	0	0.0
190	190	2	0.0	0	0	0.0
191	191	2	0.0	0	0	0.0
