Id	Type	OpenRules	Quality	Reward	FirstReward	MonsterId	TeamRules	Attribute	Privilege	Formation
int	int	int	int	mut,int#int,1	mut,int#int,1	int	mut,int#int,2	mut,int#int,2	mut,int#int,1	int
1	1	0	1	51361#3	51311	530001	1#0	1#33	117#116	1401
2	1	1	2	51362#3	51312	530002	1#0	1#33	117#116	1401
3	1	2	3	51363#3	51313	530003	1#0	1#33	117#116	1401
4	1	3	4	51364#3	51314	530004	1#0	1#33	117#116	1401
5	1	4	5	51365#3	51315	530005	1#0	1#33	117#116	1401
6	1	5	6	51366#3	51316	530006	1#0	1#33	117#116	1401
7	1	6	7	51367#3	51317	530007	1#0	1#33	117#116	1401
8	1	7	8	51368#3	51318	530008	1#0	1#33	117#116	1401
9	1	8	9	51369#3	51319	530009	1#0	1#33	117#116	1401
10	1	9	10	51370#3	51320	530010	1#0	1#33	117#116	1401
11	2	0	1	51371#3	51321	531001	1#0	2#33	117#116	1402
12	2	11	2	51372#3	51322	531002	1#0	2#33	117#116	1402
13	2	12	3	51373#3	51323	531003	1#0	2#33	117#116	1402
14	2	13	4	51374#3	51324	531004	1#0	2#33	117#116	1402
15	2	14	5	51375#3	51325	531005	1#0	2#33	117#116	1402
16	2	15	6	51376#3	51326	531006	1#0	2#33	117#116	1402
17	2	16	7	51377#3	51327	531007	1#0	2#33	117#116	1402
18	2	17	8	51378#3	51328	531008	1#0	2#33	117#116	1402
19	2	18	9	51379#3	51329	531009	1#0	2#33	117#116	1402
20	2	19	10	51380#3	51330	531010	1#0	2#33	117#116	1402
21	3	0	1	51351#3	51301	532001	1#0	3#33	117#116	1403
22	3	21	2	51352#3	51302	532002	1#0	3#33	117#116	1403
23	3	22	3	51353#3	51303	532003	1#0	3#33	117#116	1403
24	3	23	4	51354#3	51304	532004	1#0	3#33	117#116	1403
25	3	24	5	51355#3	51305	532005	1#0	3#33	117#116	1403
26	3	25	6	51356#3	51306	532006	1#0	3#33	117#116	1403
27	3	26	7	51357#3	51307	532007	1#0	3#33	117#116	1403
28	3	27	8	51358#3	51308	532008	1#0	3#33	117#116	1403
29	3	28	9	51359#3	51309	532009	1#0	3#33	117#116	1403
30	3	29	10	51360#3	51310	532010	1#0	3#33	117#116	1403
31	4	0	1	51381#3	51331	533001	1#0	4#33	117#116	1404
32	4	31	2	51382#3	51332	533002	1#0	4#33	117#116	1404
33	4	32	3	51383#3	51333	533003	1#0	4#33	117#116	1404
34	4	33	4	51384#3	51334	533004	1#0	4#33	117#116	1404
35	4	34	5	51385#3	51335	533005	1#0	4#33	117#116	1404
36	4	35	6	51386#3	51336	533006	1#0	4#33	117#116	1404
37	4	36	7	51387#3	51337	533007	1#0	4#33	117#116	1404
38	4	37	8	51388#3	51338	533008	1#0	4#33	117#116	1404
39	4	38	9	51389#3	51339	533009	1#0	4#33	117#116	1404
40	4	39	10	51390#3	51340	533010	1#0	4#33	117#116	1404
41	5	0	1	51391#3	51341	534001	1#0	5#33	117#116	1405
42	5	41	2	51392#3	51342	534002	1#0	5#33	117#116	1405
43	5	42	3	51393#3	51343	534003	1#0	5#33	117#116	1405
44	5	43	4	51394#3	51344	534004	1#0	5#33	117#116	1405
45	5	44	5	51395#3	51345	534005	1#0	5#33	117#116	1405
46	5	45	6	51396#3	51346	534006	1#0	5#33	117#116	1405
47	5	46	7	51397#3	51347	534007	1#0	5#33	117#116	1405
48	5	47	8	51398#3	51348	534008	1#0	5#33	117#116	1405
49	5	48	9	51399#3	51349	534009	1#0	5#33	117#116	1405
50	5	49	10	51400#3	51350	534010	1#0	5#33	117#116	1405
