Id	RechargeId	Name	Type	ShowType	Price	FirstMultiple	BaseReward	RewardShow	ContiueDays	PlayerLevel	ExtraReward	OpenPrivilege	Limit	LimitShow	FirstInvest	IsDiscount	DiscountType	Order	AccumulativeRecharge	Time	StartTime	Endtime	DailyUpdate	PassiveSkill	RechargeId2	RechargeId3	Otype	IsMail	Mail	OnSaleRule	PriceWeight
int	string	string	int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2	int	mut,int#int,2	mut,int#int,3	mut,int#int,1	int	int	int	int	mut,int#int,1	int	int	int	string	string	int	mut,int#int,1	string	string	int	int	mut,int#int,1	string	mut,int#int,1
304		34010001	5	22	128	null	16#1280	16#1280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
305		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
306		34010001	5	22	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
318		34010001	5	22	128	null	16#1280	16#1280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
319		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
320		34010001	5	22	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
332		34010001	5	22	128	null	16#1280	16#1280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
333		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
334		34010001	5	22	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
346		34010001	5	22	128	null	16#1280	16#1280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
347		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
348		34010001	5	22	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
360		34010001	5	22	128	null	16#1280	16#1280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
361		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
362		34010001	5	22	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
374		34010001	5	22	128	null	16#1280	16#1280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
375		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
376		34010001	5	22	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
388		34010001	5	22	128	null	16#1280	16#1280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
389		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
390		34010001	5	22	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
504		34010001	5	22	128	null	16#1280	16#1280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
505		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
506		34010001	5	22	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
515		34010001	5	22	198	null	16#1980	16#1980	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
516		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
517		34010001	5	22	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
518		34010001	5	22	128	null	16#1280	16#1280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
519		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
520		34010001	5	22	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
521		34010001	5	23	6	null	16#120	16#120	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
522		34010001	5	23	30	null	16#360	16#360	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
523		34010001	5	23	68	null	16#680	16#680	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
524		34010001	5	23	128	null	16#1280	16#1280	0	null	null	1006	9	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
525		34010001	5	23	198	null	16#1980	16#1980	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
526		34010001	5	23	328	null	16#3280	16#3280	0	null	null	1006	9	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
527		34010001	5	23	648	null	16#6480	16#6480	0	null	null	1006	1	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
532		34010001	5	22	128	null	16#1280	16#1280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
533		34010001	5	22	328	null	16#3280	16#3280	0	null	null	1006	6	1	1	0	null	0	1	3	0	0	7	null			2	0	null	1#999#999|4#0#0	100
