Id	ActivityId	TaskValue	Reward
int	int	int	mut,int#int,2
1	10	1	12013#1
2	10	2	12013#2
3	10	3	12013#3
4	10	4	12013#4
5	10	5	12013#5
6	10	6	12013#6
7	10	7	12013#7
8	10	8	12013#8
9	10	9	12013#9
10	10	10	12013#10
11	10	11	12013#11
12	10	12	12013#12
13	10	13	12013#13
14	10	14	12013#14
15	10	15	12013#15
16	10	16	12013#16
17	10	17	12013#17
18	10	18	12013#18
19	10	19	12013#19
20	10	20	12013#20
21	10	21	12013#21
22	10	22	12013#22
23	10	23	12013#23
24	10	24	12013#24
25	10	25	12013#25
26	10	26	12013#26
27	10	27	12013#27
28	10	28	12013#28
29	10	29	12013#29
30	10	30	12013#30
31	10	31	12013#31
32	10	32	12013#32
33	10	33	12013#33
34	10	34	12013#34
35	10	35	12013#35
36	10	36	12013#36
37	10	37	12013#37
38	10	38	12013#38
39	10	39	12013#39
40	10	40	12013#40
41	10	41	12013#41
42	10	42	12013#42
43	10	43	12013#43
44	10	44	12013#44
45	10	45	12013#45
46	10	46	12013#46
47	10	47	12013#47
48	10	48	12013#48
49	10	49	12013#49
50	10	50	12013#50
51	10	51	12013#51
52	10	52	12013#52
53	10	53	12013#53
54	10	54	12013#54
55	10	55	12013#55
56	10	56	12013#56
57	10	57	12013#57
58	10	58	12013#58
59	10	59	12013#59
60	10	60	12013#60
61	10	61	12013#61
62	10	62	12013#62
63	10	63	12013#63
64	10	64	12013#64
65	10	65	12013#65
66	10	66	12013#66
67	10	67	12013#67
68	10	68	12013#68
69	10	69	12013#69
70	10	70	12013#70
71	10	71	12013#71
72	10	72	12013#72
73	10	73	12013#73
74	10	74	12013#74
75	10	75	12013#75
76	10	76	12013#76
77	10	77	12013#77
78	10	78	12013#78
79	10	79	12013#79
80	10	80	12013#80
81	10	81	12013#81
82	10	82	12013#82
83	10	83	12013#83
84	10	84	12013#84
85	10	85	12013#85
86	10	86	12013#86
87	10	87	12013#87
88	10	88	12013#88
89	10	89	12013#89
90	10	90	12013#90
91	10	91	12013#91
92	10	92	12013#92
93	10	93	12013#93
94	10	94	12013#94
95	10	95	12013#95
96	10	96	12013#96
97	10	97	12013#97
98	10	98	12013#98
99	10	99	12013#99
100	10	100	12013#100
101	25	1	12013#1
102	25	2	12013#2
103	25	3	12013#3
104	25	4	12013#4
105	25	5	12013#5
106	25	6	12013#6
107	25	7	12013#7
108	25	8	12013#8
109	25	9	12013#9
110	25	10	12013#10
111	25	11	12013#11
112	25	12	12013#12
113	25	13	12013#13
114	25	14	12013#14
115	25	15	12013#15
116	25	16	12013#16
117	25	17	12013#17
118	25	18	12013#18
119	25	19	12013#19
120	25	20	12013#20
121	25	21	12013#21
122	25	22	12013#22
123	25	23	12013#23
124	25	24	12013#24
125	25	25	12013#25
126	25	26	12013#26
127	25	27	12013#27
128	25	28	12013#28
129	25	29	12013#29
130	25	30	12013#30
131	25	31	12013#31
132	25	32	12013#32
133	25	33	12013#33
134	25	34	12013#34
135	25	35	12013#35
136	25	36	12013#36
137	25	37	12013#37
138	25	38	12013#38
139	25	39	12013#39
140	25	40	12013#40
141	25	41	12013#41
142	25	42	12013#42
143	25	43	12013#43
144	25	44	12013#44
145	25	45	12013#45
146	25	46	12013#46
147	25	47	12013#47
148	25	48	12013#48
149	25	49	12013#49
150	25	50	12013#50
151	25	51	12013#51
152	25	52	12013#52
153	25	53	12013#53
154	25	54	12013#54
155	25	55	12013#55
156	25	56	12013#56
157	25	57	12013#57
158	25	58	12013#58
159	25	59	12013#59
160	25	60	12013#60
161	25	61	12013#61
162	25	62	12013#62
163	25	63	12013#63
164	25	64	12013#64
165	25	65	12013#65
166	25	66	12013#66
167	25	67	12013#67
168	25	68	12013#68
169	25	69	12013#69
170	25	70	12013#70
171	25	71	12013#71
172	25	72	12013#72
173	25	73	12013#73
174	25	74	12013#74
175	25	75	12013#75
176	25	76	12013#76
177	25	77	12013#77
178	25	78	12013#78
179	25	79	12013#79
180	25	80	12013#80
181	25	81	12013#81
182	25	82	12013#82
183	25	83	12013#83
184	25	84	12013#84
185	25	85	12013#85
186	25	86	12013#86
187	25	87	12013#87
188	25	88	12013#88
189	25	89	12013#89
190	25	90	12013#90
191	25	91	12013#91
192	25	92	12013#92
193	25	93	12013#93
194	25	94	12013#94
195	25	95	12013#95
196	25	96	12013#96
197	25	97	12013#97
198	25	98	12013#98
199	25	99	12013#99
200	25	100	12013#100
