Id	Day	reward
int	int	mut,int#int,1
101	1	4#100
102	2	20#1
103	3	16#200
104	4	60100#1
105	5	14#500000
106	6	16#200
107	7	6001020#10
108	8	16#200
109	9	60125#1
110	10	14#500000
111	11	16#200
112	12	6001020#10
113	13	16#200
114	14	60135#1
115	15	14#500000
116	16	16#200
117	17	6001020#10
118	18	16#200
119	19	60140#1
120	20	14#500000
121	21	16#200
122	22	6001020#10
123	23	16#200
124	24	60413#1
125	25	14#500000
126	26	16#200
127	27	6001020#10
128	28	16#200
129	29	20#1
130	30	14#1000000
131	31	16#200
