Id	Type
int	int
10111	2
10112	2
10113	2
10114	2
10115	2
10116	2
10117	2
10118	2
10131	2
10132	2
10133	2
10134	2
10135	2
10136	2
10137	2
10138	2
10211	2
10212	2
10213	2
10231	2
10232	2
10233	2
10311	2
10312	2
10313	2
10331	2
10332	2
10333	2
10411	2
10412	2
10413	2
10414	2
10415	2
10416	2
10417	2
10418	2
10431	2
10432	2
10433	2
10434	2
10435	2
10436	2
10437	2
10438	2
10511	2
10512	2
10513	2
10514	2
10515	2
10516	2
10517	2
10518	2
10531	2
10532	2
10533	2
10534	2
10535	2
10536	2
10537	2
10538	2
10611	2
10612	2
10613	2
10614	2
10615	2
10616	2
10617	2
10618	2
10631	2
10632	2
10633	2
10634	2
10635	2
10636	2
10637	2
10638	2
10711	2
10712	2
10713	2
10714	2
10715	2
10716	2
10717	2
10718	2
10731	2
10732	2
10733	2
10734	2
10735	2
10736	2
10737	2
10738	2
10811	2
10812	2
10813	2
10814	2
10815	2
10816	2
10817	2
10818	2
10831	2
10832	2
10833	2
10834	2
10835	2
10836	2
10837	2
10838	2
10911	2
10912	2
10913	2
10914	2
10915	2
10916	2
10917	2
10918	2
10931	2
10932	2
10933	2
10934	2
10935	2
10936	2
10937	2
10938	2
11011	2
11012	2
11013	2
11014	2
11015	2
11016	2
11017	2
11018	2
11031	2
11032	2
11033	2
11034	2
11035	2
11036	2
11037	2
11038	2
11111	2
11131	2
11211	2
11311	2
11331	2
11411	2
11431	2
11511	2
11531	2
11811	2
12111	2
12311	2
12411	2
12412	2
12413	2
12414	2
12416	2
12417	2
12418	2
12415	2
12431	2
12432	2
12433	2
12434	2
12435	2
12436	2
12437	2
12438	2
20111	2
20112	2
20113	2
20114	2
20115	2
20116	2
20117	2
20118	2
20131	2
20132	2
20133	2
20134	2
20135	2
20136	2
20137	2
20138	2
20211	2
20212	2
20213	2
20214	2
20215	2
20216	2
20217	2
20218	2
20231	2
20232	2
20233	2
20234	2
20235	2
20236	2
20237	2
20238	2
20311	2
20312	2
20313	2
20314	2
20315	2
20316	2
20317	2
20318	2
20331	2
20332	2
20333	2
20334	2
20335	2
20336	2
20337	2
20338	2
20411	2
20412	2
20413	2
20431	2
20432	2
20433	2
20511	2
20512	2
20513	2
20514	2
20515	2
20516	2
20517	2
20518	2
20531	2
20532	2
20533	2
20534	2
20535	2
20536	2
20537	2
20538	2
20611	2
20612	2
20613	2
20614	2
20615	2
20616	2
20617	2
20618	2
20711	2
20712	2
20713	2
20731	2
20732	2
20733	2
20811	2
20812	2
20813	2
20814	2
20815	2
20816	2
20817	2
20818	2
20831	2
20832	2
20833	2
20834	2
20835	2
20836	2
20837	2
20838	2
20911	2
20912	2
20913	2
20914	2
20915	2
20916	2
20917	2
20918	2
20931	2
20932	2
20933	2
20934	2
20935	2
20936	2
20937	2
20938	2
21011	2
21031	2
21111	2
21131	2
21211	2
21231	2
21311	2
21331	2
21411	2
21431	2
21911	2
22111	2
22211	2
22311	2
22312	2
22313	2
22314	2
22315	2
22316	2
22317	2
22318	2
22331	2
22332	2
22333	2
22334	2
22335	2
22336	2
22337	2
22338	2
30111	2
30112	2
30113	2
30114	2
30115	2
30116	2
30117	2
30118	2
30131	2
30132	2
30133	2
30134	2
30135	2
30136	2
30137	2
30138	2
30211	2
30212	2
30213	2
30214	2
30215	2
30216	2
30217	2
30218	2
30231	2
30232	2
30233	2
30234	2
30235	2
30236	2
30237	2
30238	2
30311	2
30312	2
30313	2
30314	2
30315	2
30316	2
30317	2
30318	2
30331	2
30332	2
30333	2
30334	2
30335	2
30336	2
30337	2
30338	2
30411	2
30412	2
30413	2
30414	2
30415	2
30416	2
30417	2
30418	2
30431	2
30432	2
30433	2
30434	2
30435	2
30436	2
30437	2
30438	2
30511	2
30512	2
30513	2
30531	2
30532	2
30533	2
30611	2
30612	2
30613	2
30614	2
30615	2
30616	2
30617	2
30618	2
30631	2
30632	2
30633	2
30634	2
30635	2
30636	2
30637	2
30638	2
30711	2
30712	2
30713	2
30714	2
30715	2
30716	2
30717	2
30718	2
30731	2
30732	2
30733	2
30734	2
30735	2
30736	2
30737	2
30738	2
30811	2
30812	2
30813	2
30814	2
30815	2
30816	2
30817	2
30818	2
30831	2
30832	2
30833	2
30834	2
30835	2
30836	2
30837	2
30838	2
30911	2
30912	2
30913	2
30914	2
30915	2
30916	2
30917	2
30918	2
30931	2
30932	2
30933	2
30934	2
30935	2
30936	2
30937	2
30938	2
31011	2
31031	2
31111	2
31131	2
31211	2
31231	2
31311	2
31312	2
31313	2
31331	2
31332	2
31333	2
31411	2
31431	2
31711	2
32011	2
32211	2
40111	2
40112	2
40113	2
40114	2
40115	2
40116	2
40117	2
40118	2
40131	2
40132	2
40133	2
40134	2
40135	2
40136	2
40137	2
40138	2
40211	2
40212	2
40213	2
40214	2
40215	2
40216	2
40217	2
40218	2
40231	2
40232	2
40233	2
40234	2
40235	2
40236	2
40237	2
40238	2
40311	2
40312	2
40313	2
40314	2
40315	2
40316	2
40317	2
40318	2
40331	2
40332	2
40333	2
40334	2
40335	2
40336	2
40337	2
40338	2
40411	2
40412	2
40413	2
40431	2
40432	2
40433	2
40511	2
40512	2
40513	2
40514	2
40515	2
40516	2
40517	2
40518	2
40611	2
40612	2
40613	2
40614	2
40615	2
40616	2
40617	2
40618	2
40631	2
40632	2
40633	2
40634	2
40635	2
40636	2
40637	2
40638	2
40711	2
40712	2
40713	2
40714	2
40715	2
40716	2
40717	2
40718	2
40731	2
40732	2
40733	2
40734	2
40735	2
40736	2
40737	2
40738	2
40811	2
40812	2
40813	2
40814	2
40815	2
40816	2
40817	2
40818	2
40831	2
40832	2
40833	2
40834	2
40835	2
40836	2
40837	2
40838	2
40911	2
40931	2
41011	2
41031	2
41111	2
41131	2
41211	2
41231	2
41311	2
41411	2
41412	2
41413	2
41414	2
41415	2
41416	2
41417	2
41418	2
41431	2
41432	2
41433	2
41434	2
41435	2
41436	2
41437	2
41438	2
41511	2
41512	2
41513	2
41514	2
41515	2
41516	2
41517	2
41518	2
41531	2
41532	2
41533	2
41534	2
41535	2
41536	2
41537	2
41538	2
50111	2
50112	2
50113	2
50114	2
50115	2
50116	2
50117	2
50118	2
50131	2
50132	2
50133	2
50134	2
50135	2
50136	2
50137	2
50138	2
50211	2
50212	2
50213	2
50214	2
50215	2
50216	2
50217	2
50218	2
50231	2
50232	2
50233	2
50234	2
50235	2
50236	2
50237	2
50238	2
50311	2
50312	2
50313	2
50314	2
50315	2
50316	2
50317	2
50318	2
50331	2
50332	2
50333	2
50334	2
50335	2
50336	2
50337	2
50338	2
50411	2
50412	2
50413	2
50414	2
50415	2
50416	2
50417	2
50418	2
50431	2
50432	2
50433	2
50434	2
50435	2
50436	2
50437	2
50438	2
50511	2
50512	2
50513	2
50514	2
50515	2
50516	2
50517	2
50518	2
50531	2
50532	2
50533	2
50534	2
50535	2
50536	2
50537	2
50538	2
50611	2
50612	2
50613	2
50614	2
50615	2
50616	2
50617	2
50618	2
50631	2
50632	2
50633	2
50634	2
50635	2
50636	2
50637	2
50638	2
50711	2
50712	2
50713	2
50714	2
50715	2
