Id	Target	Effect	EffectValue	CD	SkillDisplay	Repeat	release	Group	Level	NextLv	Slot
int	mut,float#float,2	mut,int#int,2	mut,float#float,2	float	int	int	int	int	int	int	int
10111	200000.0	1#211	0.7#2|0.3#1#20#3#0.1#2	1.0	1011	1	1	1011	1	10112	1
10112	200000.0	1#211	0.84#2|0.4#1#20#3#0.15#2	1.0	1011	1	1	1011	2	10113	1
10113	200000.0	1#211	1.0#2|0.5#1#20#3#0.2#2	1.0	1011	1	1	1011	3	10114	1
10114	200000.0	1#211	1.04#2|0.5#1#20#3#0.208#2	1.0	1011	1	1	1011	4	10115	1
10115	200000.0	1#211	1.08#2|0.5#1#20#3#0.216#2	1.0	1011	1	1	1011	5	10116	1
10116	200000.0	1#211	1.12#2|0.5#1#20#3#0.224#2	1.0	1011	1	1	1011	6	10117	1
10117	200000.0	1#211	1.16#2|0.5#1#20#3#0.232#2	1.0	1011	1	1	1011	7	10118	1
10118	200000.0	1#211	1.2#2|0.5#1#20#3#0.24#2	1.0	1011	1	1	1011	8	0	1
10131	200000.0	1#254	1.1#2|1.0#1#1#4#0.15#2	3.0	1013	1	2	1013	1	10132	3
10132	200000.0	1#254	1.32#2|1.0#1#1#4#0.15#2	3.0	1013	1	2	1013	2	10133	3
10133	200000.0	1#254	1.58#2|1.0#1#1#4#0.15#2	3.0	1013	1	2	1013	3	10134	3
10134	200000.0	1#254	1.64#2|1.0#1#1#4#0.15#2	3.0	1013	1	2	1013	4	10135	3
10135	200000.0	1#254	1.71#2|1.0#1#1#4#0.15#2	3.0	1013	1	2	1013	5	10136	3
10136	200000.0	1#254	1.77#2|1.0#1#1#4#0.15#2	3.0	1013	1	2	1013	6	10137	3
10137	200000.0	1#254	1.83#2|1.0#1#1#4#0.15#2	3.0	1013	1	2	1013	7	10138	3
10138	200000.0	1#254	1.9#2|1.0#1#1#4#0.15#2	3.0	1013	1	2	1013	8	0	3
10211	210000.0	10	1.45#1#0.1	1.0	1021	1	1	1021	1	10212	1
10212	210000.0	10	1.71#1#0.2	1.0	1021	1	1	1021	2	10213	1
10213	210000.0	10	2.06#1#0.3	1.0	1021	1	1	1021	3	0	1
10231	300000.0	4#4	23#0.15#2#1|6#0.15#2#1	3.0	1023	1	2	1023	1	10232	3
10232	300000.0	4#4	23#0.2#2#1|6#0.2#2#1	3.0	1023	1	2	1023	2	10233	3
10233	300000.0	4#4	23#0.25#2#1|6#0.25#2#1	3.0	1023	1	2	1023	3	0	3
10311	200000.0	1#259	0.79#2|0.25#1#1#4#0.1#22#3#0.1#2	1.0	1031	1	1	1031	1	10312	1
10312	200000.0	1#259	0.95#2|0.35#1#1#4#0.1#22#3#0.1#2	1.0	1031	1	1	1031	2	10313	1
10313	200000.0	1#259	1.14#2|0.45#1#1#4#0.1#22#3#0.1#2	1.0	1031	1	1	1031	3	0	1
10331	200004.0	1#230	0.95#2|1#0.3#8#3	3.0	1033	1	2	1033	1	10332	3
10332	200004.0	1#230	1.13#2|1#0.4#8#3	3.0	1033	1	2	1033	2	10333	3
10333	200004.0	1#230	1.36#2|1#0.5#8#3	3.0	1033	1	2	1033	3	0	3
10411	200004.0	1#254	0.7#2|0.3#1#1#4#0.15#2	1.0	1041	1	1	1041	1	10412	1
10412	200004.0	1#254	0.84#2|0.4#1#1#4#0.15#2	1.0	1041	1	1	1041	2	10413	1
10413	200004.0	1#254	1.0#2|0.5#1#1#4#0.15#2	1.0	1041	1	1	1041	3	10414	1
10414	200004.0	1#254	1.04#2|0.52#1#1#4#0.15#2	1.0	1041	1	1	1041	4	10415	1
10415	200004.0	1#254	1.08#2|0.54#1#1#4#0.15#2	1.0	1041	1	1	1041	5	10416	1
10416	200004.0	1#254	1.12#2|0.56#1#1#4#0.15#2	1.0	1041	1	1	1041	6	10417	1
10417	200004.0	1#254	1.16#2|0.58#1#1#4#0.15#2	1.0	1041	1	1	1041	7	10418	1
10418	200004.0	1#254	1.2#2|0.6#1#1#4#0.15#2	1.0	1041	1	1	1041	8	0	1
10431	200000.0	287#1#3	1#2#9#1#0.1|0.91#2|0.15#8#2	3.0	1043	1	2	1043	1	10432	3
10432	200000.0	287#1#3	1#2#9#1#0.2|1.09#2|0.25#8#2	3.0	1043	1	2	1043	2	10433	3
10433	200000.0	287#1#3	1#2#9#1#0.3|1.3#2|0.30#8#2	3.0	1043	1	2	1043	3	10434	3
10434	200000.0	287#1#3	1#2#9#1#0.312|1.36#2|0.312#8#2	3.0	1043	1	2	1043	4	10435	3
10435	200000.0	287#1#3	1#2#9#1#0.324|1.41#2|0.324#8#2	3.0	1043	1	2	1043	5	10436	3
10436	200000.0	287#1#3	1#2#9#1#0.336|1.46#2|0.15#8#2	3.0	1043	1	2	1043	6	10437	3
10437	200000.0	287#1#3	1#2#9#1#0.348|1.51#2|0.348#8#2	3.0	1043	1	2	1043	7	10438	3
10438	200000.0	287#1#3	1#2#9#1#0.36|1.56#2|0.36#8#2	3.0	1043	1	2	1043	8	0	3
10511	100211.0	24#4	1#1.6|22#0.1#2#1	1.0	1051	1	1	1051	1	10512	1
10512	100211.0	24#4	1#1.92|22#0.2#2#1	1.0	1051	1	1	1051	2	10513	1
10513	100211.0	24#4	1#2.3|22#0.3#2#1	1.0	1051	1	1	1051	3	10514	1
10514	100211.0	24#4	1#2.4|22#0.312#2#1	1.0	1051	1	1	1051	4	10515	1
10515	100211.0	24#4	1#2.49|22#0.324#2#1	1.0	1051	1	1	1051	5	10516	1
10516	100211.0	24#4	1#2.58|22#0.336#2#1	1.0	1051	1	1	1051	6	10517	1
10517	100211.0	24#4	1#2.67|22#0.348#2#1	1.0	1051	1	1	1051	7	10518	1
10518	100211.0	24#4	1#2.76|22#0.36#2#1	1.0	1051	1	1	1051	8	0	1
10531	100213.0	24#208	1#1.1|0.4#1#2#6	3.0	1053	1	2	1053	1	10532	3
10532	100213.0	24#208	1#1.32|0.6#1#2#6	3.0	1053	1	2	1053	2	10533	3
10533	100213.0	24#208	1#1.58|0.8#1#2#6	3.0	1053	1	2	1053	3	10534	3
10534	100213.0	24#208	1#1.65|0.8#1#2#6	3.0	1053	1	2	1053	4	10535	3
10535	100213.0	24#208	1#1.71|0.8#1#2#6	3.0	1053	1	2	1053	5	10536	3
10536	100213.0	24#208	1#1.77|0.8#1#2#6	3.0	1053	1	2	1053	6	10537	3
10537	100213.0	24#208	1#1.84|0.8#1#2#6	3.0	1053	1	2	1053	7	10538	3
10538	100213.0	24#208	1#1.90|0.8#1#2#6	3.0	1053	1	2	1053	8	0	3
10611	400000|300000	288#1|266	1.0#1#23#3#0.1|1.81#1|1.0#2#22#1#0.15#3	1.0	1061	1	1	1061	1	10612	1
10612	400000|300000	288#1|266	1.0#1#23#3#0.2|2.17#1|1.0#2#22#1#0.2#3	1.0	1061	1	1	1061	2	10613	1
10613	400000|300000	288#1|266#266	1.0#1#23#3#0.3|2.6#1|1.0#2#22#1#0.25#3|1.0#2#10#1#0.3#3	1.0	1061	1	1	1061	3	10614	1
10614	400000|300000	288#1|266#266	1.0#1#23#3#0.3|2.71#1|1.0#2#22#1#0.26#3|1.0#2#10#1#0.312#3	1.0	1061	1	1	1061	4	10615	1
10615	400000|300000	288#1|266#266	1.0#1#23#3#0.3|2.81#1|1.0#2#22#1#0.27#3|1.0#2#10#1#0.324#3	1.0	1061	1	1	1061	5	10616	1
10616	400000|300000	288#1|266#266	1.0#1#23#3#0.3|2.92#1|1.0#2#22#1#0.28#3|1.0#2#10#1#0.336#3	1.0	1061	1	1	1061	6	10617	1
10617	400000|300000	288#1|266#266	1.0#1#23#3#0.3|3.02#1|1.0#2#22#1#0.29#3|1.0#2#10#1#0.348#3	1.0	1061	1	1	1061	7	10618	1
10618	400000|300000	288#1|266#266	1.0#1#23#3#0.3|3.12#1|1.0#2#22#1#0.3#3|1.0#2#10#1#0.36#3	1.0	1061	1	1	1061	8	0	1
10631	240000.0	1#211	1.31#1|0.5#1#9#3#0.15#2	3.0	1063	1	2	1063	1	10632	3
10632	240000.0	1#211	1.57#1|0.6#1#9#3#0.2#2	3.0	1063	1	2	1063	2	10633	3
10633	240000.0	1#211	1.88#1|0.7#1#9#3#0.25#2	3.0	1063	1	2	1063	3	10634	3
10634	240000.0	1#211	1.96#1|0.7#1#9#3#0.26#2	3.0	1063	1	2	1063	4	10635	3
10635	240000.0	1#211	2.04#1|0.7#1#9#3#0.27#2	3.0	1063	1	2	1063	5	10636	3
10636	240000.0	1#211	2.11#1|0.7#1#9#3#0.28#2	3.0	1063	1	2	1063	6	10637	3
10637	240000.0	1#211	2.19#1|0.7#1#9#3#0.29#2	3.0	1063	1	2	1063	7	10638	3
10638	240000.0	1#211	2.26#1|0.7#1#9#3#0.3#2	3.0	1063	1	2	1063	8	0	3
10711	180322|300000	220#212|212#208	0.35#2#3|1.0#1#23#1#0.05#6#1#0.05#2|1.0#1#23#1#0.05#6#1#0.05#2|1.0#2#0#6	3.0	1071	1	1	1071	1	10712	1
10712	180322|300000	220#212|212#208	0.35#2#3|1.0#1#23#1#0.1#6#1#0.1#2|1.0#1#23#1#0.1#6#1#0.1#2|1.0#2#0#6	3.0	1071	1	1	1071	2	10713	1
10713	180322|300000	220#212|212#208	0.35#2#3|1.0#1#23#1#0.15#6#1#0.15#2|1.0#1#23#1#0.15#6#1#0.15#2|1.0#2#0#6	3.0	1071	1	1	1071	3	10714	1
10714	180322|300000	220#212|212#208	0.35#2#3|1.0#1#23#1#0.156#6#1#0.156#2|1.0#1#23#1#0.156#6#1#0.156#2|1.0#2#0#6	3.0	1071	1	1	1071	4	10715	1
10715	180322|300000	220#212|212#208	0.35#2#3|1.0#1#23#1#0.162#6#1#0.162#2|1.0#1#23#1#0.162#6#1#0.162#2|1.0#2#0#6	3.0	1071	1	1	1071	5	10716	1
10716	180322|300000	220#212|212#208	0.35#2#3|1.0#1#23#1#0.168#6#1#0.168#2|1.0#1#23#1#0.168#6#1#0.168#2|1.0#2#0#6	3.0	1071	1	1	1071	6	10717	1
10717	180322|300000	220#212|212#208	0.35#2#3|1.0#1#23#1#0.174#6#1#0.174#2|1.0#1#23#1#0.174#6#1#0.174#2|1.0#2#0#6	3.0	1071	1	1	1071	7	10718	1
10718	180322|300000	220#212|212#208	0.35#2#3|1.0#1#23#1#0.18#6#1#0.18#2|1.0#1#23#1#0.18#6#1#0.18#2|1.0#2#0#6	3.0	1071	1	1	1071	8	0	1
10731	201321.0	1#256	1.5#1|0.4#1#0.35#1	3.0	1073	1	2	1073	1	10732	3
10732	201321.0	1#256	1.8#1|0.45#1#0.35#1	3.0	1073	1	2	1073	2	10733	3
10733	201321.0	1#256	2.16#1|0.45#1#0.35#1	3.0	1073	1	2	1073	3	10734	3
10734	201321.0	1#256	2.25#1|0.52#1#0.35#1	3.0	1073	1	2	1073	4	10735	3
10735	201321.0	1#256	2.34#1|0.54#1#0.35#1	3.0	1073	1	2	1073	5	10736	3
10736	201321.0	1#256	2.42#1|0.56#1#0.35#1	3.0	1073	1	2	1073	6	10737	3
10737	201321.0	1#256	2.51#1|0.58#1#0.35#1	3.0	1073	1	2	1073	7	10738	3
10738	201321.0	1#256	2.6#1|0.6#1#0.35#1	3.0	1073	1	2	1073	8	0	3
10811	210000.0	1#211#234	1.2#2|0.35#1#14#3#0.35#2|4#0.3#8#2	1.0	1081	1	1	1081	1	10812	1
10812	210000.0	1#211#234	1.44#2|0.5#1#14#3#0.35#2|4#0.35#8#2	1.0	1081	1	1	1081	2	10813	1
10813	210000.0	1#211#234	1.72#2|0.65#1#14#3#0.35#2|4#0.4#8#2	1.0	1081	1	1	1081	3	10814	1
10814	210000.0	1#211#234	1.79#2|0.664#1#14#3#0.35#2|4#0.4#8#2	1.0	1081	1	1	1081	4	10815	1
10815	210000.0	1#211#234	1.86#2|0.678#1#14#3#0.35#2|4#0.4#8#2	1.0	1081	1	1	1081	5	10816	1
