Id	RobotLevel	RobotScore	Formation	RoleId	RoleLv
int	int	int	int	mut,int#int,1	int
1	120	1	1	10064#10048#10053#10050#10054	205
2	120	2	2	10047#10048#10053#10050#10059	205
3	120	3	3	10047#10048#10049#10050#10051	205
4	120	4	4	10047#10048#10049#10050#10051	205
5	120	5	5	10064#10048#10070#10050#10054	205
6	120	6	6	10047#10048#10053#10050#10051	205
7	120	7	1	10047#10048#10049#10050#10054	205
8	120	8	2	10047#10061#10053#10050#10054	205
9	120	9	3	10047#10048#10049#10050#10054	205
10	120	10	4	10047#10048#10053#10066#10051	205
11	118	11	5	10047#10048#10072#10050#10069	203
12	118	12	6	10047#10061#10053#10050#10054	203
13	118	13	1	10047#10048#10049#10050#10054	203
14	118	14	2	10047#10057#10053#10050#10054	203
15	118	15	3	10047#10048#10072#10050#10058	203
16	118	16	4	10047#10057#10053#10066#10054	203
17	118	17	5	10047#10048#10049#10068#10069	203
18	118	18	6	10047#10048#10053#10050#10069	203
19	118	19	1	10047#10048#10072#10067#10069	203
20	118	20	2	10047#10057#10049#10068#10069	203
21	116	21	3	10062#10061#10070#10050#10051	201
22	116	22	4	10047#10061#10049#10050#10069	201
23	116	23	5	10064#10061#10053#10050#10059	201
24	116	24	6	10047#10048#10071#10066#10054	201
25	116	25	1	10047#10061#10049#10068#10054	201
26	116	26	2	10064#10048#10071#10050#10058	201
27	116	27	3	10047#10061#10049#10068#10058	201
28	116	28	4	10047#10048#10071#10067#10058	201
29	116	29	5	10047#10057#10049#10067#10054	201
30	116	30	6	10047#10057#10072#10050#10059	201
31	114	31	1	10047#10057#10072#10066#10054	199
32	114	32	2	10047#10048#10072#10066#10069	199
33	114	33	3	10047#10061#10070#10050#10054	199
34	114	34	4	10047#10061#10049#10067#10069	199
35	114	35	5	10047#10048#10070#10066#10069	199
36	114	36	6	10062#10048#10053#10050#10058	199
37	114	37	1	10062#10048#10049#10066#10058	199
38	114	38	2	10062#10061#10049#10050#10054	199
39	114	39	3	10047#10061#10070#10050#10054	199
40	114	40	4	10047#10048#10071#10066#10051	199
41	112	41	5	10064#10048#10053#10068#10051	197
42	112	42	6	10047#10048#10053#10067#10069	197
43	112	43	1	10047#10048#10070#10067#10054	197
44	112	44	2	10047#10048#10070#10068#10059	197
45	112	45	3	10062#10048#10049#10050#10058	197
46	112	46	4	10062#10007#10071#10066#10040	197
47	112	47	5	10064#10061#10038#10066#10030	197
