Id	Key	Value
int	string	string
1	Hero_RankUpExceptMat	26
2	Phone_Binding	48
3	Arena_RankingShowNum	100
4	Trial_RankingShowNum	100
5	Beasts_RankingShowNum	100
6	Adventure_RankingShowNum	100
7	Combat_RankingShowNum	100
8	Mandatory_Astrological	4
9	EquipSign_limit	9999
10	EquipTalismana_limit	9999
11	FriendAmount_limit	80
12	FriendApplyAmount_limit	10
13	Friend_Gift	69#10
14	Sunlong_DailyTasks	10#6#10
15	Sunlong_WeeklyTasks	1
16	Sunlong_GetReward	16#0|68#15000
17	Sunlong_Integral	68#0
18	Sunlong_Cost	16|0#0#600#0
19	Sunlong_Reward	68#1500
20	Level_RankingShowNum	100
21	lamp_lottery_content_parm	5
22	lamp_rankup_hero_content_parm	10
23	lamp_lottery_differ_content_parm	6
24	lamp_rankup_differ_content_parm	10
25	lamp_lottery_equip_content_parm	5
26	lamp_lottery_equipsign_content_parm	5
27	lamp_lottery_equiptalisman_content_parm	5
28	lamp_rankup_equipsign_content_parm	5
29	lamp_rankup_equiptalisman_content_parm	8
30	FriendBlackAmount_limit	10
31	lamp_text_speed	100
32	time_limit_recruitment_integral	10
33	time_limit_recruitment_FreeIntegral	150#32
34	hero_return_percent	10000
35	hero_sacrifice_percent	10000
36	hero_resolve_licence	1#101#201#301#1301#1401#1402#1501#1601#1701#1801
37	Sign_Location	56#56#60#80#100#110#120#130#140#150
38	Gold_touch	12#51#52
39	Gold_touch_refresh	3#6#9
40	Jewel_open	1#75|2#1
41	daily_challenge_desc1	90010052
42	daily_challenge_desc2	90010053
43	daily_challenge_desc3	90010054
44	daily_challenge_desc4	90010055
45	daily_challenge_desc5	90010056
46	guild_technology_return_percent	9000
47	unlock_copy_normal_team_id	101#201#501#502#601#901#1101#1201#1301#1501#1904
48	expedition_reborn	48
49	unlock_energy_cacha_rmb	15
50	reward_of_worship	14#20000
51	discount_level	18#10
52	Guild_war_isopen	0
53	LuckyTurnDailyLimit	99999
54	hero_sacrifice_limit	10
55	jewel_sacrifice_limit	10
56	racetower_gain	5000
57	racetower_privilege	116#117
58	dailychallenge_open_time	90010057
59	dailychallenge_desc	90010058
60	flood_open_time	90010059
61	flood_desc	90010060
62	expedition_open_time	90010061
63	expedition_desc	90010062
64	chechi_open_time	90010063
65	chechi_desc	90010064
66	trial_open_time	90010065
67	trial_desc	90010066
68	replace_item_id	92
69	replace_cost	4#20|5#100
70	xuanyuan_open_time	1#1#6#7|2#2#6#7|3#3#6#7|4#4#6#7|5#5#6#7
71	xuanyuan_Y_tips	90010067
72	xuanyuan_S_tips	90010068
73	xuanyuan_F_tips	90010069
74	xuanyuan_M_tips	90010070
75	xuanyuan_open_allday	90010071
76	xuanyuan_desc	90010072
77	hefugaiming_mail_geren	64#1
78	hefugaiming_mail_gonghui	100
79	exchange_focus_type	1
80	com.tcxgpcsb.pass	tokenAndroidTest
81	com.tcxgp.pass	tokenAndroidRelease
82	com.tcx.pass	tokenIos
83	endless_open_time	90010073
84	endless_desc	90010074
85	sky_treasure_score_ingift	200
86	senluo_ignore_hero_list	10004|10007|10018|10024
87	guildCheck_basics_reward	65#100|14#25000
88	MedalRefineMaxTimes	44
89	MedalRefineGrowRate	380#1
90	WarWaySlotUnlockStars	6#11
91	VirtualChallengeTimes	2
92	VirtualChallengeBuyTimes	3
93	VirtualChallengeBuyCost	16#20|16#30|16#40
94	VirtualEliteChallengeTimes	2
95	VirtualEliteChallengeBuyTimes	3
96	VirtualEliteChallengeBuyCost	16#20|16#30|16#40
97	VirtualReset	0
98	TrialReturn	0#10
99	GuildTaskRefreshType1	Everyday#0
100	GuildTaskRefreshType2	Monday#0
101	TrialFriendSupport	69#10
102	TrialFriendSupportCardPowerMaxRate	12000
103	BlitzFriendSupport	69#10
104	BlitzFriendSupportCardPowerMaxRate	15000
105	BlitzFriendSupportUseTimes	3
106	BlitzRevive	16#50#15
107	BlitzReviveLimit	6#2
108	SupremacyChallengeCD	1200
109	SkyLadderCost	10
110	SkyLadderTime	20
111	SkyLadderCD	3
112	BlitzCDTimes	0
113	BlitzCD	20
114	xuanyuan_D_tips	90010075
115	DefTraining_open_time	90010076
116	DefTraining_desc	90010077
117	shandian_open_time	90010078
118	shandian_desc	90010079
119	Supremacy_open_time	90010080
120	Supremacy_desc	90010081
121	AlameinTime	17
122	WorldBoss_open_time	90010082
123	CombatPlanUnlock	1#1#100|2#2#7
124	MotherShipTask	20001#20002#20003#20004
125	HeroPowerBasis	0
126	PlayFormationLineup	1#101#1401#1301#1501
127	HeroBackpackGrid	5#100#50
128	GuildWarNum	5
129	AdjustUnlockStar	10
130	AdjustEquipToSkillSlot	1#1|2#2|3#3|4#4
131	UniqueUnlockStar	11#12
132	MedalSetUnlockCost	14#50000|14#100000
133	ExpeditionUnlockLv	10
134	VirtualEliteUnlock	300#400
135	BattleReportAppreciateReward	14#3000
136	BattleReportAppreciateRefresh	0
137	BattleReportAppreciateLimit	3
138	BattleReportPersonalRecord	30
139	BattleReporCollection	20
140	BattleReportPersonal	30
141	Hongmeng_Lattice_Waitingtime	86400
142	Hongmeng_Lattice_Price	432#16#1
143	Hongmeng_upgrade_limit	6#330
144	Hongmeng_Onehero_OpenLevel	5
145	Hongmeng_Guard_limit	1#2#3#4#5#6#7#8#9
146	Hongmeng_Take_limit	2
147	Hongmeng_Messenger_limit	2#6#7#8
148	Hongmeng_Tablet_Level_Add	11#1|12#3|13#5
149	lamp_awaken_hero_content_parm	13
150	CarGroupMemberInherited	1#3#5#10
151	FreeTravel_event_Time	120
152	HeroBackpackBuyTimes	64
153	SkyLadderReward	50801#1|38091#1|103#1|6000110#1
154	BattleChessCD	1008#1800#1#10
