Id	Teamers	ActivePara	ActiveForce	FetterType	Reward	OpenLevel
int	mut,int#int,1	mut,int#int,2	int	int	mut,int#int,2	int
1	20002#20001	1#2000|2#200	9000	3	null	80
2	20003#20004	70#600|1#4000|2#400	36000	3	null	80
3	20004#20007	69#800|1#6000|2#600	72000	3	null	80
4	20004#20006	70#800|1#6000|2#600	72000	3	null	80
5	20003#20005	69#800|1#6000|2#600	72000	3	null	80
6	20007#20006	70#1000|1#8000|2#800	144000	3	null	80
7	10043#10029	1#500|3#30|4#30	0	1	16#100	0
8	10017#10016	1#500|3#30|4#30	0	1	16#100	0
9	10038#10037	1#500|2#50	0	1	16#100	0
10	10018#10020	1#500|2#50	0	1	16#100	0
11	10043#10021#10045	1#800|3#50|4#50	0	1	16#150	0
12	10026#10013#10032	1#800|3#50|4#50	0	1	16#150	0
13	10023#10003#10007	1#800|3#50|4#50	0	1	16#150	0
14	10034#10038#10037#10030	1#1000|2#200	0	1	16#150	0
15	10017#10035#10046#10009	1#1000|2#200	0	1	16#150	0
16	10085#10038#10035#10036	1#4000|60#100	0	1	16#200	999
17	10092#10002#10039#10029	3#400|56#100	0	1	16#200	999
18	10086#10010#10012#10015	4#400|55#100	0	1	16#200	999
19	10089#10022#10033#10034	1#4000|63#100	0	1	16#200	0
20	10090#10019#10031#10027	3#400|62#100	0	1	16#200	999
21	10006#10009#10091#10044	4#400|61#100	0	1	16#200	999
22	10011#10014#10040#10024#10004	1#6000|52#200	0	1	16#300	999
23	10001#10008#10087#10042#10025	3#600|63#200	0	1	16#300	0
24	10041#10088#10005#10028#10036	4#600|61#200	0	1	16#300	0
25	5000033	1#200	0	2	16#50	56
26	5000034	2#30	0	2	16#50	56
27	5000035	3#10	0	2	16#50	56
28	5000036	4#10	0	2	16#50	56
29	5000037	1#200	0	2	16#50	56
30	5000038	2#30	0	2	16#50	56
31	5000039	3#10	0	2	16#50	56
32	5000040	4#10	0	2	16#50	56
33	5000041	1#200	0	2	16#50	56
34	5000042	2#30	0	2	16#50	56
35	5000043	3#10	0	2	16#50	56
36	5000044	4#10	0	2	16#50	56
37	5000045	1#200	0	2	16#50	56
38	5000046	3#10	0	2	16#50	56
39	5000047	4#10	0	2	16#50	56
40	5000048	53#100	0	2	16#100	56
41	5000049	54#100	0	2	16#100	56
42	5000050	52#100	0	2	16#100	56
43	5000051	51#100	0	2	16#100	56
44	5000052	55#100	0	2	16#100	56
45	5000053	60#100	0	2	16#100	56
46	5000054	56#100	0	2	16#100	56
47	5000055	113#100	0	2	16#100	56
