Id	Star	Quality	StarPara	ConsumeItemNum	ConsumeRes	SumConsume	SumItemNum
int	int	int	int	int	mut,int#int,2	mut,int#int,2	int
1	0	3	0	1	1203#10	null	0
2	1	3	5000	2	1203#20	1203#10	1
3	2	3	10000	2	1203#40	1203#30	3
4	3	3	15000	3	1203#60	1203#70	5
5	4	3	20000	3	1203#100	1203#130	8
6	5	3	25000	3	1203#200	1203#230	11
7	6	3	30000	3	1203#300	1203#430	14
8	7	3	35000	0	null	1203#730	17
9	0	4	0	1	1203#25	null	0
10	1	4	7500	2	1203#50	1203#25	1
11	2	4	15000	2	1203#100	1203#75	3
12	3	4	22500	3	1203#150	1203#175	5
13	4	4	30000	3	1203#200	1203#325	8
14	5	4	37500	3	1203#250	1203#525	11
15	6	4	45000	3	1203#300	1203#775	14
16	7	4	52500	0	null	1203#1075	17
17	0	5	0	1	1203#50	null	0
18	1	5	10000	2	1203#100	1203#50	1
19	2	5	20000	2	1203#200	1203#150	3
20	3	5	30000	3	1203#300	1203#350	5
21	4	5	40000	3	1203#400	1203#650	8
22	5	5	50000	3	1203#500	1203#1050	11
23	6	5	60000	3	1203#600	1203#1550	14
24	7	5	70000	0	null	1203#2150	17
