Id	StartTime	EndTime	Time	title	value	Reward
int	string	string	int	string	string	mut,int#int,1
1	20291001 000000	20291001 235900	1	福利邮件	亲爱的玩家：感谢您参与本次测试，现为您发放测试福利，请您查收。	45
2	20291001 000000	20291001 235900	1	福利邮件	亲爱的玩家：感谢您参与本次测试，现为您发放测试福利，请您查收。	45
3	20291001 000000	20291001 235900	1	福利邮件	亲爱的玩家：感谢您参与本次测试，现为您发放测试福利，请您查收。	45
4	20291001 000000	20291001 235900	1	福利邮件	亲爱的玩家：感谢您参与本次测试，现为您发放测试福利，请您查收。	45
5	20291001 000000	20291001 235900	1	福利邮件	亲爱的玩家：感谢您参与本次测试，现为您发放测试福利，请您查收。	45
6	20291001 000000	20291001 235900	1	福利邮件	亲爱的玩家：感谢您参与本次测试，现为您发放测试福利，请您查收。	45
7	20291001 000000	20291001 235900	1	福利邮件	亲爱的玩家：感谢您参与本次测试，现为您发放测试福利，请您查收。	45
8	20291001 000000	20291001 235900	1	国庆福利	亲爱的玩家：金秋十月国庆日，万里河山披锦绣。国庆节期间，特为您送上国庆节的礼物，让我们祝福祖国母亲福寿安康。	46
9	20291001 000000	20291001 235900	1	国庆福利	亲爱的玩家：金秋十月国庆日，万里河山披锦绣。国庆节期间，特为您送上国庆节的礼物，让我们祝福祖国母亲福寿安康。	46
10	20291001 000000	20291001 235900	1	国庆福利	亲爱的玩家：金秋十月国庆日，万里河山披锦绣。国庆节期间，特为您送上国庆节的礼物，让我们祝福祖国母亲福寿安康。	46
11	20291001 000000	20291001 235900	1	国庆福利	亲爱的玩家：金秋十月国庆日，万里河山披锦绣。国庆节期间，特为您送上国庆节的礼物，让我们祝福祖国母亲福寿安康。	46
12	20291001 000000	20291001 235900	1	国庆福利	亲爱的玩家：金秋十月国庆日，万里河山披锦绣。国庆节期间，特为您送上国庆节的礼物，让我们祝福祖国母亲福寿安康。	46
13	20291001 000000	20291001 235900	1	国庆福利	亲爱的玩家：金秋十月国庆日，万里河山披锦绣。国庆节期间，特为您送上国庆节的礼物，让我们祝福祖国母亲福寿安康。	46
14	20291001 000000	20291001 235900	1	国庆福利	亲爱的玩家：金秋十月国庆日，万里河山披锦绣。国庆节期间，特为您送上国庆节的礼物，让我们祝福祖国母亲福寿安康。	46
