Id	ActivityId	Type	TaskType	TaskValue	Integral	Weight
int	int	int	int	mut,int#int,2	mut,int#int,2	int
2010001	20100	1	73	0|1	14#50000|3#20000|1010#10	100
2010002	20100	1	76	4|1	14#50000|3#20000|1010#10	100
2010003	20100	1	7	0|5	14#50000|3#20000|1010#10	100
2010004	20100	1	79	0|1	14#50000|3#20000|1010#10	100
2010005	20100	1	36	0|4	14#50000|3#20000|1010#10	100
2010006	20100	1	33	0|1	14#50000|3#20000|1010#10	100
2010007	20100	2	1020	1010|50	19#1|72001#10	100
2010008	20100	2	1020	1010|100	81003#1|72001#10	100
2010009	20100	2	1020	1010|150	81003#1|72001#10	100
2010010	20100	2	1020	1010|200	61#1|72001#10	100
2010011	20100	2	1020	1010|250	16#2000|72001#10	100
2010012	20100	2	1020	1010|300	20#1|72001#10	100
2010013	20100	2	1020	1010|350	6000022#50|72001#10	100
2000001	20000	1	73	0|1	14#50000|1013#10	100
2000002	20000	1	134	0|3	4#50|1013#10	100
2000003	20000	1	54	0|10	69#50|1013#10	100
2000004	20000	1	79	0|1	65#100|1013#10	100
2000005	20000	1	137	0|1	19#1|1013#10	100
2000006	20000	1	1	0|3	50007#1|1013#10	100
2000007	20000	1	36	0|4	1004#1|1013#10	100
2000008	20000	2	1020	1013|10	19#1|60#5	100
2000009	20000	2	1020	1013|70	19#2|60#5	100
2000010	20000	2	1020	1013|140	81003#1|60#5	100
2000011	20000	2	1020	1013|210	81003#1|60#5	100
2000012	20000	2	1020	1013|270	61#1|60#5	100
2000013	20000	2	1020	1013|330	16#2000|60#5	100
2000014	20000	2	1020	1013|390	20#1|60#5	100
2000015	20000	2	1020	1013|450	6000040#50|60#5	100
705020	70502	1	73	0|1	4#50|3#20000|1011#10	100
705021	70502	1	36	0|3	4#50|3#20000|1011#10	100
705022	70502	1	36	0|4	6000110#200|3#20000|1011#10	100
705023	70502	1	77	0|5	72001#20|14#50000|1011#10	100
705024	70502	1	77	0|10	6000110#100|14#50000|1011#10	100
705025	70502	1	83	0|10	80#2|14#50000|1011#10	100
705026	70502	1	83	0|20	4#100|14#50000|1011#10	100
705027	70502	1	83	0|30	72001#20|14#50000|1011#10	100
705028	70502	1	22	0|1	39010#10|3#20000|1011#10	100
705029	70502	1	22	0|5	39010#20|3#20000|1011#10	100
705030	70502	1	1020	1011|20	16#50	100
705031	70502	1	1020	1011|40	4#100	100
705032	70502	1	1020	1011|80	72001#20	100
705033	70502	1	1020	1011|100	50005#2	100
705050	70505	2	900	0|2	19#10	100
705051	70505	2	900	0|3	60408#4	100
705052	70505	2	900	0|5	6000089#1	100
705053	70505	2	900	0|7	6000089#1|60408#2	100
705054	70505	2	900	0|9	6000089#1|60408#2	100
2100001	21000	1	73	0|1	50001#1	100
2100002	21000	2	7	0|5	50000#5	100
2100003	21000	2	7	0|10	50002#1	100
2100004	21000	2	7	0|20	50002#2	100
2100005	21000	2	7	0|30	50002#3	100
2100006	21000	2	125	0|2	50001#3	100
2100007	21000	2	125	0|5	50002#1	100
2100008	21000	2	125	0|10	50002#2	100
2100009	21000	2	125	0|20	50002#3	100
2100010	21000	2	75	1|10	50002#1	100
2100011	21000	2	75	1|20	50002#2	100
2100012	21000	2	75	1|30	50002#3	100
2100013	21000	2	75	1|50	50002#5	100
2100014	21000	2	33	0|2	50002#1	100
2100015	21000	2	33	0|4	50002#2	100
2100016	21000	2	33	0|6	50002#3	100
2100017	21000	2	33	0|10	50002#5	100
2100018	21000	2	135	0|10	50001#4	100
2100019	21000	2	135	0|20	50001#8	100
2100020	21000	2	135	0|30	50001#12	100
2100021	21000	2	135	0|50	50002#3	100
2100022	21000	2	36	0|5	50001#3	100
2100023	21000	2	36	0|10	50002#1	100
2100024	21000	2	36	0|20	50002#2	100
2100025	21000	2	36	0|35	50002#3	100
700020	70002	1	73	0|1	4#50|3#20000|1011#10	100
700021	70002	1	36	0|3	4#50|3#20000|1011#10	100
700022	70002	1	36	0|4	6000110#200|3#20000|1011#10	100
700023	70002	1	77	0|5	72001#20|14#50000|1011#10	100
700024	70002	1	77	0|10	6000110#100|14#50000|1011#10	100
700025	70002	1	83	0|10	80#2|14#50000|1011#10	100
700026	70002	1	83	0|20	4#100|14#50000|1011#10	100
700027	70002	1	83	0|30	72001#20|14#50000|1011#10	100
700028	70002	1	22	0|1	39010#10|3#20000|1011#10	100
700029	70002	1	22	0|5	39010#20|3#20000|1011#10	100
700030	70002	1	1020	1011|20	16#50	100
700031	70002	1	1020	1011|40	4#100	100
700032	70002	1	1020	1011|80	72001#20	100
700033	70002	1	1020	1011|100	50005#2	100
700050	70005	2	900	0|2	19#10	100
700051	70005	2	900	0|3	60408#4	100
700052	70005	2	900	0|5	6000089#1	100
700053	70005	2	900	0|7	6000089#1|60408#2	100
700054	70005	2	900	0|9	6000089#1|60408#2	100
3000001	30000	1	73	0|1	14#50000|1014#10	100
3000002	30000	1	87	0|8	4#50|1014#10	100
3000003	30000	1	83	0|10	19#1|1014#10	100
3000004	30000	1	79	0|1	65#100|1014#10	100
3000005	30000	1	1007	0|1	69#50|1014#10	100
3000006	30000	1	2	5|1	4#50|1014#10	100
3000007	30000	1	22	0|5	72001#10|1014#10	100
3000008	30000	2	1020	1014|10	19#1|60#5	100
3000009	30000	2	1020	1014|70	19#2|60#5	100
3000010	30000	2	1020	1014|140	81003#1|60#5	100
3000011	30000	2	1020	1014|210	81003#1|60#5	100
3000012	30000	2	1020	1014|270	61#1|60#5	100
3000013	30000	2	1020	1014|330	16#2000|60#5	100
3000014	30000	2	1020	1014|390	20#1|60#5	100
3000015	30000	2	1020	1014|450	6000044#50|60#5	100
3100001	31000	1	73	0|1	14#50000|3#20000|1015#10	100
3100002	31000	1	76	4|1	14#50000|3#20000|1015#10	100
3100003	31000	1	7	0|5	14#50000|3#20000|1015#10	100
3100004	31000	1	79	0|1	14#50000|3#20000|1015#10	100
3100005	31000	1	36	0|4	50007#1|3#20000|1015#10	100
3100006	31000	1	33	0|1	14#100000|3#20000|1015#10	100
3100007	31000	2	1020	1015|50	19#1|72001#10	100
3100008	31000	2	1020	1015|100	81003#1|72001#10	100
