Id	Attr	Time	ConditionItem	JumpId	TitleType	Rank
int	mut,int#int,2	int	int	int	int	int
1	1#1200|2#250	345600	20001	57001	1	0
2	1#800|2#150	345600	20002	57001	1	0
3	1#500|2#100	345600	20003	57001	1	0
4	61#300|62#300	0	20004	8301	2	1
5	61#200|62#200	0	20005	8301	2	2
6	61#100|62#100	0	20006	8301	2	3
7	61#200|62#200	0	20007	77006	3	0
9	61#200|62#200	2592000	20008	77009	5	0
10	1#1200|2#250	345600	50801	77010	6	0
11	1#800|2#150	345600	50802	77010	6	0
12	1#500|2#100	345600	50803	77010	6	0
13	5#10|1#800	0	20010	80011	7	0
14	1#200|2#100	0	20011	90003	8	0
15	1#300|2#150	0	20012	90003	9	0
16	61#100|62#100	0	20013	90003	10	0
17	61#200|62#200	0	20014	90003	11	0
18	61#300|62#300	2592000	20015	0	12	0
19	61#200|62#200	2592000	20016	0	13	0
20	61#100|62#100	2592000	20017	0	14	0
21	61#200|62#200	0	20009	0	15	0
22	5#20|2#150	604800	20029	0	16	0
23	1#300|2#100	604800	20030	0	17	0
24	1#200|2#50	604800	20031	0	18	0
25	1#500|2#100	0	20027	0	19	0
26	1#250|2#50	0	20028	0	20	0
27	61#300|58#300	604800	20018	0	21	0
28	61#200|58#200	604800	20019	0	21	0
29	61#100|58#100	604800	20020	0	21	0
30	62#300|55#300	604800	20021	0	22	0
31	62#200|55#200	604800	20022	0	22	0
32	62#100|55#100	604800	20023	0	22	0
33	63#300|155#300	604800	20024	0	23	0
34	63#200|155#200	604800	20025	0	23	0
35	63#100|155#100	604800	20026	0	23	0
100	1#10|2#5	0	20061	0	100	0
101	1#10|2#5	0	20062	0	100	0
102	1#10|2#5	0	20063	0	100	0
103	1#10|2#5	0	20064	0	100	0
104	1#10|2#5	0	20065	0	100	0
105	1#10|2#5	0	20066	0	100	0
106	1#10|2#5	0	20067	0	100	0
107	1#10|2#5	0	20068	0	100	0
108	1#10|2#5	0	20069	0	100	0
109	1#10|2#5	0	20070	0	100	0
110	1#10|2#5	0	20071	0	100	0
111	1#10|2#5	0	20072	0	100	0
112	1#10|2#5	0	20073	0	100	0
113	1#10|2#5	0	20074	0	100	0
114	1#10|2#5	0	20075	0	100	0
115	1#10|2#5	0	20076	0	100	0
