Id	Level	NextLevel	TaskID	LevelReward
int	int	int	mut,int#int,1	mut,int#int,2
1	1	2	30011#30012#30013	16#150
2	2	3	30021#30022#30023	19#1
3	3	4	30031#30032#30033	4#200
4	4	5	30041#30042#30043	19#2
5	5	6	30051#30052#30053	16#200
6	6	7	30061#30062#30063	19#1
7	7	8	30071#30072#30073	4#300
8	8	9	30081#30082#30083	19#1
9	9	10	30091#30092#30093	14#1500000
10	10	11	30101#30102#30103	19#1
11	11	12	30111#30112#30113	6001020#10
12	12	13	30121#30122#30123	19#1
13	13	14	30131#30132#30133	6001020#15
14	14	15	30141#30142#30143	19#1
15	15	16	30151#30152#30153	6001020#25
16	16	17	30161#30162#30163	19#1
17	17	18	30171#30172#30173	19#3
18	18	19	30181#30182#30183	6001020#25
19	19	20	30191#30192#30193	16#500
20	20	21	30201#30202#30203	19#2
21	21	22	30211#30212#30213	4#500
22	22	23	30221#30222#30223	19#2
23	23	24	30231#30232#30233	14#2500000
24	24	25	30241#30242#30243	19#2
25	25	26	30251#30252#30253	20027#1|6000037#25
26	26	27	30261#30262#30263	19#2
27	27	28	30271#30272#30273	6000037#25
28	28	29	30281#30282#30283	19#2
29	29	30	30291#30292#30293	19#5
30	30	31	30301#30302#30303	6001020#25
31	31	32	30311#30312#30313	16#750
32	32	33	30321#30322#30323	19#3
33	33	34	30331#30332#30333	4#750
34	34	35	30341#30342#30343	19#3
35	35	36	30351#30352#30353	14#4000000
36	36	37	30361#30362#30363	19#3
37	37	38	30371#30372#30373	61#1
38	38	39	30381#30382#30383	19#3
39	39	40	30391#30392#30393	20#1
40	40	41	30401#30402#30403	19#3
41	41	42	30411#30412#30413	6000037#25
42	42	43	30421#30422#30423	19#3
43	43	44	30431#30432#30433	6000037#25
44	44	45	30441#30442#30443	19#5
45	45	46	30451#30452#30453	16#750
46	46	47	30461#30462#30463	4#750
47	47	48	30471#30472#30473	14#4000000
48	48	49	30481#30482#30483	61#1
49	49	50	30491#30492#30493	20#1
50	50	-1	30501#30502#30503	20028#1|6000037#50
