Id	ActivityType	Level	Integral	Reward	TreasureReward	LevelCond
int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2	mut,int#int,1
1	8	0	68#1000	null	null	1#999
2	8	1	68#2000	60#3	20#5|19#10	1#999
3	8	2	68#3000	19#1	19#2	1#999
4	8	3	68#4000	60#2	81132#1	1#999
5	8	4	68#5000	72001#50	19#2	1#999
6	8	5	68#6000	6001020#10	60402#1|60403#1	1#999
7	8	6	68#7000	60#2	19#2	1#999
8	8	7	68#8000	6001020#5	6001020#10	1#999
9	8	8	68#9000	19#1	19#2	1#999
10	8	9	68#10000	81003#1	19#2	1#999
11	8	10	68#11000	61#1	6001020#50|60402#1	1#999
12	8	11	68#12000	6001020#5	19#2	1#999
13	8	12	68#13000	19#1	19#2	1#999
14	8	13	68#14000	60#2	81132#1	1#999
15	8	14	68#15000	72001#50	19#2	1#999
16	8	15	68#16000	6001020#10	60402#1|60403#1	1#999
17	8	16	68#17000	72001#50	20#1	1#999
18	8	17	68#18000	6001020#5	20#1	1#999
19	8	18	68#19000	60#2	81132#1	1#999
20	8	19	68#20000	6001020#5	6001020#10	1#999
21	8	20	68#22000	60#2	20#2|6001020#50	1#999
22	8	21	68#24000	6001020#5	60402#1	1#999
23	8	22	68#26000	19#1	19#2	1#999
24	8	23	68#28000	60#3	6001020#10	1#999
25	8	24	68#30000	80#5	60402#1	1#999
26	8	25	68#32000	6001020#5	60425#1|60403#1	1#999
27	8	26	68#34000	72001#50	20#1	1#999
28	8	27	68#36000	6001020#5	20#1	1#999
29	8	28	68#38000	60#2	81132#1	1#999
30	8	29	68#40000	6001020#5	6001020#10	1#999
31	8	30	68#42000	60#2	20#2|6001020#50	1#999
32	8	31	68#44000	6001020#5	19#2	1#999
33	8	32	68#46000	19#1	19#2	1#999
34	8	33	68#48000	60#2	81132#1	1#999
35	8	34	68#50000	72001#50	19#2	1#999
36	8	35	68#52000	6001020#10	60402#1|60403#1	1#999
37	8	36	68#54000	72001#50	20#1	1#999
38	8	37	68#56000	6001020#5	20#1	1#999
39	8	38	68#58000	60#2	81132#1	1#999
40	8	39	68#60000	6001020#5	6001020#10	1#999
41	8	40	68#62000	20#1	20#2|81148#50	1#999
11041	8	41	68#64000	60#1	81132#1	1#999
11042	8	42	68#66000	60#1	81132#1	1#999
11043	8	43	68#68000	60#1	19#2	1#999
11044	8	44	68#70000	60#1	81132#1	1#999
11045	8	45	68#72000	60#1	81132#1	1#999
11046	8	46	68#74000	60#1	20#1	1#999
11047	8	47	68#76000	60#1	81132#1	1#999
11048	8	48	68#78000	60#1	81132#1	1#999
11049	8	49	68#80000	60#1	19#2	1#999
11050	8	50	68#82000	60#1	81132#1	1#999
11051	8	51	68#84000	60#1	81132#1	1#999
11052	8	52	68#86000	60#1	20#1	1#999
11053	8	53	68#88000	60#1	81132#1	1#999
11054	8	54	68#90000	60#1	81132#1	1#999
11055	8	55	68#92000	60#1	19#2	1#999
11056	8	56	68#94000	60#1	81132#1	1#999
11057	8	57	68#96000	60#1	81132#1	1#999
11058	8	58	68#98000	60#1	20#1	1#999
11059	8	59	68#100000	60#1	81132#1	1#999
11060	8	60	68#102000	60#1	81132#1	1#999
11061	8	61	68#104000	60#1	19#2	1#999
11062	8	62	68#106000	60#1	81132#1	1#999
11063	8	63	68#108000	60#1	81132#1	1#999
11064	8	64	68#110000	60#1	20#1	1#999
11065	8	65	68#112000	60#1	81132#1	1#999
11066	8	66	68#114000	60#1	81132#1	1#999
11067	8	67	68#116000	60#1	19#2	1#999
11068	8	68	68#118000	60#1	81132#1	1#999
11069	8	69	68#120000	60#1	81132#1	1#999
11070	8	70	68#122000	60#1	20#1	1#999
11071	8	71	68#124000	60#1	81132#1	1#999
11072	8	72	68#126000	60#1	81132#1	1#999
11073	8	73	68#128000	60#1	19#2	1#999
11074	8	74	68#130000	60#1	81132#1	1#999
11075	8	75	68#132000	60#1	81132#1	1#999
11076	8	76	68#134000	60#1	20#1	1#999
11077	8	77	68#136000	60#1	81132#1	1#999
11078	8	78	68#138000	60#1	81132#1	1#999
11079	8	79	68#140000	60#1	19#2	1#999
11080	8	80	null	60#1	20#1	1#999
42	801	0	68#1000	null	null	1#999
43	801	1	68#2000	60#3	20#5|19#10	1#999
44	801	2	68#3000	19#1	19#2	1#999
45	801	3	68#4000	60#2	81132#1	1#999
46	801	4	68#5000	72001#50	19#2	1#999
47	801	5	68#6000	6001020#10	60402#1|60403#1	1#999
48	801	6	68#7000	60#2	19#2	1#999
49	801	7	68#8000	6001020#5	6001020#10	1#999
50	801	8	68#9000	19#1	19#2	1#999
51	801	9	68#10000	81003#1	19#2	1#999
52	801	10	68#11000	61#1	6001020#50|60402#1	1#999
53	801	11	68#12000	6001020#5	19#2	1#999
54	801	12	68#13000	19#1	19#2	1#999
55	801	13	68#14000	60#2	81132#1	1#999
56	801	14	68#15000	72001#50	19#2	1#999
57	801	15	68#16000	6001020#10	60402#1|60403#1	1#999
58	801	16	68#17000	72001#50	20#1	1#999
59	801	17	68#18000	6001020#5	20#1	1#999
60	801	18	68#19000	60#2	81132#1	1#999
61	801	19	68#20000	6001020#5	6001020#10	1#999
62	801	20	68#22000	60#2	20#2|6001020#50	1#999
63	801	21	68#24000	6001020#5	60402#1	1#999
64	801	22	68#26000	19#1	19#2	1#999
