Id	MapId	GameType	GameCount	MonsterPoint	BossMapPointId	NormalEnergy	RandomStore	BoxReward	BoxPosition	GameType1	GameType2	GameType3
int	int	mut,int#int,2	mut,int#int,1	mut,int#int,2	int	int	mut,int#int,2	mut,int#int,3	mut,int#int,2	mut,int#int,1	mut,int#int,1	mut,int#int,1
1	2001	1#2000005#2000006|2#2000008|3#2000007	2#2#1	2001001#100|2001002#100|2001003#100|2001004#100|2001005#100|2001006#100|2001007#100|2001008#100	2001000	25	1#700|2#290|3#10	14#30000,72001#2,6000110#20,16#20	4#10|2#8|2#6|5#3	2000005#2000006#2000016#2000017#2000018#2000019#2000020#2000021#2000022#2000023#2000024#2000025#2000026#2000027#2000028	2000008#2000008	2000007
2	2001	1#2000005#2000006|2#2000008|3#2000007	2#2#1	2002001#100|2002002#100|2002003#100|2002004#100|2002005#100|2002006#100|2002007#100|2002008#100	2002000	25	1#700|2#290|3#10	72001#2,6000110#20,14#30500,16#20	2#10|1#7|2#6|4#4	2000005#2000006#2000016#2000017#2000018#2000019#2000020#2000021#2000022#2000023#2000024#2000025#2000026#2000027#2000028	2000008#2000008	2000007
3	2001	1#2000005#2000006|2#2000008|3#2000007	2#2#1	2003001#100|2003002#100|2003003#100|2003004#100|2003005#100|2003006#100|2003007#100|2003008#100	2003000	25	1#700|2#290|3#10	6000110#20,16#20,72001#2,14#31000	4#10|5#7|5#5|2#4	2000005#2000006#2000016#2000017#2000018#2000019#2000020#2000021#2000022#2000023#2000024#2000025#2000026#2000027#2000028	2000008#2000008	2000007
4	2001	1#2000005#2000006|2#2000008|3#2000007	2#2#1	2004001#100|2004002#100|2004003#100|2004004#100|2004005#100|2004006#100|2004007#100|2004008#100	2004000	25	1#700|2#290|3#10	16#20,14#31500,6000110#20,72001#2	2#10|2#8|5#5|4#2	2000005#2000006#2000016#2000017#2000018#2000019#2000020#2000021#2000022#2000023#2000024#2000025#2000026#2000027#2000028	2000008#2000008	2000007
5	2001	1#2000005#2000006|2#2000008|3#2000007	2#2#1	2005001#100|2005002#100|2005003#100|2005004#100|2005005#100|2005006#100|2005007#100|2005008#100	2005000	25	1#700|2#290|3#10	14#32000,6000110#20,72001#2,16#20	3#11|2#8|1#5|2#2	2000005#2000006#2000016#2000017#2000018#2000019#2000020#2000021#2000022#2000023#2000024#2000025#2000026#2000027#2000028	2000008#2000008	2000007
6	2001	1#2000005#2000006|2#2000008|3#2000007	2#2#1	2006001#100|2006002#100|2006003#100|2006004#100|2006005#100|2006006#100|2006007#100|2006008#100	2006000	25	1#700|2#290|3#10	72001#2,16#20,6000110#20,14#32500	3#11|5#7|2#6|1#3	2000005#2000006#2000016#2000017#2000018#2000019#2000020#2000021#2000022#2000023#2000024#2000025#2000026#2000027#2000028	2000008#2000008	2000007
7	2001	1#2000005#2000006|2#2000008|3#2000007	2#2#1	2007001#100|2007002#100|2007003#100|2007004#100|2007005#100|2007006#100|2007007#100|2007008#100	2007000	25	1#700|2#290|3#10	6000110#20,14#33000,16#20,72001#2	4#10|5#7|5#5|5#3	2000005#2000006#2000016#2000017#2000018#2000019#2000020#2000021#2000022#2000023#2000024#2000025#2000026#2000027#2000028	2000008#2000008	2000007
8	2001	1#2000005#2000006|2#2000008|3#2000007	2#2#1	2008001#100|2008002#100|2008003#100|2008004#100|2008005#100|2008006#100|2008007#100|2008008#100	2008000	25	1#700|2#290|3#10	16#20,72001#2,14#33500,6000110#20	3#11|5#7|4#6|1#3	2000005#2000006#2000016#2000017#2000018#2000019#2000020#2000021#2000022#2000023#2000024#2000025#2000026#2000027#2000028	2000008#2000008	2000007
9	2001	1#2000005#2000006|2#2000008|3#2000007	2#2#1	2009001#100|2009002#100|2009003#100|2009004#100|2009005#100|2009006#100|2009007#100|2009008#100	2009000	25	1#700|2#290|3#10	14#34000,16#20,6000110#20,72001#2	1#9|5#7|2#6|5#3	2000005#2000006#2000016#2000017#2000018#2000019#2000020#2000021#2000022#2000023#2000024#2000025#2000026#2000027#2000028	2000008#2000008	2000007
