Id	Type	Cost	RewardID	Weight	Min	Max	UnlockLv
int	int	mut,int#int,1	int	int	int	int	int
1	19	14#50000	14	30	55000	55000	55
2	19	14#50000	14	30	60000	60000	55
3	19	14#50000	14	40	65000	65000	55
4	19	14#200000	14	30	220000	220000	55
5	19	14#200000	14	30	240000	240000	55
6	19	14#200000	14	40	260000	260000	55
7	19	16#50	16	30	55	55	55
8	19	16#50	16	30	60	60	55
9	19	16#50	16	40	65	65	55
10	19	16#200	16	30	220	220	55
11	19	16#200	16	30	240	240	55
12	19	16#200	16	40	260	260	55
13	16	null	3	100	32000	35000	95
14	16	null	3	100	35000	38000	105
15	16	null	3	100	38000	41000	115
16	16	null	3	100	41000	44000	125
17	16	null	3	100	44000	47000	135
18	16	null	3	100	47000	50000	145
19	16	null	3	100	20000	23000	55
20	16	null	3	100	23000	26000	65
21	16	null	3	100	26000	29000	75
22	16	null	3	100	29000	32000	85
23	16	null	3	100	32000	35000	95
24	16	null	3	100	35000	38000	105
25	16	null	3	100	38000	41000	115
26	16	null	3	100	41000	44000	125
27	16	null	3	100	44000	47000	135
28	16	null	3	100	47000	50000	145
29	17	null	16	100	100	100	55
30	17	null	16	200	50	50	55
31	17	null	14	5000	80000	80000	55
32	17	null	14	3000	100000	100000	55
33	17	null	14	2000	120000	120000	55
34	17	null	14	1000	150000	150000	55
35	17	null	3	5000	30000	30000	55
36	17	null	3	3000	40000	40000	55
37	17	null	3	2000	50000	50000	55
38	17	null	3	1000	60000	60000	55
39	17	null	1001	5000	300	300	55
40	17	null	1001	3000	400	400	55
41	17	null	1001	2000	500	500	55
42	17	null	1001	1000	600	600	55
43	17	null	66	5000	30	30	55
44	17	null	66	3000	40	40	55
45	17	null	66	2000	50	50	55
46	17	null	66	1000	60	60	55
47	18	null	16	100	100	100	55
48	18	null	16	200	50	50	55
49	18	null	14	5000	80000	80000	55
50	18	null	14	3000	100000	100000	55
51	18	null	14	2000	120000	120000	55
52	18	null	14	1000	150000	150000	55
53	18	null	3	5000	30000	30000	55
54	18	null	3	3000	40000	40000	55
55	18	null	3	2000	50000	50000	55
56	18	null	3	1000	60000	60000	55
57	18	null	1001	5000	300	300	55
58	18	null	1001	3000	400	400	55
59	18	null	1001	2000	500	500	55
60	18	null	1001	1000	600	600	55
61	18	null	66	5000	30	30	55
62	18	null	66	3000	40	40	55
63	18	null	66	2000	50	50	55
64	18	null	66	1000	60	60	55
