VipLevel	VipBoxDailyReward	VipBoxReward	OpenRules	MoneyLimit	Property
int	mut,int#int,2	mut,int#int,2	mut,int#int,1	int	mut,int#int,2
0	16#1|60#1	60#2|14#200000|3#100000	10011#10012#10013#10014	6	2#0|1#0|69#0|70#0
1	16#25|60#1	4#300|60#3|14#2000000	10021#10022#10023#10024	30	2#90|1#900|69#0|70#0
2	16#45|60#1	6001014#30|6001015#30|3#2000000	10031#10032#10033#10034	100	2#180|1#1800|69#0|70#0
3	16#65|60#1	20#1|18101#10|14#4000000|80009#1	10041#10042#10043#10044	200	2#300|1#3000|69#0|70#0
4	16#85|60#1	6001020#50|18101#10|3#4000000	10051#10052#10053#10054	500	2#450|1#4500|69#0|70#0
5	16#105|60#2	60419#1|20#1|14#6000000|80010#1	10061#10062#10063#10064	1000	2#630|1#6300|69#0|70#0
6	16#115|6001020#1	60420#1|20#2|6000088#1|3#6000000	10071#10072#10073#10074	1500	2#810|1#8100|69#300|70#300
7	16#125|6001020#1	60420#1|20#3|6000088#1|14#10000000	10081#10082#10083#10084	2000	2#1080|1#10800|69#400|70#400
8	16#135|6001020#1	60421#1|20#5|60156#1|80011#1	10091#10092#10093#10094	3000	2#1440|1#14400|69#500|70#500
9	16#145|6001020#1	60421#1|20#5|60181#1|14#10000000	10101#10102#10103#10104	5000	2#1890|1#18900|69#600|70#600
10	16#155|6001020#2	60422#1|6000089#1|60191#1|60417#1	10111#10112#10113#10114	10000	2#2400|1#24000|69#700|70#700
11	16#165|6001020#2	60422#1|6001026#50|6000089#1|60196#1|14#15000000	10121#10122#10123#10124	15000	2#3000|1#30000|69#800|70#800
12	16#175|6001020#2	60423#1|6001026#100|6000089#1|20#10|80012#1	10131#10132#10133#10134	30000	2#1750|1#17500|69#900|70#900
13	16#185|6001020#2	60423#1|6001026#150|6000090#1|20#10|14#200000000	null	50000	2#4500|1#45000|69#1000|70#1000
14	16#195|6001020#2	60423#1|6001026#200|6000090#1|20#12|6000110#20000	null	80000	null
15	16#205|6001020#2	60423#1|6001026#250|6000090#1|20#14|6000110#40000	null	120000	null
16	16#215|6001020#2	99002#4|6001026#300|6000090#1|20#16|6000110#60000	null	160000	null
17	16#225|6001020#2	99002#6|6001026#350|60403#15|20#18|6000110#80000	null	200000	null
18	16#235|6001020#2	99002#8|6001026#400|60403#20|20#20|6000110#100000	null	500000	null
