VipLevel	VipBoxDailyReward	VipBoxDailyCondition	VipBoxReward	Discount	OpenRules	MoneyLimit	Property
int	mut,int#int,2	string	mut,int#int,2	int	mut,int#int,1	int	mut,int#int,2
0	16#10|60#1	45030008	14#210000|22#110000|37001#2	0	10011#10012#10013#10014	6	2#0|1#0|69#0|70#0
1	16#20|60#1	45030009	10001#300|37001#3|1#2020000	240	10021#10022#10023#10024	30	2#90|1#900|69#0|70#0
2	16#40|60#1	45030010	29404#30|29504#30|22#2020000	690	10031#10032#10033#10034	100	2#180|1#1800|69#0|70#0
3	16#60|60#1	45030011	37002#1|14001#1|1#4040000	990	10041#10042#10043#10044	200	2#300|1#3000|69#0|70#0
4	16#80|60#1	45030012	29905#50|14001#1|22#4040000	1890	10051#10052#10053#10054	500	2#450|1#4500|69#0|70#0
5	16#100|60#2	45030013	26906#50|14001#1|1#6060000	2290	10061#10062#10063#10064	1000	2#630|1#6300|69#0|70#0
6	16#110|12013#1	45030014	26907#50|14001#2|10453#1|22#6060000	2890	10071#10072#10073#10074	1500	2#810|1#8100|69#300|70#300
7	16#120|12013#1	45030015	26907#50|14001#3|10453#1|1#8080000	4190	10081#10082#10083#10084	2000	2#1080|1#10800|69#400|70#400
8	16#130|12013#1	45030016	28902#50|14001#5|40112#1|22#8080000	4690	10091#10092#10093#10094	3000	2#1440|1#14400|69#500|70#500
9	16#140|12013#2	45030017	27901#50|14001#5|40412#1|1#10100000	4890	10101#10102#10103#10104	5000	2#1890|1#18900|69#600|70#600
10	16#150|12013#2	45030018	28902#50|10454#1|40312#1|22#10100000	6890	10111#10112#10113#10114	10000	2#2400|1#24000|69#700|70#700
11	16#160|12013#2	45030019	29906#50|27901#50|10454#1|40212#1|1#15150000	9900	10121#10122#10123#10124	15000	2#3000|1#30000|69#800|70#800
12	16#170|12013#2	45030020	29906#100|28903#50|10454#1|14001#10|22#15150000	15900	10131#10132#10133#10134	30000	2#1750|1#17500|69#900|70#900
13	16#180|12013#3	45030021	29906#150|27906#50|10454#2|14001#10|1#20200000	18900	null	50000	2#4500|1#45000|69#1000|70#1000
14	16#180|12013#4	45030022	29906#200|99001#1|60402#10|14001#12|10450#2000	20888	null	80000	null
15	16#180|12013#5	45030023	29906#250|60425#1|60402#12|14001#14|10450#3000	23888	null	120000	null
16	16#180|12013#6	45030024	29906#300|60428#1|60402#15|14001#16|10450#4000	26888	null	160000	null
17	16#180|12013#7	45030025	29906#350|60427#1|60403#15|14001#18|10450#5000	29888	null	200000	null
18	16#180|12013#8	45030026	29906#400|60426#1|60403#20|14001#20|10450#6000	33888	null	200000	null
