Id	Condition	TargetReward	PurchaseLevelReward
int	int	mut,int#int,2	mut,int#int,2
1	5	19#1	null
2	10	6001010#30|14#50000	null
3	20	4#100|3#50000	null
4	30	6001020#50	null
5	40	19#1|4#200	null
6	50	60067#1|60088#1	null
7	60	60458#1	null
8	70	60091#1|60082#1	null
9	80	60068#1|60089#1	null
10	90	60458#1	null
11	100	60092#1|60083#1	null
12	110	60069#1|60090#1	null
13	120	60458#1	null
14	130	60093#1|60084#1	null
15	140	60100#1|60135#1	null
16	150	60458#1|6000087#1	null
17	160	60140#1|60125#1	null
18	170	60100#1|60135#1	null
19	180	60458#1	null
20	190	60140#1|60125#1	null
21	200	60100#1|60135#1	null
22	210	60458#1|6000087#1	null
23	220	60140#1|60125#1	null
24	230	60101#1|60136#1	null
25	240	60458#1|6000088#1	null
26	250	60141#1|60126#1	null
27	260	60101#1|60136#1	null
28	270	60458#1	null
29	280	60141#1|60126#1	null
30	290	60101#1|60136#1	null
31	300	60458#1|6000088#1	null
32	310	60141#1|60126#1	null
33	320	60102#1|60137#1	null
34	330	60458#1	null
35	340	60142#1|60127#1	null
36	350	60102#1|60137#1	null
37	360	60458#1	null
38	370	60142#1|60127#1	null
39	380	60102#1|60137#1	null
40	390	60458#1	null
41	400	60142#1|60127#1	60403#1|6000110#100|19#5
42	410	60103#1|60138#1	null
43	420	60458#1	60402#1|6000110#100
44	430	60144#1|60128#1	null
45	440	60103#1|60138#1	60402#1|6000110#100
46	450	60458#1	null
47	460	60144#1|60128#1	60402#1|6000110#100
48	470	60103#1|60138#1	null
49	480	60458#1	60402#1|6000110#100
50	490	60144#1|60128#1	null
51	500	60155#1|60190#1	60403#1|6000110#100|19#5
52	510	60458#1	null
53	520	60195#1|60180#1	60402#1|6000110#100
54	530	60155#1|60190#1	null
55	540	60458#1	60402#1|6000110#100
56	550	60195#1|60180#1	null
57	560	60155#1|60190#1	60402#1|6000110#100
58	570	60458#1	null
59	580	60195#1|60180#1	60402#1|6000110#100
60	590	60155#1|60190#1	null
61	600	60458#1	60403#1|6000110#100|19#5
62	610	60195#1|60180#1	null
63	620	60155#1|60190#1	60402#1|6000110#100
64	630	60458#1	null
65	640	60195#1|60180#1	60402#1|6000110#100
66	650	60155#1|60190#1	null
67	660	60458#1	60402#1|6000110#100
68	670	60195#1|60180#1	null
69	680	60155#1|60190#1	60402#1|6000110#100
70	690	60458#1	null
71	700	60195#1|60180#1	60403#1|6000110#100|19#5
72	710	60155#1|60190#1	null
73	720	60458#1	60402#1|6000110#100
74	730	60195#1|60180#1	null
75	740	60155#1|60190#1	60402#1|6000110#100
76	750	60458#1	null
77	760	60195#1|60180#1	60402#1|6000110#100
78	770	60155#1|60190#1	null
79	780	60458#1	60402#1|6000110#100
80	790	60195#1|60180#1	null
81	800	60155#1|60190#1	60403#1|6000110#100|19#5
82	810	60458#1	null
83	820	60195#1|60180#1	60402#1|6000110#100
84	830	60155#1|60190#1	null
85	840	60458#1	60402#1|6000110#100
86	850	60195#1|60180#1	null
87	860	60155#1|60190#1	60402#1|6000110#100
88	870	60458#1	null
89	880	60195#1|60180#1	60402#1|6000110#100
90	890	60155#1|60190#1	null
91	900	60458#1	60403#1|6000110#100|19#5
92	910	60195#1|60180#1	null
93	920	60155#1|60190#1	60402#1|6000110#100
94	930	60458#1	null
95	940	60195#1|60180#1	60402#1|6000110#100
96	950	60155#1|60190#1	null
97	960	60458#1	60402#1|6000110#100
98	970	60195#1|60180#1	null
99	980	60155#1|60190#1	60402#1|6000110#100
100	990	60458#1	null
101	1000	60195#1|60180#1	60403#1|6000110#100|19#5
102	1010	60155#1|60190#1	null
103	1020	17014#30	60402#1|6000110#100
104	1030	60195#1|60180#1	null
105	1040	60155#1|60190#1	60402#1|6000110#100
106	1050	17014#30	null
107	1060	60195#1|60180#1	60402#1|6000110#100
108	1070	60155#1|60190#1	null
109	1080	17014#30	60402#1|6000110#100
110	1090	60195#1|60180#1	null
111	1100	60155#1|60190#1	60403#1|6000110#100|19#5
112	1110	17014#30	null
113	1120	60195#1|60180#1	60402#1|6000110#100
114	1130	60155#1|60190#1	null
115	1140	17014#30	60402#1|6000110#100
116	1150	60195#1|60180#1	null
117	1160	60155#1|60190#1	60402#1|6000110#100
118	1170	17014#30	null
119	1180	60195#1|60180#1	60402#1|6000110#100
120	1190	60155#1|60190#1	null
121	1200	17014#30	60403#1|6000110#100|19#5
122	1210	60195#1|60180#1	null
123	1220	60155#1|60190#1	60402#1|6000110#100
124	1230	17014#30	null
125	1240	60195#1|60180#1	60402#1|6000110#100
126	1250	60155#1|60190#1	null
127	1260	17014#30	60402#1|6000110#100
128	1270	60195#1|60180#1	null
129	1280	60155#1|60190#1	60402#1|6000110#100
130	1290	17014#30	null
131	1300	60195#1|60180#1	60403#1|6000110#100|19#5
