Id	ActivityId	Condition	FreeReward	RechargeId
int	int	int	mut,int#int,1	int
10501	70504	1	6001010#30	705041
10502	70504	4	17009#50	705042
10503	70504	6	19#2	705043
10504	70504	8	72001#50	705044
10505	70504	10	61#1	705045
10506	70504	11	20#1	705046
10001	70004	1	6001010#30	700041
10002	70004	4	17009#50	700042
10003	70004	6	19#2	700043
10004	70004	8	72001#50	700044
10005	70004	10	61#1	700045
10006	70004	11	20#1	700046
10101	70104	1	6001010#30	701041
10102	70104	4	17009#50	701042
10103	70104	6	19#2	701043
10104	70104	8	72001#50	701044
10105	70104	10	61#1	701045
10106	70104	11	20#1	701046
10201	70204	1	6001010#30	702041
10202	70204	4	17009#50	702042
10203	70204	6	19#2	702043
10204	70204	8	72001#50	702044
10205	70204	10	61#1	702045
10206	70204	11	20#1	702046
10301	70304	1	6001010#30	703041
10302	70304	4	17009#50	703042
10303	70304	6	19#2	703043
10304	70304	8	72001#50	703044
10305	70304	10	61#1	703045
10306	70304	11	20#1	703046
10401	70404	1	6001010#30	704041
10402	70404	4	17009#50	704042
10403	70404	6	19#2	704043
10404	70404	8	72001#50	704044
10405	70404	10	61#1	704045
10406	70404	11	20#1	704046
