Id	Type	OpenRules	Mineral	RunesNum	SpecialRunes	Exp
int	int	mut,int#int,1	mut,int#int,1	int	mut,int#int,2	int
60001	1	1#30	1008#1	2	null	0
60002	1	1#30	1008#1	2	null	0
60003	1	1#30	1008#1	2	null	0
60004	1	1#30	1008#1	2	null	0
60005	1	1#30	1008#1	2	null	0
60006	1	1#35	1008#1	2	null	0
60007	1	1#35	1008#1	2	null	0
60008	1	1#35	1008#1	2	null	0
60009	1	1#35	1008#1	2	null	0
60010	1	1#50	1009#1	2	null	0
60011	1	1#50	1009#1	2	null	0
60012	1	1#50	1009#1	2	null	0
60013	1	1#50	1009#1	2	null	0
60014	1	1#50	1009#1	2	null	0
60015	1	1#50	1009#1	2	null	0
60016	1	1#50	1009#1	2	null	0
60017	1	1#50	1009#1	2	null	0
60018	1	1#50	1009#1	2	null	0
60019	1	2#3045	1008#1	2	null	0
60020	1	2#3046	1008#1	2	null	0
60021	1	2#3047	1008#1	2	null	0
60022	1	2#3048	1008#1	2	null	0
60023	1	2#3049	1008#1	2	null	0
60024	1	2#3050	1008#1	2	null	0
60025	1	2#3051	1008#1	2	null	0
60026	1	2#3052	1008#1	2	null	0
60027	1	2#3053	1008#1	2	null	0
60028	1	2#3056	1009#1	2	null	0
60029	1	2#3057	1009#1	2	null	0
60030	1	2#3058	1009#1	2	null	0
60031	1	2#3059	1009#1	2	null	0
60032	1	2#3060	1009#1	2	null	0
60033	1	2#3061	1009#1	2	null	0
60034	1	2#3062	1009#1	2	null	0
60035	1	2#3063	1009#1	2	null	0
60036	1	2#3064	1009#1	2	null	0
60037	1	2#3001	1008#1	2	null	0
60038	1	2#3002	1008#1	2	null	0
60039	1	2#3003	1008#1	2	null	0
60040	1	2#3004	1008#1	2	null	0
60041	1	2#3005	1008#1	2	null	0
60042	1	2#3006	1008#1	2	null	0
60043	1	2#3007	1008#1	2	null	0
60044	1	2#3008	1008#1	2	null	0
60045	1	2#3009	1008#1	2	null	0
60046	1	2#3010	1008#1	2	null	0
60047	1	2#3011	1008#1	2	null	0
60048	1	2#3012	1008#1	2	null	0
60049	1	2#3013	1008#1	2	null	0
60050	1	2#3014	1008#1	2	null	0
60051	1	2#3015	1008#1	2	null	0
60052	1	2#3016	1008#1	2	null	0
60053	1	2#3017	1008#1	2	null	0
60054	1	2#3018	1008#1	2	null	0
60055	1	2#3023	1009#1	2	null	0
60056	1	2#3024	1009#1	2	null	0
60057	1	2#3025	1009#1	2	null	0
60058	1	2#3026	1009#1	2	null	0
60059	1	2#3027	1009#1	2	null	0
60060	1	2#3028	1009#1	2	null	0
60061	1	2#3029	1009#1	2	null	0
60062	1	2#3030	1009#1	2	null	0
60063	1	2#3031	1009#1	2	null	0
60064	1	2#3032	1009#1	2	null	0
60065	1	2#3033	1009#1	2	null	0
60066	1	2#3034	1009#1	2	null	0
60067	1	2#3035	1009#1	2	null	0
60068	1	2#3036	1009#1	2	null	0
60069	1	2#3037	1009#1	2	null	0
60070	1	2#3038	1009#1	2	null	0
60071	1	2#3039	1009#1	2	null	0
60072	1	2#3040	1009#1	2	null	0
9209	2	3#0	9001#1	2	null	0
9202	2	3#0	9001#1	2	null	0
9210	2	3#0	9001#1	2	null	0
9203	2	3#0	9002#1	2	null	0
9211	2	3#0	9002#1	2	null	0
9204	2	3#0	9003#1	2	null	0
9206	2	3#0	9003#1	2	null	0
9212	2	3#0	9003#1	2	null	0
9205	2	3#0	9003#1	2	null	0
9213	2	3#0	9004#1	2	null	0
9207	2	3#0	9004#1	2	null	0
9208	2	3#0	9004#1	2	null	0
