Id	Exp	Promote	TechnologyLevel	UnravelItem	FoodExp	AddNum	PoolRate	AddSuccessRate
int	mut,int#int,2	mut,int#int,1	int	mut,int#int,1	int	float	mut,int#int,2	float
0	1002#0	null	0		0	0.01	1#9#20#70	0.05
1	1002#600	1#1	10		600	0.02	1#9#20#70	0.05
2	1002#900	2#1	10		900	0.03	1#9#20#70	0.05
3	1002#1200	3#1	10		1200	0.04	1#9#20#70	0.05
4	1002#1500	4#1	10		1500	0.05	1#9#20#70	0.05
5	1002#1500	5#1	10		1500	0.06	1#9#20#70	0.05
6	1002#2100	1#3	10		2100	0.07	1#9#20#70	0.05
7	1002#2400	2#3	10		2400	0.08	1#9#20#70	0.05
8	1002#2700	3#3	10		2700	0.09	1#9#20#70	0.05
9	1002#3000	4#3	10		3000	0.1	1#9#20#70	0.05
10	1002#3300	5#3	10		3300	0.11	1#9#20#70	0.05
11	1002#3800	1#6	10		3600	0.12	1#9#20#70	0.05
12	1002#4300	2#6	10		3900	0.13	1#9#20#70	0.05
13	1002#4800	3#6	10		4200	0.14	1#9#20#70	0.05
14	1002#5300	4#6	10		4500	0.15	1#9#20#70	0.05
15	1002#5800	5#6	10		4800	0.16	1#9#20#70	0.05
16	1002#6300	1#10	10		5100	0.17	1#9#20#70	0.05
17	1002#6800	2#10	10		5400	0.18	1#9#20#70	0.05
18	1002#7300	3#10	10		5700	0.19	1#9#20#70	0.05
19	1002#7800	4#10	10		6000	0.2	1#9#20#70	0.05
20	1002#8300	5#10	10		6300	0.21	1#9#20#70	0.05
21	1002#8800	1#15	10		6600	0.22	1#9#20#70	0.05
22	1002#9300	2#15	10		6900	0.23	1#9#20#70	0.05
23	1002#9800	3#15	10		7200	0.24	1#9#20#70	0.05
24	1002#10300	4#15	10		7500	0.25	1#9#20#70	0.05
25	1002#10800	5#15	10		7800	0.26	1#9#20#70	0.05
26	1002#11300	1#21	10		8100	0.27	1#9#20#70	0.05
27	1002#11800	2#21	10		8400	0.28	1#9#20#70	0.05
28	1002#12300	3#21	12		8700	0.29	1#9#20#70	0.05
29	1002#12800	4#21	12		9000	0.3	1#9#20#70	0.05
30	1002#13300	5#21	12	null	9300	0.31	1#9#20#70	0.05
31	1002#15000	1#28	12		9600	0.32	1#9#20#70	0.05
32	1002#16700	2#28	15	null	9900	0.33	1#9#20#70	0.05
33	1002#18400	3#28	15	null	10200	0.34	1#9#20#70	0.05
34	1002#20100	4#28	15	null	10500	0.35	1#9#20#70	0.05
35	1002#21800	5#28	17		10800	0.36	1#9#20#70	0.05
36	1002#23500	1#36	18	null	11100	0.37	1#9#20#70	0.05
37	1002#25200	2#36	18	null	11400	0.38	1#9#20#70	0.05
38	1002#26900	3#36	20	null	11700	0.39	1#9#20#70	0.05
39	1002#28600	4#36	20	null	12000	0.4	1#9#20#70	0.05
40	1002#30300	5#36	21	64001#64015#64029#64043#64057	12300	0.41	1#9#20#70	0.05
41	1002#32000	1#45	21	null	12600	0.42	1#9#20#70	0.05
42	1002#33700	2#45	23	null	12900	0.43	1#9#20#70	0.05
43	1002#35400	3#45	23	null	13200	0.44	1#9#20#70	0.05
44	1002#37100	4#45	24	null	13500	0.45	1#9#20#70	0.05
45	1002#38800	5#45	24	64071#64076#64080#64093	13800	0.46	1#9#20#70	0.05
46	1002#40500	1#55	26	null	14100	0.47	1#9#20#70	0.05
47	1002#42200	2#55	26	null	14400	0.48	1#9#20#70	0.05
48	1002#43900	3#55	28	null	14700	0.49	1#9#20#70	0.05
49	1002#45600	4#55	29	null	15000	0.5	1#9#20#70	0.05
50	1002#47300	5#55	30	65001#65021#65041#65061#65081#65101#65106#65116#65131	15300	0.51	1#9#20#70	0.05
51	1002#49300	1#65	30	null	15600	0.52	1#9#20#70	0.05
52	1002#51300	2#65	30	null	15900	0.53	1#9#20#70	0.05
53	1002#53300	3#65	30	null	16200	0.54	1#9#20#70	0.05
54	1002#55300	4#65	30	null	16500	0.55	1#9#20#70	0.05
