Id	TechId	Level	Values	RankNum	Profession	Limits	Consume	OpenRules
int	int	int	mut,int#int,2	int	int	int	mut,int#int,2	mut,int#int,1
1	1	0	2#0	1	1	1	1002#300	null
2	1	1	2#14	1	1	1	1002#400	null
3	1	2	2#30	1	1	1	1002#500	null
4	1	3	2#47	1	1	1	1002#600	null
5	1	4	2#65	1	1	1	1002#700	null
6	1	5	2#84	1	1	1	1002#800	null
7	1	6	2#105	1	1	1	1002#900	null
8	1	7	2#128	1	1	1	1002#1000	null
9	1	8	2#151	1	1	1	1002#1100	null
10	1	9	2#176	1	1	1	1002#1200	null
11	1	10	2#202	1	1	28	1002#1400	null
12	1	11	2#230	1	1	28	1002#1600	null
13	1	12	2#258	1	1	32	1002#1800	null
14	1	13	2#288	1	1	32	1002#1900	null
15	1	14	2#320	1	1	32	1002#2100	null
16	1	15	2#352	1	1	35	1002#2300	null
17	1	16	2#386	1	1	35	1002#2500	null
18	1	17	2#422	1	1	36	1002#2700	null
19	1	18	2#458	1	1	38	1002#2900	null
20	1	19	2#496	1	1	38	1002#3100	null
21	1	20	2#535	1	1	40	1002#3300	null
22	1	21	2#576	1	1	42	1002#3500	null
23	1	22	2#618	1	1	42	1002#3700	null
24	1	23	2#661	1	1	44	1002#3900	null
25	1	24	2#705	1	1	46	1002#4100	null
26	1	25	2#751	1	1	46	1002#4300	null
27	1	26	2#798	1	1	48	1002#4500	null
28	1	27	2#847	1	1	48	1002#4700	null
29	1	28	2#896	1	1	49	1002#4900	null
30	1	29	2#947	1	1	50	1002#5100	null
31	1	30	2#1000	1	1	0	null	null
32	2	0	3#0	1	1	1	1002#300	1#10
33	2	1	3#14	1	1	1	1002#400	1#10
34	2	2	3#30	1	1	1	1002#500	1#10
35	2	3	3#47	1	1	1	1002#600	1#10
36	2	4	3#65	1	1	1	1002#700	1#10
37	2	5	3#84	1	1	1	1002#800	1#10
38	2	6	3#105	1	1	1	1002#900	1#10
39	2	7	3#128	1	1	1	1002#1000	1#10
40	2	8	3#151	1	1	1	1002#1100	1#10
41	2	9	3#176	1	1	1	1002#1200	1#10
42	2	10	3#202	1	1	28	1002#1400	1#10
43	2	11	3#230	1	1	28	1002#1600	1#10
44	2	12	3#258	1	1	32	1002#1800	1#10
45	2	13	3#288	1	1	32	1002#1900	1#10
46	2	14	3#320	1	1	32	1002#2100	1#10
47	2	15	3#352	1	1	35	1002#2300	1#10
48	2	16	3#386	1	1	35	1002#2500	1#10
49	2	17	3#422	1	1	36	1002#2700	1#10
50	2	18	3#458	1	1	38	1002#2900	1#10
51	2	19	3#496	1	1	38	1002#3100	1#10
52	2	20	3#535	1	1	40	1002#3300	1#10
53	2	21	3#576	1	1	42	1002#3500	1#10
54	2	22	3#618	1	1	42	1002#3700	1#10
55	2	23	3#661	1	1	44	1002#3900	1#10
56	2	24	3#705	1	1	46	1002#4100	1#10
57	2	25	3#751	1	1	46	1002#4300	1#10
58	2	26	3#798	1	1	48	1002#4500	1#10
59	2	27	3#847	1	1	48	1002#4700	1#10
60	2	28	3#896	1	1	49	1002#4900	1#10
61	2	29	3#947	1	1	50	1002#5100	1#10
62	2	30	3#1000	1	1	0	null	1#10
63	3	0	4#0	1	1	1	1002#300	1#10
64	3	1	4#14	1	1	1	1002#400	1#10
65	3	2	4#30	1	1	1	1002#500	1#10
66	3	3	4#47	1	1	1	1002#600	1#10
67	3	4	4#65	1	1	1	1002#700	1#10
68	3	5	4#84	1	1	1	1002#800	1#10
69	3	6	4#105	1	1	1	1002#900	1#10
70	3	7	4#128	1	1	1	1002#1000	1#10
71	3	8	4#151	1	1	1	1002#1100	1#10
72	3	9	4#176	1	1	1	1002#1200	1#10
73	3	10	4#202	1	1	28	1002#1400	1#10
74	3	11	4#230	1	1	28	1002#1600	1#10
75	3	12	4#258	1	1	32	1002#1800	1#10
76	3	13	4#288	1	1	32	1002#1900	1#10
77	3	14	4#320	1	1	32	1002#2100	1#10
78	3	15	4#352	1	1	35	1002#2300	1#10
79	3	16	4#386	1	1	35	1002#2500	1#10
