Id	Type	Values	Reward
int	int	mut,int#int,2	mut,int#int,2
1	9	0|10	16#300
2	9	0|15	16#300
3	9	0|20	16#300
4	9	0|25	16#300
5	9	0|30	16#300
6	9	0|35	16#300
7	9	0|40	16#300
8	9	0|45	16#300
9	9	0|50	16#300
10	9	0|55	16#300
11	9	0|60	16#300
12	9	0|65	16#300
13	9	0|70	16#300
14	9	0|75	16#300
15	9	0|80	16#300
16	9	0|85	16#300
17	9	0|90	16#300
18	9	0|95	16#300
19	9	0|100	16#300
1901	9	0|105	16#300
1902	9	0|110	16#300
1903	9	0|115	16#300
1904	9	0|120	16#300
1905	9	0|125	16#300
1906	9	0|130	16#300
1907	9	0|135	16#300
1908	9	0|140	16#300
1909	9	0|145	16#300
1910	9	0|150	16#300
1911	9	0|155	16#300
1912	9	0|160	16#300
1913	9	0|165	16#300
1914	9	0|170	16#300
1915	9	0|175	16#300
1916	9	0|180	16#300
1917	9	0|185	16#300
1918	9	0|190	16#300
1919	9	0|195	16#300
1920	9	0|200	16#300
1921	9	0|205	16#300
20	3	30|1	72001#2|14#50000
21	3	30|3	72001#2|14#50000
22	3	30|5	72001#2|14#50000
23	3	60|1	72001#3|14#80000
24	3	60|3	72001#3|14#80000
25	3	60|5	72001#3|14#80000
26	3	100|1	72001#5|14#100000
27	3	100|3	72001#5|14#100000
28	3	100|5	72001#5|14#100000
29	3	145|1	72001#10|14#100000
30	3	145|3	72001#10|14#100000
31	3	145|5	72001#10|14#100000
32	53	0|1	14#50000
33	53	0|5	14#100000
34	54	0|10	14#50000
35	54	0|50	14#100000
36	54	0|100	14#200000
37	54	0|200	14#300000
38	54	0|500	14#500000
39	54	0|1000	14#500000
40	69	0|1	19#1|72001#2|14#50000
41	136	0|6	72001#10|14#100000
42	136	0|9	72001#10|14#100000
43	136	0|12	72001#10|14#100000
44	136	0|15	72002#10|14#100000
45	13	4|5	72001#2|14#100000
46	13	4|10	72001#4|14#100000
47	13	4|25	72001#6|14#100000
48	13	4|50	72001#8|14#100000
49	13	4|100	72001#10|14#100000
50	13	4|200	72001#15|14#100000
51	13	4|500	72001#20|14#100000
52	13	5|5	72001#4|14#100000
53	13	5|10	72001#6|14#100000
54	13	5|25	72001#8|14#100000
55	13	5|50	72001#10|14#100000
56	13	5|100	72001#15|14#100000
57	13	5|200	72001#20|14#100000
58	13	5|500	72001#30|14#100000
59	13	6|5	72002#5|14#300000
60	13	6|10	72002#8|14#300000
61	13	6|25	72002#8|14#300000
62	13	6|50	72002#12|14#300000
63	13	6|100	72002#15|14#300000
6301	13	6|200	72002#20|14#300000
6302	13	6|500	72002#20|14#300000
64	2	4|10	72001#5|14#100000
65	2	4|20	72001#5|14#100000
66	2	4|40	72001#8|14#100000
67	2	4|70	72001#8|14#100000
68	2	4|100	72001#8|14#100000
69	2	4|150	72001#10|14#100000
70	2	4|200	72001#15|14#100000
71	2	4|300	72001#20|14#100000
72	2	4|500	72001#30|14#100000
73	2	5|5	72001#10|14#100000
74	2	5|10	72001#10|14#100000
75	2	5|20	72001#12|14#100000
76	2	5|35	72001#12|14#100000
77	2	5|55	72001#12|14#100000
78	2	5|80	72001#12|14#100000
79	2	5|110	72001#15|14#100000
80	2	5|150	72001#20|14#100000
81	2	5|200	72001#30|14#100000
82	2	5|500	72001#50|14#100000
83	55	6|1	72001#10|14#100000
84	55	6|5	72001#12|14#100000
85	55	6|10	72001#20|14#100000
86	55	6|20	72001#30|14#100000
87	55	6|50	72001#40|14#100000
88	55	6|100	72001#50|14#100000
