Id	ActivityId	Order	PassedLevelId	OpenRules	Level
int	int	int	int	mut,int#int,1	mut,int#int,1
10001	60001	1	1000103	0	1000101#1000102#1000103
10002	60001	2	1000203	1#10001	1000201#1000202#1000203
10003	60001	3	1000303	1#10002	1000301#1000302#1000303
10004	60001	4	1000403	1#10003	1000401#1000402#1000403
10005	60001	5	1000503	1#10004	1000501#1000502#1000503
10006	60001	6	1000603	1#10005	1000601#1000602#1000603
10007	60001	7	1000703	1#10006	1000701#1000702#1000703
10011	60002	1	0	0	1001101#1001102#1001103#1001104
10012	60002	2	0	0	1001201#1001202#1001203#1001204
10013	60002	3	0	0	1001301#1001302#1001303#1001304
10021	60003	1	0	0	1002101#1002102#1002103#1002104#1002105#1002106#1002107#1002108#1002109
10022	60003	2	0	0	1002201#1002202#1002203#1002204
10031	60004	1	0	0	1003101#1003102#1003103#1003104#1003105#1003106#1003107#1003108#1003109#1003110#1003111#1003112#1003113
10032	60004	2	0	0	1003201#1003202#1003203#1003204#1003205#1003206#1003207
20011	80001	1	2001130	0	2001101#2001102#2001103#2001104#2001105#2001106#2001107#2001108#2001109#2001110#2001111#2001112#2001113#2001114#2001115#2001116#2001117#2001118#2001119#2001120#2001121#2001122#2001123#2001124#2001125#2001126#2001127#2001128#2001129#2001130
20012	80001	2	2001230	1#20011	2001201#2001202#2001203#2001204#2001205#2001206#2001207#2001208#2001209#2001210#2001211#2001212#2001213#2001214#2001215#2001216#2001217#2001218#2001219#2001220#2001221#2001222#2001223#2001224#2001225#2001226#2001227#2001228#2001229#2001230
20013	80001	3	2001330	1#20012	2001301#2001302#2001303#2001304#2001305#2001306#2001307#2001308#2001309#2001310#2001311#2001312#2001313#2001314#2001315#2001316#2001317#2001318#2001319#2001320#2001321#2001322#2001323#2001324#2001325#2001326#2001327#2001328#2001329#2001330
20014	80001	4	2001430	1#20013	2001401#2001402#2001403#2001404#2001405#2001406#2001407#2001408#2001409#2001410#2001411#2001412#2001413#2001414#2001415#2001416#2001417#2001418#2001419#2001420#2001421#2001422#2001423#2001424#2001425#2001426#2001427#2001428#2001429#2001430
20015	80001	5	2001530	1#20014	2001501#2001502#2001503#2001504#2001505#2001506#2001507#2001508#2001509#2001510#2001511#2001512#2001513#2001514#2001515#2001516#2001517#2001518#2001519#2001520#2001521#2001522#2001523#2001524#2001525#2001526#2001527#2001528#2001529#2001530
20021	80002	1	2002130	0	2002101#2002102#2002103#2002104#2002105#2002106#2002107#2002108#2002109#2002110#2002111#2002112#2002113#2002114#2002115#2002116#2002117#2002118#2002119#2002120#2002121#2002122#2002123#2002124#2002125#2002126#2002127#2002128#2002129#2002130
20022	80002	2	2002230	1#20021	2002201#2002202#2002203#2002204#2002205#2002206#2002207#2002208#2002209#2002210#2002211#2002212#2002213#2002214#2002215#2002216#2002217#2002218#2002219#2002220#2002221#2002222#2002223#2002224#2002225#2002226#2002227#2002228#2002229#2002230
