Id	ActivityId	ChapterID	Order	OpenRules	PasseRules	MaxStar	StarCondServer	Cost	RepeatTimes	RepeatReset	RepeatType	MonsterGroup	BattleTime	LineRules	BuffTarget	BuffId	FirstReward	RepeatReward	RandomDrop	RandomDropShow
int	int	int	int	mut,int#int,2	int	int	mut,int#int,2	mut,int#int,2	int	int	int	int	int	mut,int#int,1	mut,int#int,2	int	mut,int#int,2	mut,int#int,2	mut,int#int,1	mut,int#int,2
1000101	60001	10001	1	0	1	1	7#0	null	-1	0	0	3000001	20	null	null	0	16#50|4#50|14#50000	null	null	null
1000102	60001	10001	2	1#1000101	1	1	7#0	null	-1	0	0	3000002	20	null	null	0	16#50|19#1|14#100000	null	null	null
1000103	60001	10001	3	1#1000102	1	1	7#0	null	-1	0	0	3000003	20	null	null	0	16#100|19#2|14#250000	null	null	null
1000201	60001	10002	1	1#1000103	1	1	7#0	null	-1	0	0	3000004	20	null	null	0	16#50|4#100|14#60000	null	null	null
1000202	60001	10002	2	1#1000201	1	1	7#0	null	-1	0	0	3000005	20	null	null	0	16#100|19#1|14#120000	null	null	null
1000203	60001	10002	3	1#1000202	1	1	7#0	null	-1	0	0	3000006	20	null	null	0	16#150|19#3|14#300000	null	null	null
1000301	60001	10003	1	1#1000203	1	1	7#0	null	-1	0	0	3000007	20	null	null	0	16#50|4#150|14#80000	null	null	null
1000302	60001	10003	2	1#1000301	1	1	7#0	null	-1	0	0	3000008	20	null	null	0	16#100|19#1|14#160000	null	null	null
1000303	60001	10003	3	1#1000302	1	1	7#0	null	-1	0	0	3000009	20	null	null	0	16#150|19#5|14#400000	null	null	null
1000401	60001	10004	1	1#1000303	1	1	7#0	null	-1	0	0	3000010	20	null	null	0	16#50|4#200|14#90000	null	null	null
1000402	60001	10004	2	1#1000401	1	1	7#0	null	-1	0	0	3000011	20	null	null	0	16#100|19#3|14#180000	null	null	null
1000403	60001	10004	3	1#1000402	1	1	7#0	null	-1	0	0	3000012	20	null	null	0	16#150|20#1|14#500000	null	null	null
1000501	60001	10005	1	1#1000403	1	1	7#0	null	-1	0	0	3000013	20	null	null	0	16#50|19#1|14#100000	null	null	null
1000502	60001	10005	2	1#1000501	1	1	7#0	null	-1	0	0	3000014	20	null	null	0	16#100|20#1|14#200000	null	null	null
1000503	60001	10005	3	1#1000502	1	1	7#0	null	-1	0	0	3000015	20	null	null	0	16#150|19#2|6001020#20	null	null	null
1000601	60001	10006	1	1#1000503	1	1	7#0	null	-1	0	0	3000016	20	null	null	0	16#50|19#1|14#120000	null	null	null
1000602	60001	10006	2	1#1000601	1	1	7#0	null	-1	0	0	3000017	20	null	null	0	16#100|20#1|14#240000	null	null	null
1000603	60001	10006	3	1#1000602	1	1	7#0	null	-1	0	0	3000018	20	null	null	0	16#150|19#3|6001020#30	null	null	null
1000701	60001	10007	1	1#1000603	1	1	7#0	null	-1	0	0	3000019	20	null	null	0	16#50|19#2|14#200000	null	null	null
1000702	60001	10007	2	1#1000701	1	1	7#0	null	-1	0	0	3000020	20	null	null	0	16#100|20#1|14#350000	null	null	null
1000703	60001	10007	3	1#1000702	1	1	7#0	null	-1	0	0	3000021	20	null	null	0	16#150|19#5|6001020#50	null	null	null
1001101	60002	10011	1	0	1	3	7#0|3#5|5#0	23#1	3	1	0	3001001	10	null	null	0	16#50|50006#5	14#40000|3#40000	80000#80003	50006#1|6001011#5
1001102	60002	10011	2	1#1001101	1	3	7#0|3#5|5#0	23#1	3	1	0	3001002	10	null	null	0	16#100|50006#5	14#60000|3#60000	80000#80004	50006#1|6001021#2
1001103	60002	10011	3	1#1001102	1	3	7#0|3#5|5#0	23#1	3	1	0	3001003	10	null	null	0	16#150|50006#10	14#80000|3#80000	80001#80005	50006#2|6001021#3
1001104	60002	10011	4	1#1001103	1	3	7#0|3#5|5#0	23#1	3	1	0	3001004	10	null	null	0	16#200|50006#10	14#100000|3#100000	80002#80006	50006#3|6001021#5
1001201	60002	10012	1	0	1	3	7#0|3#5|5#0	23#1	3	1	0	3001005	10	null	null	0	16#50|50006#5	14#40000|3#40000	80000#80007	50006#1|6001012#5
1001202	60002	10012	2	1#1001201	1	3	7#0|3#5|5#0	23#1	3	1	0	3001006	10	null	null	0	16#100|50006#5	14#60000|3#60000	80000#80008	50006#1|6001022#2
1001203	60002	10012	3	1#1001202	1	3	7#0|3#5|5#0	23#1	3	1	0	3001007	10	null	null	0	16#150|50006#10	14#80000|3#80000	80001#80009	50006#2|6001022#3
1001204	60002	10012	4	1#1001203	1	3	7#0|3#5|5#0	23#1	3	1	0	3001008	10	null	null	0	16#200|50006#10	14#100000|3#100000	80002#80010	50006#3|6001022#5
1001301	60002	10013	1	0	1	3	7#0|3#5|5#0	23#1	3	1	0	3001009	10	null	null	0	16#50|50006#5	14#40000|3#40000	80000#80011	50006#1|6001013#5
1001302	60002	10013	2	1#1001301	1	3	7#0|3#5|5#0	23#1	3	1	0	3001010	10	null	null	0	16#100|50006#5	14#60000|3#60000	80000#80012	50006#1|6001023#2
1001303	60002	10013	3	1#1001302	1	3	7#0|3#5|5#0	23#1	3	1	0	3001011	10	null	null	0	16#150|50006#10	14#80000|3#80000	80001#80013	50006#2|6001023#3
1001304	60002	10013	4	1#1001303	1	3	7#0|3#5|5#0	23#1	3	1	0	3001012	10	null	null	0	16#200|50006#10	14#100000|3#100000	80002#80014	50006#3|6001023#5
1002101	60003	10021	1	0	1	1	7#0	null	-1	0	0	3002001	20	null	null	0	16#50|50005#1|14#50000	null	null	null
1002102	60003	10021	2	1#1002101	1	1	7#0	null	-1	0	0	3002002	20	null	null	0	16#50|50005#1|14#50000	null	null	null
1002103	60003	10021	3	1#1002102	1	1	7#0	null	-1	0	0	3002003	20	null	null	0	16#50|50005#1|14#50000	null	null	null
1002104	60003	10021	4	1#1002103	1	1	7#0	null	-1	0	0	3002004	20	null	null	0	16#50|50005#1|14#80000	null	null	null
1002105	60003	10021	5	1#1002104	1	1	7#0	null	-1	0	0	3002005	20	null	null	0	16#50|50005#1|14#80000	null	null	null
1002106	60003	10021	6	1#1002105	1	1	7#0	null	-1	0	0	3002006	20	null	null	0	16#100|50005#1|14#100000	null	null	null
1002107	60003	10021	7	1#1002106	1	1	7#0	null	-1	0	0	3002007	20	null	null	0	16#100|50005#1|14#100000	null	null	null
1002108	60003	10021	8	1#1002107	1	1	7#0	null	-1	0	0	3002008	20	null	null	0	16#100|50005#1|14#120000	null	null	null
1002109	60003	10021	9	1#1002108	1	1	7#0	null	-1	0	0	3002009	20	null	null	0	16#100|50005#1|14#120000	null	null	null
1002201	60003	10022	1	0	1	1	7#0	null	-1	0	0	3002010	20	null	2|10059	50	16#100|4#500|14#200000	null	null	null
1002202	60003	10022	2	1#1002201	1	1	7#0	null	-1	0	0	3002011	20	null	2|10059	50	16#200|19#5|14#300000	null	null	null
1002203	60003	10022	3	1#1002202	1	1	7#0	null	-1	0	0	3002012	20	null	2|10059	50	16#300|20#1|14#400000	null	null	null
1002204	60003	10022	4	1#1002203	1	1	7#0	null	-1	0	0	3002013	20	null	2|10059	50	16#400|6001020#50|14#500000	null	null	null
1003101	60004	10031	1	0	1	1	7#0	null	-1	0	0	3003001	20	null	null	0	16#50|50005#1|14#50000	null	null	null
1003102	60004	10031	2	1#1003101	1	1	7#0	null	-1	0	0	3003002	20	null	null	0	16#50|50005#1|14#50000	null	null	null
