Id	AdjutantId	SkillLvl	LimitLvl	Skill_Id	Cost
int	int	int	int	int	mut,int#int,2
1	1	1	4	700001	6000095#20|14#98000
2	1	2	6	700002	6000095#25|14#196000
3	1	3	8	700003	6000095#30|14#343000
4	1	4	10	700004	6000095#35|14#539000
5	1	5	12	700005	6000095#40|14#784000
6	1	6	14	700006	6000095#45|14#1078000
7	1	7	16	700007	6000095#50|14#1421000
8	1	8	18	700008	6000095#55|14#1813000
9	1	9	20	700009	6000095#60|14#2254000
10	1	10	22	700010	6000095#65|14#2744000
11	1	11	0	700011	null
12	2	1	4	700101	6000095#20|14#98000
13	2	2	6	700102	6000095#25|14#196000
14	2	3	8	700103	6000095#30|14#343000
15	2	4	10	700104	6000095#35|14#539000
16	2	5	12	700105	6000095#40|14#784000
17	2	6	14	700106	6000095#45|14#1078000
18	2	7	16	700107	6000095#50|14#1421000
19	2	8	18	700108	6000095#55|14#1813000
20	2	9	20	700109	6000095#60|14#2254000
21	2	10	22	700110	6000095#65|14#2744000
22	2	11	0	700111	null
23	3	1	4	700201	6000095#20|14#98000
24	3	2	6	700202	6000095#25|14#196000
25	3	3	8	700203	6000095#30|14#343000
26	3	4	10	700204	6000095#35|14#539000
27	3	5	12	700205	6000095#40|14#784000
28	3	6	14	700206	6000095#45|14#1078000
29	3	7	16	700207	6000095#50|14#1421000
30	3	8	18	700208	6000095#55|14#1813000
31	3	9	20	700209	6000095#60|14#2254000
32	3	10	22	700210	6000095#65|14#2744000
33	3	11	0	700211	null
401	4	1	4	700301	6000095#20|14#98000
402	4	2	6	700302	6000095#25|14#196000
403	4	3	8	700303	6000095#30|14#343000
404	4	4	10	700304	6000095#35|14#539000
405	4	5	12	700305	6000095#40|14#784000
406	4	6	14	700306	6000095#45|14#1078000
407	4	7	16	700307	6000095#50|14#1421000
408	4	8	18	700308	6000095#55|14#1813000
409	4	9	20	700309	6000095#60|14#2254000
410	4	10	22	700310	6000095#65|14#2744000
411	4	11	0	700311	null
