Id	Level	StarAward
int	mut,int#int,1	mut,int#int,2
1	10101#10102#10103#10104#10105#10106#10107#10108#10109#10110	10#300103#1|10#10444#5|20#300101#1|20#6000104#1|30#300102#1|30#300104#1|30#10442#1
2	10201#10202#10203#10204#10205#10206#10207#10208#10209#10210	10#310103#1|10#10444#5|20#310101#1|20#6000104#1|30#310102#1|30#310104#1|30#10442#1
3	10301#10302#10303#10304#10305#10306#10307#10308#10309#10310	10#320103#1|10#10444#5|20#320101#1|20#6000104#1|30#320102#1|30#320104#1|30#10442#1
4	10401#10402#10403#10404#10405#10406#10407#10408#10409#10410	10#330103#1|10#10444#5|20#330101#1|20#6000104#1|30#330102#1|30#330104#1|30#10442#1
5	10501#10502#10503#10504#10505#10506#10507#10508#10509#10510	10#340103#1|10#10444#5|20#340101#1|20#6000104#1|30#340102#1|30#340104#1|30#10442#1
6	10601#10602#10603#10604#10605#10606#10607#10608#10609#10610	10#350103#1|10#10444#5|20#350101#1|20#6000104#1|30#350102#1|30#350104#1|30#10442#1
7	10701#10702#10703#10704#10705#10706#10707#10708#10709#10710	10#360103#1|10#10444#5|20#360101#1|20#6000104#1|30#360102#1|30#360104#1|30#10442#1
8	10801#10802#10803#10804#10805#10806#10807#10808#10809#10810	10#370103#1|10#10444#5|20#370101#1|20#6000104#1|30#370102#1|30#370104#1|30#10442#1
9	10901#10902#10903#10904#10905#10906#10907#10908#10909#10910	10#380103#1|10#10444#5|20#380101#1|20#6000104#1|30#380102#1|30#380104#1|30#10442#1
10	11001#11002#11003#11004#11005#11006#11007#11008#11009#11010	10#390103#1|10#10444#5|20#390101#1|20#6000104#1|30#390102#1|30#390104#1|30#10442#1
11	11101#11102#11103#11104#11105#11106#11107#11108#11109#11110	10#400103#1|10#10444#5|20#400101#1|20#6000104#1|30#400102#1|30#400104#1|30#10442#1
12	11201#11202#11203#11204#11205#11206#11207#11208#11209#11210	10#410103#1|10#10444#5|20#410101#1|20#6000104#1|30#410102#1|30#410104#1|30#10442#1
13	11301#11302#11303#11304#11305#11306#11307#11308#11309#11310	10#300103#1|10#10444#5|20#300101#1|20#6000104#1|30#300102#1|30#300104#1|30#10442#1
14	11401#11402#11403#11404#11405#11406#11407#11408#11409#11410	10#310103#1|10#10444#5|20#310101#1|20#6000104#1|30#310102#1|30#310104#1|30#10442#1
15	11501#11502#11503#11504#11505#11506#11507#11508#11509#11510	10#320103#1|10#10444#5|20#320101#1|20#6000104#1|30#320102#1|30#320104#1|30#10442#1
16	11601#11602#11603#11604#11605#11606#11607#11608#11609#11610	10#330103#1|10#10444#5|20#330101#1|20#6000104#1|30#330102#1|30#330104#1|30#10442#1
17	11701#11702#11703#11704#11705#11706#11707#11708#11709#11710	10#340103#1|10#10444#5|20#340101#1|20#6000104#1|30#340102#1|30#340104#1|30#10442#1
18	11801#11802#11803#11804#11805#11806#11807#11808#11809#11810	10#350103#1|10#10444#5|20#350101#1|20#6000104#1|30#350102#1|30#350104#1|30#10442#1
19	11901#11902#11903#11904#11905#11906#11907#11908#11909#11910	10#360103#1|10#10444#5|20#360101#1|20#6000104#1|30#360102#1|30#360104#1|30#10442#1
20	12001#12002#12003#12004#12005#12006#12007#12008#12009#12010	10#370103#1|10#10444#5|20#370101#1|20#6000104#1|30#370102#1|30#370104#1|30#10442#1
21	12101#12102#12103#12104#12105#12106#12107#12108#12109#12110	10#380103#1|10#10444#5|20#380101#1|20#6000104#1|30#380102#1|30#380104#1|30#10442#1
22	12201#12202#12203#12204#12205#12206#12207#12208#12209#12210	10#390103#1|10#10444#5|20#390101#1|20#6000104#1|30#390102#1|30#390104#1|30#10442#1
23	12301#12302#12303#12304#12305#12306#12307#12308#12309#12310	10#400103#1|10#10444#5|20#400101#1|20#6000104#1|30#400102#1|30#400104#1|30#10442#1
24	12401#12402#12403#12404#12405#12406#12407#12408#12409#12410	10#410103#1|10#10444#5|20#410101#1|20#6000104#1|30#410102#1|30#410104#1|30#10442#1
25	12501#12502#12503#12504#12505#12506#12507#12508#12509#12510	10#300103#1|10#10444#5|20#300101#1|20#6000104#1|30#300102#1|30#300104#1|30#10442#1
26	12601#12602#12603#12604#12605#12606#12607#12608#12609#12610	10#310103#1|10#10444#5|20#310101#1|20#6000104#1|30#310102#1|30#310104#1|30#10442#1
27	12701#12702#12703#12704#12705#12706#12707#12708#12709#12710	10#320103#1|10#10444#5|20#320101#1|20#6000104#1|30#320102#1|30#320104#1|30#10442#1
28	12801#12802#12803#12804#12805#12806#12807#12808#12809#12810	10#330103#1|10#10444#5|20#330101#1|20#6000104#1|30#330102#1|30#330104#1|30#10442#1
29	12901#12902#12903#12904#12905#12906#12907#12908#12909#12910	10#340103#1|10#10444#5|20#340101#1|20#6000104#1|30#340102#1|30#340104#1|30#10442#1
30	13001#13002#13003#13004#13005#13006#13007#13008#13009#13010	10#350103#1|10#10444#5|20#350101#1|20#6000104#1|30#350102#1|30#350104#1|30#10442#1
31	13101#13102#13103#13104#13105#13106#13107#13108#13109#13110	10#360103#1|10#10444#5|20#360101#1|20#6000104#1|30#360102#1|30#360104#1|30#10442#1
32	13201#13202#13203#13204#13205#13206#13207#13208#13209#13210	10#370103#1|10#10444#5|20#370101#1|20#6000104#1|30#370102#1|30#370104#1|30#10442#1
33	13301#13302#13303#13304#13305#13306#13307#13308#13309#13310	10#380103#1|10#10444#5|20#380101#1|20#6000104#1|30#380102#1|30#380104#1|30#10442#1
34	13401#13402#13403#13404#13405#13406#13407#13408#13409#13410	10#390103#1|10#10444#5|20#390101#1|20#6000104#1|30#390102#1|30#390104#1|30#10442#1
35	13501#13502#13503#13504#13505#13506#13507#13508#13509#13510	10#400103#1|10#10444#5|20#400101#1|20#6000104#1|30#400102#1|30#400104#1|30#10442#1
36	13601#13602#13603#13604#13605#13606#13607#13608#13609#13610	10#410103#1|10#10444#5|20#410101#1|20#6000104#1|30#410102#1|30#410104#1|30#10442#1
