Id	RobotName	RobotLevel	RobotScore	Formation	RoleId	RoleLv	DifferDemonsId	DifferDemonsLv	PoolId
int	string	int	int	int	mut,int#int,1	int	mut,int#int,1	int	int
1	5010001	9	960	1	10087#10088#10031#10069#10047	20	null	0	1
2	5010001	9	985	2	10071#10029#10014#10067#10030	18	null	0	1
3	5010001	8	963	3	10029#10011#10067#10014#10030	22	null	0	1
4	5010001	8	985	4	10013#10088#10014#10030#10031	18	null	0	1
5	5010001	10	978	5	10051#10013#10089#10067#10030	21	null	0	1
6	5010001	10	972	6	10051#10013#10049#10067#10029	21	null	0	1
7	5010001	10	961	1	10013#10030#10011#10031#10069	19	null	0	1
8	5010001	9	954	2	10051#10033#10031#10014#10047	22	null	0	1
9	5010001	8	958	3	10030#10087#10013#10031#10047	19	null	0	1
10	5010001	9	976	4	10013#10033#10029#10031#10047	20	null	0	1
11	5010001	10	984	5	10071#10049#10067#10030#10090	22	null	0	1
12	5010001	9	978	6	10087#10013#10031#10014#10030	22	null	0	1
13	5010001	8	985	1	10052#10013#10014#10031#10069	18	null	0	1
14	5010001	10	966	2	10051#10030#10049#10029#10067	21	null	0	1
15	5010001	10	995	5	10030#10033#10047#10014#10067	21	null	0	1
16	5010001	13	1010	1	10081#10026#10008#10069#10047	39	null	0	2
17	5010001	15	1001	2	10036#10044#10057#10027#10001	36	null	0	2
18	5010001	15	1016	3	10065#10089#10011#10074#10073	32	null	0	2
19	5010001	14	1034	4	10062#10038#10002#10046#10067	36	null	0	2
20	5010001	13	1031	5	10038#10062#10036#10020#10069	34	null	0	2
21	5010001	15	1016	6	10043#10038#10085#10057#10060	35	null	0	2
22	5010001	12	1054	1	10062#10030#10045#10057#10041	33	null	0	2
23	5010001	15	1038	2	10007#10038#10074#10014#10025	31	null	0	2
24	5010001	13	1012	3	10026#10087#10062#10082#10069	40	null	0	2
25	5010001	14	1056	4	10062#10007#10041#10031#10021	30	null	0	2
26	5010001	14	1059	5	10011#10049#10020#10047#10046	38	null	0	2
27	5010001	15	1047	6	10007#10026#10008#10014#10046	38	null	0	2
28	5010001	12	1004	1	10062#10007#10020#10060#10041	32	null	0	2
29	5010001	12	1007	2	10038#10043#10008#10067#10021	36	null	0	2
30	5010001	14	1042	3	10007#10026#10081#10074#10025	33	null	0	2
31	5010001	12	1008	4	10038#10013#10060#10082#10073	39	null	0	2
32	5010001	13	1038	5	10026#10030#10073#10006#10081	36	null	0	2
33	5010001	14	1022	6	10081#10043#10049#10014#10004	30	null	0	2
34	5010001	12	1056	1	10030#10026#10002#10069#10075	35	null	0	2
35	5010001	12	1056	2	10013#10043#10081#10027#10021	38	null	0	2
36	5010001	15	1057	3	10038#10026#10087#10020#10060	34	null	0	2
37	5010001	13	1032	4	10038#10013#10041#10074#10075	34	null	0	2
38	5010001	15	1006	5	10062#10038#10060#10081#10008	38	null	0	2
39	5010001	14	1012	6	10087#10062#10045#10031#10001	35	null	0	2
40	5010001	14	1016	1	10013#10026#10057#10074#10047	38	null	0	2
41	5010001	13	1059	2	10081#10038#10025#10046#10044	36	null	0	2
42	5010001	13	1041	3	10038#10088#10026#10006#10047	31	null	0	2
43	5010001	12	1043	4	10007#10062#10073#10057#10029	31	null	0	2
44	5010001	14	1008	5	10006#10029#10057#10041#10025	38	null	0	2
45	5010001	14	1031	6	10087#10026#10023#10006#10041	39	null	0	2
46	5010001	22	1119	1	10081#10062#10014#10001#10004	49	null	0	3
47	5010001	20	1074	2	10037#10011#10081#10020#10004	55	null	0	3
48	5010001	21	1064	3	10006#10038#10029#10020#10059	48	null	0	3
49	5010001	25	1086	4	10088#10013#10082#10059#10027	57	null	0	3
50	5010001	23	1087	5	10013#10030#10023#10044#10047	49	null	0	3
51	5010001	23	1120	6	10062#10038#10045#10067#10059	55	null	0	3
52	5010001	24	1094	1	10081#10007#10067#10044#10060	52	null	0	3
53	5010001	25	1118	2	10062#10007#10027#10082#10046	52	null	0	3
54	5010001	25	1111	3	10013#10043#10062#10020#10069	54	null	0	3
55	5010001	21	1075	4	10062#10038#10047#10057#10069	50	null	0	3
56	5010001	21	1061	5	10038#10037#10008#10075#10004	57	null	0	3
57	5010001	25	1062	6	10038#10026#10081#10045#10060	46	null	0	3
58	5010001	24	1080	1	10026#10043#10008#10069#10059	49	null	0	3
59	5010001	21	1095	2	10036#10009#10002#10067#10075	59	null	0	3
60	5010001	25	1090	3	10089#10036#10045#10081#10001	47	null	0	3
61	5010001	20	1063	4	10026#10062#10069#10020#10001	58	null	0	3
62	5010001	25	1102	5	10014#10085#10057#10004#10059	45	null	0	3
63	5010001	20	1068	6	10088#10081#10038#10057#10046	46	null	0	3
64	5010001	25	1063	1	10081#10038#10020#10059#10021	47	null	0	3
65	5010001	21	1120	2	10026#10038#10009#10006#10002	50	null	0	3
66	5010001	22	1084	3	10037#10049#10006#10020#10069	57	null	0	3
67	5010001	23	1109	4	10062#10043#10067#10060#10044	45	null	0	3
68	5010001	23	1084	5	10051#10081#10022#10031#10075	58	null	0	3
69	5010001	23	1061	6	10043#10013#10023#10060#10057	48	null	0	3
70	5010001	21	1114	1	10088#10007#10014#10059#10073	56	null	0	3
71	5010001	21	1066	2	10026#10087#10011#10044#10082	58	null	0	3
72	5010001	20	1120	3	10062#10007#10013#10044#10075	50	null	0	3
73	5010001	24	1116	4	10081#10043#10002#10073#10006	49	null	0	3
74	5010001	24	1084	5	10006#10038#10057#10069#10001	56	null	0	3
75	5010001	24	1098	6	10026#10038#10029#10057#10059	60	null	0	3
76	5010001	33	1125	1	10051#10062#10008#10030#10059	69	null	0	4
77	5010001	33	1164	2	10037#10045#10057#10027#10004	71	null	0	4
78	5010001	34	1144	3	10036#10065#10006#10027#10029	77	null	0	4
79	5010001	35	1123	4	10007#10013#10006#10041#10031	65	null	0	4
80	5010001	35	1153	5	10007#10038#10065#10031#10025	75	null	0	4
81	5010001	34	1133	6	10081#10038#10085#10006#10060	77	null	0	4
82	5010001	32	1134	1	10062#10013#10037#10020#10021	70	null	0	4
83	5010001	34	1179	2	10051#10026#10082#10027#10060	78	null	0	4
84	5010001	30	1176	3	10062#10038#10081#10006#10025	75	null	0	4
85	5010001	32	1124	4	10062#10043#10001#10014#10021	75	null	0	4
86	5010001	32	1137	5	10006#10009#10057#10046#10041	77	null	0	4
87	5010001	33	1130	6	10081#10026#10074#10022#10060	69	null	0	4
88	5010001	31	1163	1	10062#10081#10082#10008#10060	65	null	0	4
89	5010001	30	1150	2	10023#10022#10057#10074#10060	71	null	0	4
90	5010001	35	1123	3	10044#10045#10037#10008#10060	70	null	0	4
91	5010001	35	1162	4	10038#10007#10060#10074#10021	76	null	0	4
92	5010001	34	1163	5	10011#10036#10074#10060#10059	70	null	0	4
93	5010001	33	1159	6	10013#10062#10041#10074#10060	76	null	0	4
94	5010001	30	1143	1	10081#10062#10002#10044#10073	77	null	0	4
95	5010001	35	1126	2	10062#10026#10073#10041#10020	68	null	0	4
96	5010001	33	1142	3	10085#10044#10049#10002#10030	67	null	0	4
97	5010001	32	1180	4	10087#10013#10082#10060#10008	71	null	0	4
98	5010001	33	1139	5	10038#10081#10023#10027#10030	65	null	0	4
99	5010001	35	1127	6	10081#10043#10044#10009#10075	79	null	0	4
100	5010001	32	1134	1	10062#10081#10038#10008#10060	71	null	0	4
101	5010001	33	1180	2	10026#10007#10002#10067#10025	71	null	0	4
102	5010001	31	1166	3	10045#10036#10049#10057#10025	68	null	0	4
103	5010001	35	1167	4	10038#10026#10027#10060#10014	76	null	0	4
104	5010001	35	1142	5	10051#10081#10045#10074#10004	73	null	0	4
105	5010001	35	1158	6	10062#10038#10067#10057#10060	68	null	0	4
