Id	ConsumeItem	ExpLeast	ExpMax	ExpUpgrade	ExpFull	HpLeast	HpMax	AttLeast	AttMax	AddHpLimit	AddAttLimit	SoulLimit
int	mut,int#int,2	int	int	int	int	int	int	int	int	int	int	int
1	72001#2|14#4900	9	12	49	69	48	68	5	9	476	56	0
2	72001#4|14#9800	9	12	117	137	44	51	4	7	1427	169	0
3	72001#6|14#17640	9	12	186	206	41	44	4	6	2854	338	15
4	72001#8|14#27440	9	12	264	284	36	39	4	5	4757	563	25
5	72001#10|14#39200	9	12	333	353	35	61	4	8	7136	844	50
6	72001#13|14#52920	9	12	401	421	34	58	4	7	9991	1181	75
7	72001#16|14#68600	9	12	470	490	34	57	3	7	13322	1574	100
8	72001#19|14#86240	9	12	539	559	33	57	3	7	17129	2023	125
9	72001#22|14#105840	9	12	607	627	33	56	3	7	21412	2528	150
10	72001#26|14#127400	9	12	676	696	32	55	3	7	26171	3089	175
11	72001#30|14#150920	8	13	752	774	32	49	3	6	31406	3706	200
12	72001#34|14#176400	8	13	821	843	31	48	3	6	37117	4379	225
13	72001#38|14#203840	8	13	889	911	31	48	3	6	43304	5108	250
14	72001#42|14#233240	8	13	958	980	31	48	3	6	49967	5893	275
15	72001#46|14#264600	8	13	1027	1049	31	47	3	6	57106	6734	300
16	72001#50|14#297920	8	13	1095	1117	31	47	3	6	64721	7631	325
17	72001#54|14#333200	8	13	1164	1186	31	47	3	6	72812	8584	350
18	72001#58|14#370440	8	13	1242	1264	31	47	3	6	81379	9593	375
19	72001#62|14#409640	8	13	1311	1333	31	47	3	6	90422	10658	400
20	72001#66|14#450800	8	13	1379	1401	31	46	3	6	99941	11779	425
21	72001#70|14#493920	8	12	1450	1470	29	46	3	6	109936	12956	450
22	72001#74|14#539000	8	12	1519	1539	29	46	3	6	120407	14189	475
23	72001#78|14#586040	8	12	1587	1607	29	46	3	6	131354	15478	500
24	72001#82|14#635040	8	12	1656	1676	29	46	3	6	142777	16823	525
25	72001#86|14#686000	8	12	1725	1745	29	46	3	6	154676	18224	550
26	72001#90|14#738920	8	12	1794	1814	29	46	3	6	167051	19681	575
27	72001#94|14#793800	8	12	1863	1883	29	46	3	6	179902	21194	600
28	72001#98|14#850640	8	12	1932	1952	29	46	3	6	193229	22763	625
29	72001#102|14#909440	8	12	2001	2021	29	46	3	6	207032	24388	650
30	72001#106|14#970200	6	13	2068	2090	27	35	3	5	221311	26069	675
31	72001#110|14#1032920	6	13	2137	2159	27	35	3	5	236066	27806	700
32	72001#114|14#1097600	6	13	2206	2228	27	35	3	5	251297	29599	725
33	72001#118|14#1164240	6	13	2275	2297	27	34	3	4	267004	31448	750
34	72001#122|14#1232840	6	13	2344	2366	27	34	3	5	283187	33353	775
35	72001#126|14#1303400	6	13	2413	2435	27	34	3	4	299846	35314	800
36	72001#130|14#1375920	6	13	2482	2504	27	34	3	4	316981	37331	825
37	72001#134|14#1450400	6	13	2551	2573	27	34	3	4	334592	39404	850
38	72001#138|14#1526840	6	13	2620	2642	27	34	3	4	352679	41533	875
39	72001#142|14#1605240	6	12	2691	2711	26	34	3	4	371242	43718	900
40	72001#146|14#1685600	6	12	2760	2780	26	34	3	4	390281	45959	925
41	72001#146|14#1685600	6	12	2760	2780	26	35	3	5	409796	48256	950
42	72001#146|14#1685600	6	12	2760	2780	27	36	3	5	429787	50609	975
43	72001#146|14#1685600	6	12	2760	2780	28	37	3	5	450254	53018	1000
44	72001#146|14#1685600	5	11	2762	2780	25	31	3	4	471197	55483	1025
45	72001#146|14#1685600	5	11	2762	2780	26	32	3	4	492616	58004	1050
46	72001#146|14#1685600	5	11	2762	2780	26	33	3	4	514511	60581	1075
47	72001#146|14#1685600	5	11	2762	2780	27	33	3	4	536882	63214	1100
48	72001#146|14#1685600	5	11	2762	2780	27	34	3	4	559729	65903	1125
49	72001#146|14#1685600	5	11	2762	2780	28	35	3	5	583052	68648	1150
50	72001#146|14#1685600	5	9	2765	2780	25	36	3	5	606851	71449	1175
51	72001#146|14#1685600	5	9	2765	2780	26	36	3	5	631126	74306	1200
52	72001#146|14#1685600	5	9	2765	2780	26	37	3	5	655877	77219	1225
53	72001#146|14#1685600	5	9	2765	2780	26	38	3	5	681104	80188	1250
54	72001#146|14#1685600	5	9	2765	2780	27	38	3	5	706807	83213	1275
55	72001#146|14#1685600	5	9	2765	2780	27	39	3	5	732986	86294	1300
56	72001#146|14#1685600	5	9	2765	2780	28	40	3	5	759641	89431	1325
57	72001#146|14#1685600	5	7	2769	2780	24	40	3	5	786772	92624	1350
58	72001#146|14#1685600	5	7	2769	2780	25	41	3	5	814379	95873	1375
59	72001#146|14#1685600	5	7	2769	2780	25	42	3	5	842462	99178	1400
60	72001#146|14#1685600	5	7	2769	2780	26	42	3	5	871021	102539	1425
61	72001#146|14#1685600	5	7	2769	2780	26	43	3	6	900056	105956	1450
62	72001#146|14#1685600	5	7	2769	2780	26	44	3	6	929567	109429	1475
63	72001#146|14#1685600	5	7	2769	2780	27	44	3	6	959554	112958	1500
64	72001#146|14#1685600	4	7	2769	2780	25	36	3	4	990017	116543	1525
65	72001#146|14#1685600	4	7	2769	2780	25	37	3	5	1020956	120184	1550
66	72001#146|14#1685600	4	7	2769	2780	26	37	3	5	1052371	123881	1575
67	72001#146|14#1685600	4	7	2769	2780	26	38	3	5	1084262	127634	1600
68	72001#146|14#1685600	4	7	2769	2780	27	38	3	5	1116629	131443	1625
69	72001#146|14#1685600	4	7	2769	2780	27	39	3	5	1149472	135308	1650
70	null	0	0	2769	2780	27	39	3	5	1182791	139229	1675
