ID	ArtifactId	SkillLevel	SkillId	ConsumeItem	UnlockFactor	PassiveSkillId
int	int	int	int	mut,int#int,2	int	int
1	1	1	80001	72002#10|14#196000	4	0
2	1	2	80002	72002#20|14#392000	6	0
3	1	3	80003	72002#30|14#686000	8	0
4	1	4	80004	72002#40|14#1078000	10	60001
5	1	5	80005	72002#60|14#1568000	12	60001
6	1	6	80006	72002#80|14#2156000	14	60001
7	1	7	80007	72002#100|14#2842000	16	60001
8	1	8	80008	72002#120|14#3626000	18	60002
9	1	9	80009	72002#140|14#4508000	20	60002
10	1	10	80010	72002#160|14#5488000	22	60002
11	1	11	80011	72002#180|14#6566000	24	60002
12	1	12	80012		0	60003
13	1	13	80012		0	60003
14	1	14	80012		0	60003
15	1	15	80012		0	60003
16	1	16	80012		0	60004
17	2	1	80101	72002#10|14#196000	4	0
18	2	2	80102	72002#20|14#392000	6	0
19	2	3	80103	72002#30|14#686000	8	0
20	2	4	80104	72002#40|14#1078000	10	60001
21	2	5	80105	72002#60|14#1568000	12	60001
22	2	6	80106	72002#80|14#2156000	14	60001
23	2	7	80107	72002#100|14#2842000	16	60001
24	2	8	80108	72002#120|14#3626000	18	60002
25	2	9	80109	72002#140|14#4508000	20	60002
26	2	10	80110	72002#160|14#5488000	22	60002
27	2	11	80111	72002#180|14#6566000	24	60002
28	2	12	80112		0	60003
29	2	13	80112		0	60003
30	2	14	80112		0	60003
31	2	15	80112		0	60003
32	2	16	80112		0	60004
33	3	1	80301	72002#10|14#196000	4	0
34	3	2	80302	72002#20|14#392000	6	0
35	3	3	80303	72002#30|14#686000	8	0
36	3	4	80304	72002#40|14#1078000	10	60001
37	3	5	80305	72002#60|14#1568000	12	60001
38	3	6	80306	72002#80|14#2156000	14	60001
39	3	7	80307	72002#100|14#2842000	16	60001
40	3	8	80308	72002#120|14#3626000	18	60002
41	3	9	80309	72002#140|14#4508000	20	60002
42	3	10	80310	72002#160|14#5488000	22	60002
43	3	11	80311	72002#180|14#6566000	24	60002
44	3	12	80312		0	60003
45	3	13	80312		0	60003
46	3	14	80312		0	60003
47	3	15	80312		0	60003
48	3	16	80312		0	60004
49	4	1	80201	72002#10|14#196000	4	0
50	4	2	80202	72002#20|14#392000	6	0
51	4	3	80203	72002#30|14#686000	8	0
52	4	4	80204	72002#40|14#1078000	10	60001
53	4	5	80205	72002#60|14#1568000	12	60001
54	4	6	80206	72002#80|14#2156000	14	60001
55	4	7	80207	72002#100|14#2842000	16	60001
56	4	8	80208	72002#120|14#3626000	18	60002
57	4	9	80209	72002#140|14#4508000	20	60002
58	4	10	80210	72002#160|14#5488000	22	60002
59	4	11	80211	72002#180|14#6566000	24	60002
60	4	12	80212		0	60003
61	4	13	80212		0	60003
62	4	14	80212		0	60003
63	4	15	80212		0	60003
64	4	16	80212		0	60004
65	5	1	80401	72002#10|14#196000	4	0
66	5	2	80402	72002#20|14#392000	6	0
67	5	3	80403	72002#30|14#686000	8	0
68	5	4	80404	72002#40|14#1078000	10	60001
69	5	5	80405	72002#60|14#1568000	12	60001
70	5	6	80406	72002#80|14#2156000	14	60001
71	5	7	80407	72002#100|14#2842000	16	60001
72	5	8	80408	72002#120|14#3626000	18	60002
73	5	9	80409	72002#140|14#4508000	20	60002
74	5	10	80410	72002#160|14#5488000	22	60002
75	5	11	80411	72002#180|14#6566000	24	60002
76	5	12	80412		0	60003
77	5	13	80412		0	60003
78	5	14	80412		0	60003
79	5	15	80412		0	60003
80	5	16	80412		0	60004
