Level	Cost	Pool
int	mut,int#int,1	mut,int#int,2
1	19001#30	101#1000|102#1000|201#700|202#800|301#700|302#800|401#300|402#200|501#300|502#200|601#300|602#200|701#200|702#200|703#100|801#200|802#200|803#100|901#200|902#200|905#300|906#200|907#100|1001#300|1002#100|1006#300|1007#100|1011#200|1101#100|1201#400
2	19001#90	101#500|102#1000|103#500|201#500|202#700|203#300|301#500|302#700|303#300|401#300|402#200|501#300|502#200|601#300|602#200|701#100|702#200|703#200|801#100|802#200|803#200|901#200|902#250|905#200|906#200|907#100|1001#300|1002#100|1006#300|1007#100|1011#200|1101#100|1106#100|1201#350
3	19001#180	101#500|102#800|103#700|201#400|202#700|203#400|301#400|302#700|303#400|402#300|403#200|502#300|503#200|601#300|602#200|702#300|703#200|802#300|803#200|901#200|902#250|905#200|906#200|907#100|910#50|1001#250|1002#100|1006#300|1007#100|1011#100|1012#100|1101#100|1106#100|1201#350
4	19001#270	101#300|102#800|103#700|104#200|201#300|202#600|203#400|204#200|301#300|302#600|303#400|304#200|402#300|403#200|502#300|503#200|601#200|602#200|603#100|702#200|703#200|704#100|802#200|803#200|804#100|901#200|902#250|905#200|906#200|907#100|910#50|1001#200|1002#100|1006#250|1007#100|1011#100|1012#100|1101#100|1106#100|1111#100|1201#300|1202#50
5	19001#450	101#200|102#700|103#700|104#400|201#200|202#600|203#400|204#300|301#200|302#600|303#400|304#300|403#300|404#200|503#300|504#200|601#200|602#200|603#100|702#100|703#200|704#200|802#100|803#200|804#200|901#100|902#250|904#50|905#100|906#200|907#100|908#50|910#50|1001#150|1002#100|1003#100|1006#200|1007#100|1008#100|1011#100|1012#100|1101#50|1102#50|1106#100|1109#50|1111#100|1201#250|1202#50
6	19001#630	101#100|102#600|103#700|104#400|105#200|201#100|202#500|203#400|204#300|205#200|301#100|302#500|303#400|304#300|305#200|403#300|404#200|503#300|504#200|601#100|602#300|603#100|703#300|704#200|803#300|804#200|901#100|902#200|903#50|904#50|905#100|906#100|907#100|908#50|910#50|911#100|1001#150|1002#100|1003#100|1006#150|1007#100|1008#100|1011#100|1012#50|1013#50|1101#50|1102#50|1106#100|1109#50|1111#100|1116#100|1201#200|1202#50
7	19001#900	101#100|102#500|103#700|104#400|105#300|202#500|203#400|204#300|205#300|302#500|303#400|304#300|305#300|404#300|405#200|504#300|505#200|601#100|602#250|603#100|703#200|704#200|705#100|803#200|804#200|805#100|901#100|902#100|903#50|904#50|905#100|906#100|907#100|908#50|910#50|911#100|1001#50|1002#100|1003#100|1004#100|1006#100|1007#100|1008#100|1009#100|1011#100|1012#50|1013#50|1101#50|1102#50|1104#50|1106#50|1107#50|1109#50|1111#100|1114#50|1116#100|1201#200|1202#50
8	19001#1170	102#500|103#700|104#400|105#300|106#100|202#400|203#400|204#300|205#300|206#100|302#400|303#400|304#300|305#300|306#100|404#300|405#200|504#300|505#200|601#100|602#200|603#150|703#100|704#200|705#200|803#100|804#200|805#200|901#50|902#100|903#50|904#50|905#100|906#100|907#100|908#50|910#50|911#100|912#50|1001#50|1002#100|1003#100|1004#100|1006#100|1007#100|1008#100|1009#100|1011#100|1012#50|1013#50|1101#50|1102#50|1104#50|1106#50|1107#50|1109#50|1111#100|1114#50|1116#100|1201#200|1202#50
9	19001#1530	102#400|103#700|104#500|105#200|106#200|202#300|203#400|204#300|205#300|206#200|302#300|303#400|304#300|305#300|306#200|405#300|406#200|505#300|506#200|601#100|602#200|603#150|704#300|705#200|804#300|805#200|901#50|902#100|903#50|904#50|905#100|906#100|907#100|908#50|910#50|911#100|912#50|1001#50|1002#50|1003#100|1004#100|1005#50|1006#50|1007#50|1008#100|1009#100|1010#50|1011#100|1012#50|1013#50|1101#50|1102#50|1104#50|1106#50|1107#50|1109#50|1111#50|1112#50|1114#50|1116#100|1119#50|1201#200|1202#50
