Id	DispatchMax	CollectTime	Reward
int	int	int	mut,int#int,1
101	1	120	19001#3
102	2	240	19001#6
103	3	480	19001#9
104	4	720	19001#12
105	5	960	19001#15
106	6	1200	19001#18
107	7	1440	19001#21
108	8	1680	19001#24
109	9	1920	19001#27
110	10	2160	19001#30
201	1	180	19002#5
202	2	360	19002#10
203	3	720	19002#15
204	4	1080	19002#20
205	5	1440	19002#25
206	6	1800	19002#30
207	7	2160	19002#35
208	8	2520	19002#40
209	9	2880	19002#45
210	10	3240	19002#50
301	6	3600	19003#12
302	6	4200	19003#24
303	6	4800	19003#36
304	6	5400	19003#48
305	6	6000	19003#60
306	6	6600	19003#72
307	6	7200	19003#84
308	6	7800	19003#96
309	6	8400	19003#108
310	6	9000	19003#120
401	2	240	14#50000
402	3	480	14#100000
403	4	720	14#200000
404	5	960	14#300000
405	6	1200	14#400000
406	7	1440	14#500000
407	8	1680	14#600000
408	9	1920	14#700000
409	10	2160	14#800000
410	10	2400	14#900000
501	2	480	3#20000
502	3	720	3#40000
503	4	1200	3#80000
504	5	1680	3#120000
505	6	2160	3#160000
506	7	2640	3#200000
507	8	3120	3#240000
508	9	3600	3#280000
509	10	4080	3#320000
510	10	4560	3#360000
601	6	1800	16#20
602	7	3600	16#50
603	8	7200	16#100
604	9	10800	16#200
605	10	14400	16#300
701	2	360	4#50
702	3	720	4#100
703	4	1440	4#150
704	5	2160	4#200
705	6	2880	4#250
706	7	3600	4#300
707	8	4320	4#350
708	9	5040	4#400
709	10	5760	4#450
710	10	6480	4#500
801	2	360	6000110#50
802	3	720	6000110#100
803	4	1440	6000110#150
804	5	2160	6000110#200
805	6	2880	6000110#250
806	7	3600	6000110#300
807	8	4320	6000110#350
808	9	5040	6000110#400
809	10	5760	6000110#450
810	10	6480	6000110#500
901	2	480	91#1
902	4	2400	19#1
903	8	9600	19#2
904	10	24000	20#1
905	2	720	60#1
906	3	1800	60#2
907	4	3360	60#3
908	5	5400	60#4
909	6	7920	60#5
910	8	14400	61#1
911	2	960	6000104#1
912	4	3840	6000104#2
913	6	8640	6000104#3
914	8	7680	10421#1
1001	2	360	6001000#2
1002	3	720	6001000#4
1003	4	1080	6001000#6
1004	5	1440	6001000#8
1005	6	1800	6001000#10
1006	2	480	6001010#2
1007	3	960	6001010#4
1008	4	1440	6001010#6
1009	5	2100	6001010#8
1010	6	2880	6001010#10
1011	2	720	6001020#1
1012	3	1440	6001020#2
1013	4	2160	6001020#3
1014	5	2880	6001020#4
1015	6	3600	6001020#5
1101	2	960	18101#1
1102	4	3840	18101#2
1103	6	8640	18101#3
1104	8	19200	18102#1
1105	10	36000	18102#2
1106	2	480	72004#1
1107	4	1920	72004#2
1108	6	4320	72004#3
1109	6	5760	72005#1
1110	8	9600	72005#2
1111	3	720	17011#1
1112	5	2880	17011#3
1113	7	6480	17011#5
1114	7	8640	17012#1
1115	9	14400	17012#2
1116	4	1440	6000098#1
1117	6	4320	6000098#2
1118	8	8640	6000098#3
1119	10	14400	6000097#1
1120	10	18000	6000097#2
1201	2	360	19005#1
1202	3	720	19006#1
1203	4	1200	19007#1
