Id	TaskCount	FreeReward	BattleReward	NeedVIP
int	int	mut,int#int,1	mut,int#int,1	int
1	2	60#3	60457#1	0
2	4	6001010#10	6001020#10	0
3	6	60#3	6001020#10	0
4	8	72001#10	16#500	0
5	10	19#3	19#10	0
6	12	60#3	6001020#10	0
7	14	6001010#10	6001020#10	0
8	16	60#3	16#500	0
9	18	72001#10	6001020#10	0
10	20	6001020#50	81148#50	0
11	22	60#3	6001020#10	0
12	24	6001010#10	6001020#10	0
13	26	60#3	16#500	0
14	28	72001#10	6001020#10	0
15	30	60454#1	60458#1	0
16	32	60#3	6001020#10	0
17	34	6001010#10	6001020#10	0
18	36	60#3	16#500	0
19	38	72001#10	6001020#10	0
20	40	19#3	60458#1	0
21	42	60#3	6001020#10	0
22	44	6001010#10	6001020#10	0
23	46	60#3	16#500	0
24	48	72001#10	6001020#10	0
25	50	60458#1	60456#1	0
26	52	60#3	6001020#10	0
27	54	6001010#10	6001020#10	0
28	56	60#3	16#500	0
29	58	72001#10	6001020#10	0
30	60	19#3	60458#1	0
31	62	60#3	6001020#10	0
32	64	6001010#10	6001020#10	0
33	66	60#3	16#500	0
34	68	72001#10	6001020#10	0
35	70	60454#1	60458#1	0
36	72	60#3	6001020#10	0
37	74	6001010#10	6001020#10	0
38	76	60#3	16#500	0
39	78	72001#10	6001020#10	0
40	80	20011#1	81148#50	0
41	82	60#3	6001020#10	0
42	84	6001010#10	6001020#10	0
43	86	60#3	16#500	0
44	88	72001#10	6001020#10	0
45	90	19#3	20013#1	0
46	92	60#3	6001020#10	0
47	94	6001010#10	6001020#10	0
48	96	60#3	16#500	0
49	98	72001#10	6001020#10	0
50	100	60458#1	60456#1	0
51	102	60#3	6001020#10	0
52	104	6001010#10	6001020#10	0
53	106	60#3	16#500	0
54	108	72001#10	6001020#10	0
55	110	60455#1	60458#1	0
56	112	60#3	6001020#10	0
57	114	6001010#10	6001020#10	0
58	116	60#3	16#500	0
59	118	72001#10	6001020#10	0
60	120	19#3	60458#1	0
61	122	60#3	6001020#10	0
62	124	6001010#10	6001020#10	0
63	126	60#3	16#500	0
64	128	72001#10	6001020#10	0
65	130	60458#1	81148#50	0
66	132	60#3	6001020#10	0
67	134	6001010#10	6001020#10	0
68	136	60#3	16#500	0
69	138	72001#10	6001020#10	0
70	140	19#3	60458#1	0
71	142	60#3	6001020#10	0
72	144	6001010#10	6001020#10	0
73	146	60#3	16#500	0
74	148	72001#10	6001020#10	0
75	150	60455#1	60407#1	0
76	152	60#3	6001020#10	0
77	154	6001010#10	6001020#10	0
78	156	60#3	16#500	0
79	158	72001#10	6001020#10	0
80	160	20012#1	20014#1	0
