Id	Type	ItemId	CollectReward
int	int	mut,int#int,1	mut,int#int,2
1	1	null	null
2	1	null	null
3	0	null	null
4	0	null	null
5	0	null	null
6	0	null	null
7	2	16	null
8	0	16	null
9	2	16	null
10	2	16	null
11	2	16	null
12	2	16	null
13	0	16	null
14	2	16	null
15	0	16	null
16	0	16	null
17	2	16	null
18	0	16	null
19	0	14	null
20	2	14	null
21	2	14	null
22	0	14	null
23	2	14	null
24	2	14	null
25	2	14	null
26	0	14	null
27	0	14	null
28	0	14	null
29	0	14	null
30	2	14	null
31	0	3	null
32	2	3	null
33	2	3	null
34	2	3	null
35	0	3	null
36	2	3	null
37	0	3	null
38	0	3	null
39	2	3	null
40	0	4	null
41	0	4	null
42	2	4	null
43	0	4	null
44	2	4	null
45	0	4	null
46	0	4	null
47	0	4	null
48	0	19	null
49	0	19	null
50	0	19	null
51	0	19	null
52	0	19	null
53	0	19	null
54	0	19	null
55	0	19	null
56	2	19	null
57	0	19	null
58	2	19	null
59	0	20	null
60	2	20	null
61	0	20	null
62	0	20	null
63	0	20	null
64	0	21	null
65	0	21	null
66	0	21	null
67	0	21	null
68	0	21	null
69	0	21	null
70	0	21	null
71	0	21	null
72	0	21	null
73	2	23	null
74	2	23	null
75	2	23	null
76	2	79	null
77	0	79	null
78	0	6033	null
79	0	6033	null
80	0	6033	null
81	2	72001	null
82	0	5	null
83	0	5	null
84	0	5	null
85	0	6	null
86	0	6	null
87	2	60103	null
88	2	60103	null
89	0	90001	null
90	0	5000058	null
91	0	6001020	null
92	2	6001020	null
93	2	6001020	null
94	2	6001020	null
95	0	6001020	null
96	0	6001020	null
97	2	6001020	null
98	0	6001020	null
99	2	6001020	null
100	2	6001020	null
101	2	6001020	null
102	0	6001020	null
103	3	10020#10002#10026#10041#10046	null
104	3	10082#10065#10043#10001#10021	null
105	3	10037#10045#10044#10043#10046	null
106	3	10002#10004#10001#10006#10009	null
107	3	10020#10021#10026#10022#10027	null
108	3	10074#10073#10081#10082#10085	null
109	3	10057#10059#10065#10060#10062	null
110	3	10073#10057#10059#10074#10060	null
111	4	null	null
112	0	null	null
113	0	null	null
114	0	null	null
115	4	null	null
116	4	null	null
117	4	null	null
118	0	null	null
119	4	null	null
120	4	null	null
121	4	null	null
122	4	null	null
123	4	null	null
501	5	10009#10019#10046	16#10|16#10|16#50
502	5	10003#10002#10006#10004#10001	16#10|16#10|16#10|16#10|16#80
503	5	10026#10019#10020#10025#10021	16#10|16#10|16#10|16#10|16#80
504	5	10042#10037#10045#10046#10036	16#10|16#10|16#10|16#10|16#80
505	5	10026#10006#10037#10025#10046	16#10|16#10|16#10|16#10|16#80
506	5	10020#10082#10036#10065#10001	16#10|16#10|16#10|16#10|16#80
507	5	10063#10002#10060#10075#10021	16#10|16#10|16#10|16#10|16#80
508	5	10057#10063#10065#10064#10059	16#10|16#10|16#10|16#10|16#100
509	5	10081#10073#10074#10080#10075	16#10|16#10|16#10|16#10|16#100
510	5	10074#10057#10072#10073#10059	16#10|16#10|16#10|16#10|16#100
