Id	PoolId	Reward	InitializeWeight	ExtractWeight
int	int	mut,int#int,1	int	int
1	1	14#500000	200	5000
2	1	3#30000	200	5000
3	1	5#1000	200	2000
4	1	6#3	100	1500
5	1	47#5	200	4000
6	1	16#888	200	3000
7	1	1002#15000	150	1500
8	1	81002#1	200	3000
9	1	4#1000	200	2000
10	1	19#5	200	3000
11	1	21#10	150	2500
12	1	23#50	150	2500
13	2	10014#1	100	20
14	2	10004#1	100	25
15	2	10015#1	100	30
16	2	81003#6	100	50
17	2	51#1	100	25
18	2	58#1	100	25
19	3	20#10	100	100
20	3	10023#1	100	500
21	3	10003#1	100	500
22	3	48#1	100	300
23	3	55#1	100	100
24	3	56#1	100	100
25	4	46#1	100	100
26	5	16#1888	100	100
27	6	49#1	100	100
28	7	20#10	100	100
29	8	59#1	100	100
30	9	10014#1	100	100
