Id	PoolId	Reward	InitializeNum	ExtractWeight	FloorLimit	LevelLimit
int	int	mut,int#int,1	int	int	int	int
1	1	6000110#500	5	1250	1	1
2	1	60#1	5	1250	1	1
3	1	19#1	5	1250	1	1
4	1	61#1	1	1250	1	1
5	1	6001020#10	5	1250	1	1
6	1	72001#30	10	1250	1	1
7	1	20#1	1	1250	1	1
8	1	6001010#30	3	1250	1	1
11	2	6000110#500	5	1250	1	1
12	2	92#20	5	1250	1	1
13	2	19#1	5	1250	1	1
14	2	61#1	1	1250	1	1
15	2	6001020#10	5	1250	1	1
16	2	72001#30	10	1250	1	1
17	2	20#1	1	1250	1	1
18	2	6001010#30	3	1250	1	1
21	3	6000110#500	5	1250	1	1
22	3	6001010#30	5	1250	1	1
23	3	19#1	5	1250	1	1
24	3	61#1	1	1250	1	1
25	3	6001020#10	5	1250	1	1
26	3	72001#30	10	1250	1	1
27	3	20#1	1	1250	1	1
28	3	19#5	3	1250	1	1
6101	6	72005#15	1	0	1	1
6102	6	6000110#5000	1	0	1	1
6103	6	19#12	1	0	1	1
6104	6	6001020#50	1	0	1	1
6105	6	17012#30	1	0	1	70
6106	6	6000004#50	1	0	1	1
6107	6	6000025#50	1	0	1	1
6108	6	6000046#50	1	0	1	1
6201	6	18102#10	1	0	2	40
6202	6	20#5	1	0	2	1
6203	6	6000058#50	1	0	2	1
6204	6	6000078#50	1	0	2	1
6205	6	81148#50	1	0	2	1
6301	6	6000061#50	1	0	3	1
6302	6	6000073#50	1	0	3	1
6303	6	6001030#50	1	0	3	1
6304	6	6001031#50	1	0	3	1
7101	7	72005#15	1	0	1	1
7102	7	6000110#5000	1	0	1	1
7103	7	19#12	1	0	1	1
7104	7	6001020#50	1	0	1	1
7105	7	17012#30	1	0	1	70
7106	7	6000004#50	1	0	1	1
7107	7	6000019#50	1	0	1	1
7108	7	6000037#50	1	0	1	1
7109	7	10424#10	1	0	1	100
7201	7	18102#10	1	0	2	40
7202	7	20#5	1	0	2	1
7203	7	6000059#50	1	0	2	1
7204	7	6000077#50	1	0	2	1
7205	7	81148#50	1	0	2	1
7206	7	17013#100	1	0	2	1
7207	7	10423#3	1	0	2	100
7301	7	6000061#50	1	0	3	1
7302	7	6000073#50	1	0	3	1
7303	7	6001030#50	1	0	3	1
7304	7	6001031#50	1	0	3	1
7305	7	60406#1	1	0	3	100
8101	8	72005#15	1	0	1	1
8102	8	6000110#5000	1	0	1	1
8103	8	19#12	1	0	1	1
8104	8	6001020#50	1	0	1	1
8105	8	17012#30	1	0	1	70
8106	8	6000006#50	1	0	1	1
8107	8	6000026#50	1	0	1	1
8108	8	6000046#50	1	0	1	1
8109	8	10424#10	1	0	1	100
8201	8	18102#10	1	0	2	40
8202	8	20#5	1	0	2	1
8203	8	6000058#50	1	0	2	1
8204	8	6000074#50	1	0	2	1
8205	8	81148#50	1	0	2	1
8206	8	17013#100	1	0	2	1
8207	8	10423#3	1	0	2	100
8301	8	6000061#50	1	0	3	1
8302	8	6000073#50	1	0	3	1
8303	8	6001030#50	1	0	3	1
8304	8	6001031#50	1	0	3	1
8305	8	60406#1	1	0	3	100
