Id	Type	LevelsValue	BoxAwards	LevelsAwards	LowerLimit	UpperLimit	PoolId
int	int	int	int	mut,int#int,2	float	float	int
1	1	1	0	14#30000|8#55	0.2	0.25	1
2	1	2	0	14#32000|8#60	0.25	0.3	1
3	1	3	1	14#34000|8#65	0.3	0.35	1
4	1	4	0	14#36000|8#70	0.35	0.4	2
5	1	5	0	14#38000|8#75	0.4	0.45	2
6	1	6	2	14#40000|8#80	0.45	0.5	2
7	1	7	0	14#42000|8#85	0.5	0.55	3
8	1	8	0	14#44000|8#90	0.55	0.6	3
9	1	9	3	14#46000|8#95	0.6	0.65	3
10	1	10	0	14#48000|8#100	0.65	0.7	4
11	1	11	0	14#51000|8#105	0.7	0.75	4
12	1	12	4	14#53000|8#110	0.75	0.8	4
13	1	13	0	14#55000|8#115	0.8	0.85	5
14	1	14	0	14#57000|8#120	0.85	0.9	5
15	1	15	5	14#59000|8#125	0.9	0.95	5
16	2	1	0	14#61000|8#130	0.3	0.35	3
17	2	2	0	14#63000|8#135	0.35	0.4	3
18	2	3	6	14#65000|8#140	0.4	0.45	3
19	2	4	0	14#67000|8#145	0.45	0.5	4
20	2	5	0	14#69000|8#150	0.5	0.55	4
21	2	6	7	14#71000|8#155	0.55	0.6	4
22	2	7	0	14#73000|8#160	0.6	0.65	5
23	2	8	0	14#75000|8#165	0.65	0.7	5
24	2	9	8	14#77000|8#170	0.7	0.75	5
25	2	10	0	14#79000|8#175	0.75	0.8	6
26	2	11	0	14#81000|8#180	0.8	0.85	6
27	2	12	9	14#83000|8#185	0.85	0.9	6
28	2	13	0	14#85000|8#190	0.9	0.95	7
29	2	14	0	14#87000|8#195	0.95	1.0	7
30	2	15	10	14#89000|8#200	1.0	1.05	7
31	3	1	0	14#91000|8#205	0.35	0.4	6
32	3	2	0	14#93000|8#210	0.4	0.44	6
33	3	3	11	14#95000|8#215	0.45	0.48	6
34	3	4	0	14#97000|8#220	0.49	0.52	7
35	3	5	0	14#99000|8#225	0.53	0.56	7
36	3	6	12	14#101000|8#230	0.57	0.6	7
37	3	7	0	14#103000|8#235	0.61	0.64	8
38	3	8	0	14#105000|8#240	0.65	0.68	8
39	3	9	13	14#107000|8#245	0.69	0.73	8
40	3	10	0	14#109000|8#250	0.74	0.78	9
41	3	11	0	14#111000|8#255	0.79	0.83	9
42	3	12	14	14#113000|8#260	0.84	0.88	9
43	3	13	0	14#115000|8#265	0.89	0.93	10
44	3	14	0	14#117000|8#270	0.94	0.98	10
45	3	15	15	14#119000|8#275	0.99	1.05	10
