Id	SeasonPass	Type	SeasonReward	SeasonTokenReward
int	int	int	mut,int#int,2	mut,int#int,2
1	50	1	19#1	19#1|16#100
2	100	1	23#5	12013#10|20#1
3	150	1	21#1	12012#20|21#1
4	200	1	14#50000	19#2|14#100000
5	250	1	12012#15	12013#10|23#10
6	300	1	4#100	12012#20|4#300
7	350	1	3#5000	19#3|3#10000
8	400	1	12012#25	12013#20|21#3
9	450	1	19#3	12012#40|16#300
10	500	1	14#100000	19#4|14#200000
11	560	1	4#300	12013#20|5#500
12	620	1	16#200	12012#40|6#1
13	700	1	21#3	19#5|21#5
14	800	2	12013#20	12013#20|20#5
