Id	Option
int	mut,int#int,1
100001	100001
100002	300007#300013
200800	200800
200801	200801
200802	200802
200803	200803
200900	200900
200901	200901
200902	200902
201000	201000
201001	201001
201002	201002
201003	201003
201100	201100
201101	201101
402350	402350
402351	402351
402352	402352
201300	201300
201301	201301
201302	201302
201303	201303
201304	201304
201400	201400
201401	201401
201402	201402
201403	201403
201404	201404
500010	500010
500011	500011
500012	500012
500013	500013
500020	500020
500021	500021
500022	500022
500023	500023
500025	500025
500026	500026
500030	500030
500040	500040
500050	500050
500060	500060
500061	500061
500062	500062
500063	500063
500070	500070
500071	500071
500072	500072
500073	500073
500074	500074
500075	500075
500076	500076
400100	400100
400101	400101
400102	400102
201600	201600
201601	201601
201602	201602
201603	201603
400300	400300
400301	400301
400400	400400
400401	400401
400402	400402
400500	400500
402400	402400
402401	402401
402402	402402
200100	200100
200200	200200
200500	200500
200501	200501
200600	200600
200601	200601
200602	200602
200603	200603
200700	200700
200701	200701
200702	200702
201700	201700
201800	201800
201500	201500
201501	201501
201900	201900
201901	201901
201200	201200
201201	201201
201202	201202
201203	201203
200400	200400
200401	200401
202000	202000
202001	202001
202002	202002
202100	202100
202101	202101
202102	202102
202103	202103
202200	202200
202201	202201
202202	202202
202203	202203
202204	202204
202300	202300
202301	202301
202302	202302
202400	202400
202401	202401
202402	202402
202403	202403
202500	202500
202501	202501
202600	202600
202601	202601
202602	202602
202603	202603
202700	202700
202701	202701
202702	202702
202703	202703
202800	202800
202801	202801
202802	202802
202900	202900
202901	202901
202902	202902
203000	203000
203001	203001
203100	203100
203101	203101
203102	203102
203103	203103
203200	203200
203201	203201
203300	203300
203301	203301
