Id	KeyFrame	SkillDuration	SkillNumber	ReturnTime	IsCannon
int	int	mut,int#int,1	int	int	int
100	1000	0	1	2000	0
600	4000	0	1	5900	0
601	5500	0	1	5900	0
602	5500	0	1	5900	0
603	5500	0	1	5900	0
800	2500	150#150#150#150#150#150#150#150#150	10	4800	0
801	2250	150#150#150#150#150#150#600	8	4800	0
803	2250	150#150#150#150#150#150#150#150#150	10	4800	0
802	2250	150#150#150#150#150#150#600	8	4800	0
804	2500	150#150#150#150#150#150#150#150#150	10	4800	0
1010	1000	0	1	1400	0
1011	2400	96#147#257	4	4600	0
1013	2456	450#450#450	4	5300	0
1020	400	263	2	1300	0
1021	990	0	1	1700	0
1023	1150	0	1	2600	0
1030	620	0	1	1400	0
1031	600	233#233#233#233	5	1800	0
1033	2000	333#333	3	2800	0
1040	450	0	1	1020	0
1041	920	433#233#233	4	2200	0
1043	2000	553	2	2900	0
1050	770	0	1	1300	0
1051	100	0	1	1800	0
1053	2400	0	1	3000	0
1060	450	0	1	1050	0
1061	1550	333#333	3	3500	0
1063	1200	333#333#333#333	5	3000	0
1070	520	0	1	1000	0
1071	1500	0	1	2500	0
1073	366	233#233#166#1000	5	3500	0
1080	430	0	1	1300	0
1081	600	0	1	1400	0
1083	1700	0	1	2500	0
1090	760	0	1	1100	0
1091	800	700	2	2500	0
1093	1600	150#150#150#150	5	2400	0
1100	580	0	1	1500	0
1101	700	0	1	1800	0
1103	900	0	1	2000	0
1110	400	0	1	1100	0
1111	1100	0	1	1800	0
1113	1900	0	1	2400	0
1120	500	0	1	1100	0
1121	750	333#333#333#333	5	2600	0
1130	750	0	1	1300	0
1131	1300	0	1	1700	0
1133	1700	0	1	2950	0
1140	400	0	1	1050	0
1141	940	540	2	2200	0
1143	1200	0	1	2000	0
1150	350	290	2	1300	0
1151	500	250#300#200#400	5	2800	0
1153	1200	0	1	2200	0
1180	380	0	1	1300	0
1181	610	0	1	1500	0
1210	390	0	1	1200	0
1211	690	0	1	1900	0
1230	600	0	1	1200	0
1231	1030	0	1	2000	0
1240	850	0	1	1900	0
1241	900	0	1	2400	0
1243	3000	300#300#300#300#300	6	6200	0
2010	470	0	1	1300	0
2011	1400	0	1	2100	0
2013	1600	0	1	2500	0
2020	400	0	1	1050	0
2021	1000	180#180#180	4	1500	0
2023	2000	0	1	4000	0
2030	550	0	1	1300	0
2031	1050	150#150#150#150	5	2000	0
2033	1700	0	1	2700	0
2040	400	0	1	1050	0
2041	850	0	1	1700	0
2043	550	150#700#200#600	5	3000	0
2050	800	0	1	1400	0
2051	1320	0	1	2300	0
2053	1300	233#233	3	2700	0
2060	380	0	1	1000	0
2061	860	0	1	2200	0
2070	1050	0	1	1300	0
2071	1200	0	1	1700	0
2073	2300	0	1	2950	0
2080	760	0	1	1300	0
2081	1300	0	1	2400	0
2083	1600	0	1	3000	0
2090	530	0	1	1100	0
2091	1500	250#250#250#250#250	6	3800	0
2093	1600	250#250#600	4	3800	0
2100	830	0	1	1300	0
2101	1150	0	1	1700	0
