ID	PropertyGroup
int	mut,int#int,2
1	51#500#100|52#500#100|53#500#100|54#500#100|55#500#100|56#500#100|57#500#100|58#500#100|60#500#100|61#500#100|62#500#100|63#500#100|65#500#100|171#500#100|151#500#100|152#500#100|153#500#100|154#500#100|155#500#100|156#500#100
2	51#500#20|52#500#20|53#500#20|54#500#20|55#500#20|56#500#20|57#500#20|58#500#20|60#500#20|61#500#20|62#500#20|63#500#20|65#500#20
3	171#500#20|151#500#20|152#500#20|153#500#20|154#500#20|155#500#20|156#500#20
4	1#1491#50|2#148#50|3#22#50|5#11#50
5	1#2983#50|2#296#50|3#44#50|5#21#50
6	1#5967#50|2#593#50|3#88#50|5#31#50
7	1#11934#50|2#1186#50|3#177#50|5#41#50
8	1#23868#50|2#2373#50|3#355#50|5#51#50
9	1#47736#50|2#4746#50|3#708#50|5#102#50
