ID	SkillGroup
int	mut,int#int,2
1	60011#0|60021#0|60031#0|60061#35|60071#35|60081#18|60091#18|60101#35|60111#30|60121#30|60131#30|60141#30|60151#30|60161#30|60171#35|60181#30|60191#30|60201#18|60211#35
2	60012#10|60022#10|60032#10|60062#35|60072#35|60082#18|60092#18|60102#35|60112#30|60122#30|60132#30|60142#30|60152#30|60162#30|60172#35|60182#30|60192#30|60202#18|60212#35
3	60013#10|60023#10|60033#10|60063#35|60073#35|60083#18|60093#18|60103#35|60113#30|60123#30|60133#30|60143#30|60153#30|60163#30|60173#35|60183#30|60193#30|60203#18|60213#35
4	60014#10|60024#10|60034#10|60064#35|60074#35|60084#18|60094#18|60104#35|60114#30|60124#30|60134#30|60144#30|60154#30|60164#30|60174#35|60184#30|60194#30|60204#18|60214#35
5	60221#35|60231#18|60241#35|60251#35|60261#18|60271#18|60281#35|60291#18|60301#18|60311#35|60321#30|60331#18|60341#18|60351#18|60361#18|60371#18|60391#35|60401#35|60411#18|60421#18
6	60222#35|60232#18|60242#35|60252#35|60262#18|60272#18|60282#35|60292#18|60302#18|60312#35|60322#30|60332#18|60342#18|60352#18|60362#18|60372#18|60392#35|60402#35|60412#18|60422#18
7	60223#35|60233#18|60243#35|60253#35|60263#18|60273#18|60283#35|60293#18|60303#18|60313#35|60323#30|60333#18|60343#18|60353#18|60363#18|60373#18|60393#35|60403#35|60413#18|60423#18
8	60224#35|60234#18|60244#35|60254#35|60264#18|60274#18|60284#35|60294#18|60304#18|60314#35|60324#30|60334#18|60344#18|60354#18|60364#18|60374#18|60394#35|60404#35|60414#18|60424#18
9	60011#0|60021#0|60031#0|60061#35|60071#35|60081#18|60091#18|60101#35|60111#30|60121#30|60131#30|60141#30|60151#30|60161#30|60171#35|60181#30|60191#30|60201#18|60211#35|60221#35|60231#18|60241#35|60251#35|60261#18|60271#18|60281#35|60291#18|60301#18|60311#35|60321#30|60331#18|60341#18|60351#18|60361#18|60371#18|60391#35|60401#35|60411#18|60421#18
10	60012#0|60022#0|60032#0|60062#35|60072#35|60082#18|60092#18|60102#35|60112#30|60122#30|60132#30|60142#30|60152#30|60162#30|60172#35|60182#30|60192#30|60202#18|60212#35|60222#35|60232#18|60242#35|60252#35|60262#18|60272#18|60282#35|60292#18|60302#18|60312#35|60322#30|60332#18|60342#18|60352#18|60362#18|60372#18|60392#35|60402#35|60412#18|60422#18
11	60013#10|60023#10|60033#10|60063#35|60073#35|60083#18|60093#18|60103#35|60113#30|60123#30|60133#30|60143#30|60153#30|60163#30|60173#35|60183#30|60193#30|60203#18|60213#35|60223#35|60233#18|60243#35|60253#35|60263#18|60273#18|60283#35|60293#18|60303#18|60313#35|60323#30|60333#18|60343#18|60353#18|60363#18|60373#18|60393#35|60403#35|60413#18|60423#18
12	60014#25|60024#25|60034#25|60064#25|60074#25|60084#25|60094#25|60104#25|60114#25|60124#25|60134#25|60144#25|60154#25|60164#25|60174#25|60184#25|60194#25|60204#25|60214#25|60224#25|60234#25|60244#25|60254#25|60264#25|60274#25|60284#25|60294#25|60304#25|60314#25|60324#25|60334#25|60344#25|60354#25|60364#25|60374#25|60394#25|60404#25|60414#25|60424#25
