Id	Type	OpenRules	Quality	Reward	MonsterId	PrivilegeId
int	int	mut,int#int,2	int	mut,int#int,1	int	mut,int#int,1
1	1	1#15|3#10000	1	9001	60001	101#106
2	1	1#15|3#40000	2	9002	60002	101#106
3	1	1#15|3#70000	3	9003	60003	101#106
4	1	1#15|3#110000	4	9004	60004	101#106
5	1	1#15|3#180000	5	9005	60005	101#106
6	1	1#15|3#280000	6	9006	60006	101#106
7	1	1#15|3#420000	7	9007	60007	101#106
8	1	1#15|3#600000	8	9008	60008	101#106
9	1	1#15|3#900000	9	9009	60009	101#106
10	2	1#17|3#10000	1	9010	60101	102#107
11	2	1#17|3#45000	2	9011	60102	102#107
12	2	1#17|3#85000	3	9012	60103	102#107
13	2	1#17|3#150000	4	9013	60104	102#107
14	2	1#17|3#200000	5	9014	60105	102#107
15	2	1#17|3#300000	6	9015	60106	102#107
16	2	1#17|3#450000	7	9016	60107	102#107
17	2	1#17|3#680000	8	9017	60108	102#107
18	2	1#17|3#1000000	9	9018	60109	102#107
19	3	1#21|3#20000	1	9019	60201	103#108
20	3	1#21|3#50000	2	9020	60202	103#108
21	3	1#21|3#90000	3	9021	60203	103#108
22	3	1#21|3#160000	4	9022	60204	103#108
23	3	1#21|3#230000	5	9023	60205	103#108
24	3	1#21|3#340000	6	9024	60206	103#108
25	3	1#21|3#520000	7	9025	60207	103#108
26	3	1#21|3#850000	8	9026	60208	103#108
27	3	1#21|3#1400000	9	9027	60209	103#108
28	4	1#26|3#20000	1	9028	60301	104#109
29	4	1#26|3#55000	2	9029	60302	104#109
30	4	1#26|3#100000	3	9030	60303	104#109
31	4	1#26|3#190000	4	9031	60304	104#109
32	4	1#26|3#250000	5	9032	60305	104#109
33	4	1#26|3#360000	6	9033	60306	104#109
34	4	1#26|3#560000	7	9034	60307	104#109
35	4	1#26|3#920000	8	9035	60308	104#109
36	4	1#26|3#1600000	9	9036	60309	104#109
37	5	1#45|3#50000	1	9037	60401	105#110
38	5	1#45|3#95000	2	9038	60402	105#110
39	5	1#45|3#170000	3	9039	60403	105#110
40	5	1#45|3#210000	4	9040	60404	105#110
41	5	1#45|3#410000	5	9041	60405	105#110
42	5	1#45|3#650000	6	9042	60406	105#110
43	5	1#45|3#1050000	7	9043	60407	105#110
44	5	1#45|3#1770000	8	9044	60408	105#110
45	5	1#45|3#2350000	9	9045	60409	105#110
46	6	1#150|3#950000	1	9046	60410	119#120
47	6	1#150|3#1000000	2	9047	60411	119#120
48	6	1#150|3#1100000	3	9048	60412	119#120
49	6	1#150|3#1200000	4	9049	60413	119#120
50	6	1#150|3#1400000	5	9050	60414	119#120
51	6	1#150|3#1750000	6	9051	60415	119#120
52	6	1#150|3#2200000	7	9052	60416	119#120
53	6	1#150|3#2500000	8	9053	60417	119#120
54	6	1#150|3#3000000	9	9054	60418	119#120
