Id	MonsterGroupId	Award	FirstAward	BattleTime	NextId
int	int	mut,int#int,2	mut,int#int,1	int	int
1	2000001	14#20000|3#30000	null	10	2
2	2000002	14#20500|3#30600	null	10	3
3	2000003	14#21000|3#31200	null	10	4
4	2000004	14#21500|3#31800	null	10	5
5	2000005	14#22000|3#32400	3#30000	10	6
6	2000006	14#22500|3#33000	null	10	7
7	2000007	14#23000|3#33600	null	10	8
8	2000008	14#23500|3#34200	null	10	9
9	2000009	14#24000|3#34800	null	10	10
10	2000010	14#24500|3#35400	3#50000	10	11
11	2000011	14#25000|3#36000	null	10	12
12	2000012	14#25500|3#36600	null	10	13
13	2000013	14#26000|3#37200	null	10	14
14	2000014	14#26500|3#37800	null	10	15
15	2000015	14#27000|3#38400	19#1	10	16
16	2000016	14#27500|3#39000	null	10	17
17	2000017	14#28000|3#39600	null	10	18
18	2000018	14#28500|3#40200	null	10	19
19	2000019	14#29000|3#40800	null	10	20
20	2000020	14#29500|3#41400	3#70000	10	21
21	2000021	14#30000|3#42000	null	10	22
22	2000022	14#30500|3#42600	null	10	23
23	2000023	14#31000|3#43200	null	10	24
24	2000024	14#31500|3#43800	null	10	25
25	2000025	14#32000|3#44400	3#90000	10	26
26	2000026	14#32500|3#45000	null	10	27
27	2000027	14#33000|3#45600	null	10	28
28	2000028	14#33500|3#46200	null	10	29
29	2000029	14#34000|3#46800	null	10	30
30	2000030	14#34500|3#47400	19#1	10	31
31	2000031	14#35000|3#48000	null	10	32
32	2000032	14#35500|3#48600	null	10	33
33	2000033	14#36000|3#49200	null	10	34
34	2000034	14#36500|3#49800	null	10	35
35	2000035	14#37000|3#50400	3#110000	10	36
36	2000036	14#37500|3#51000	null	10	37
37	2000037	14#38000|3#51600	null	10	38
38	2000038	14#38500|3#52200	null	10	39
39	2000039	14#39000|3#52800	null	10	40
40	2000040	14#39500|3#53400	3#130000	10	41
41	2000041	14#40000|3#54000	null	10	42
42	2000042	14#40500|3#54600	null	10	43
43	2000043	14#41000|3#55200	null	10	44
44	2000044	14#41500|3#55800	null	10	45
45	2000045	14#42000|3#56400	19#1	10	46
46	2000046	14#42500|3#57000	null	10	47
47	2000047	14#43000|3#57600	null	10	48
48	2000048	14#43500|3#58200	null	10	49
49	2000049	14#44000|3#58800	null	10	50
50	2000050	14#44500|3#59400	3#150000	10	51
51	2000051	14#45000|3#60000	null	10	52
52	2000052	14#45500|3#60600	null	10	53
53	2000053	14#46000|3#61200	null	10	54
54	2000054	14#46500|3#61800	null	10	55
55	2000055	14#47000|3#62400	3#170000	10	56
56	2000056	14#47500|3#63000	null	10	57
57	2000057	14#48000|3#63600	null	10	58
58	2000058	14#48500|3#64200	null	10	59
59	2000059	14#49000|3#64800	null	10	60
60	2000060	14#49500|3#65400	19#1	10	61
61	2000061	14#50000|3#66000	null	10	62
62	2000062	14#50500|3#66600	null	10	63
63	2000063	14#51000|3#67200	null	10	64
64	2000064	14#51500|3#67800	null	10	65
65	2000065	14#52000|3#68400	3#190000	10	66
66	2000066	14#52500|3#69000	null	10	67
67	2000067	14#53000|3#69600	null	10	68
68	2000068	14#53500|3#70200	null	10	69
69	2000069	14#54000|3#70800	null	10	70
70	2000070	14#54500|3#71400	3#210000	10	71
71	2000071	14#55000|3#72000	null	10	72
72	2000072	14#55500|3#72600	null	10	73
73	2000073	14#56000|3#73200	null	10	74
74	2000074	14#56500|3#73800	null	10	75
75	2000075	14#57000|3#74400	19#1	10	76
76	2000076	14#57500|3#75000	null	10	77
77	2000077	14#58000|3#75600	null	10	78
78	2000078	14#58500|3#76200	null	10	79
79	2000079	14#59000|3#76800	null	10	80
80	2000080	14#59500|3#77400	3#230000	10	81
81	2000081	14#60000|3#78000	null	10	82
82	2000082	14#60500|3#78600	null	10	83
83	2000083	14#61000|3#79200	null	10	84
84	2000084	14#61500|3#79800	null	10	85
85	2000085	14#62000|3#80400	3#250000	10	86
86	2000086	14#62500|3#81000	null	10	87
87	2000087	14#63000|3#81600	null	10	88
88	2000088	14#63500|3#82200	null	10	89
89	2000089	14#64000|3#82800	null	10	90
90	2000090	14#64500|3#83400	19#1	10	91
91	2000091	14#65000|3#84000	null	10	92
92	2000092	14#65500|3#84600	null	10	93
93	2000093	14#66000|3#85200	null	10	94
94	2000094	14#66500|3#85800	null	10	95
95	2000095	14#67000|3#86400	3#270000	10	96
96	2000096	14#67500|3#87000	null	10	97
97	2000097	14#68000|3#87600	null	10	98
98	2000098	14#68500|3#88200	null	10	99
99	2000099	14#69000|3#88800	null	10	100
100	2000100	14#69500|3#89400	3#290000	10	101
101	2000101	14#70000|3#90000	null	10	102
102	2000102	14#70500|3#90600	null	10	103
103	2000103	14#71000|3#91200	null	10	104
104	2000104	14#71500|3#91800	null	10	105
105	2000105	14#72000|3#92400	19#1	10	106
106	2000106	14#72500|3#93000	null	10	107
107	2000107	14#73000|3#93600	null	10	108
108	2000108	14#73500|3#94200	null	10	109
109	2000109	14#74000|3#94800	null	10	110
