Id	Reward	Pool	Weight
int	mut,int#int,1	int	int
1	6001#1	8	100
2	6002#1	8	100
3	6003#1	8	100
4	6004#1	8	100
5	6005#1	8	100
6	6006#1	8	100
7	6007#1	8	100
8	6008#1	8	100
9	6009#1	8	100
10	6010#1	8	0
11	6011#1	8	0
12	6012#1	8	0
13	6013#1	2	100
14	6014#1	2	100
15	6015#1	2	100
16	6016#1	2	0
17	6017#1	3	100
18	6018#1	3	100
19	6019#1	3	100
20	6020#1	3	0
21	6021#1	4	100
22	6022#1	4	100
23	6023#1	4	100
24	6024#1	4	0
25	6025#1	5	100
26	6026#1	5	100
27	6027#1	5	100
28	6028#1	5	0
29	6029#1	6	100
30	6030#1	6	100
31	6031#1	6	100
32	6032#1	6	0
33	6033#1	7	100
34	6034#1	7	100
35	6035#1	7	100
36	6036#1	7	0
37	5#30	8	250
38	5#40	8	250
39	5#50	8	250
40	5#20	8	250
41	5#30	8	250
42	5#40	8	250
