Id	ComonpentsId	Stage	Cost	BaseAttribute	ExtraAdd
int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2
1	6001	1	6001#1|5#0	1#81|3#22	null
2	6001	2	6001#1|5#20	1#162|3#44	0#63#100
3	6001	3	6001#1|5#35	1#243|3#66	null
4	6001	4	6001#1|5#50	1#324|3#88	null
5	6001	5	6001#2|5#75	1#405|3#110	null
6	6001	6	6001#2|5#100	1#486|3#132	null
7	6001	7	6001#2|5#130	1#567|3#154	0#63#100
8	6001	8	6001#3|5#160	1#648|3#176	null
9	6001	9	6001#3|5#195	1#729|3#198	null
10	6001	10	6001#3|5#235	1#810|3#220	null
11	6001	11	6001#3|5#280	1#891|3#242	null
12	6001	12	6001#3|5#330	1#972|3#264	null
13	6001	13	6001#3|5#380	1#1053|3#286	null
14	6001	14	6001#4|5#435	1#1134|3#308	null
15	6001	15	6001#5|5#495	1#1215|3#330	0#63#100
16	6001	16	6001#6|5#555	1#1296|3#352	null
17	6001	17	6001#8|5#620	1#1377|3#375	null
18	6001	18	6001#10|5#690	1#1458|3#397	null
19	6001	19	6001#21|5#765	1#1539|3#419	null
20	6001	20	6001#30|5#840	1#1620|3#441	0#63#100
21	6002	1	6002#1|5#0	1#81|2#22	null
22	6002	2	6002#1|5#20	1#162|2#44	0#64#100
23	6002	3	6002#1|5#35	1#243|2#66	null
24	6002	4	6002#1|5#50	1#324|2#88	null
25	6002	5	6002#2|5#75	1#405|2#110	null
26	6002	6	6002#2|5#100	1#486|2#132	null
27	6002	7	6002#2|5#130	1#567|2#154	0#64#100
28	6002	8	6002#3|5#160	1#648|2#176	null
29	6002	9	6002#3|5#195	1#729|2#198	null
30	6002	10	6002#3|5#235	1#810|2#220	null
31	6002	11	6002#3|5#280	1#891|2#242	null
32	6002	12	6002#3|5#330	1#972|2#264	null
33	6002	13	6002#3|5#380	1#1053|2#286	null
34	6002	14	6002#4|5#435	1#1134|2#308	null
35	6002	15	6002#5|5#495	1#1215|2#330	0#64#100
36	6002	16	6002#6|5#555	1#1296|2#352	null
37	6002	17	6002#8|5#620	1#1377|2#375	null
38	6002	18	6002#10|5#690	1#1458|2#397	null
39	6002	19	6002#21|5#765	1#1539|2#419	null
40	6002	20	6002#30|5#840	1#1620|2#441	0#64#100
41	6003	1	6003#1|5#0	1#81|4#22	null
42	6003	2	6003#1|5#20	1#162|4#44	0#61#100
43	6003	3	6003#1|5#35	1#243|4#66	null
44	6003	4	6003#1|5#50	1#324|4#88	null
45	6003	5	6003#2|5#75	1#405|4#110	null
46	6003	6	6003#2|5#100	1#486|4#132	null
47	6003	7	6003#2|5#130	1#567|4#154	0#61#100
48	6003	8	6003#3|5#160	1#648|4#176	null
49	6003	9	6003#3|5#195	1#729|4#198	null
50	6003	10	6003#3|5#235	1#810|4#220	null
51	6003	11	6003#3|5#280	1#891|4#242	null
52	6003	12	6003#3|5#330	1#972|4#264	null
53	6003	13	6003#3|5#380	1#1053|4#286	null
