ID	SkillId	PassiveSkillId	Cost	ComonpentPreStage
int	int	mut,int#int,1	mut,int#int,2	int
101	500101	null	null	1
102	500102	null	5#40	2
103	500103	null	5#60	3
104	500104	null	5#80	4
105	500105	null	5#100	5
106	500106	null	5#120	6
107	500107	null	5#140	7
108	500108	null	5#160|6#1	8
109	500109	null	5#180|6#1	9
110	500110	null	5#200|6#1	10
111	500111	null	5#220|6#2	11
112	500112	null	5#240|6#2	12
113	500113	null	5#260|6#2	13
114	500114	null	5#280|6#2	14
115	500115	null	5#300|6#3	15
116	500116	null	5#320|6#3	16
117	500117	null	5#340|6#3	17
118	500118	null	5#360|6#3	18
119	500119	null	5#380|6#3	19
120	500120	null	5#400|6#4	20
201	500201	null	null	1
202	500202	null	5#40	2
203	500203	null	5#60	3
204	500204	null	5#80	4
205	500205	null	5#100	5
206	500206	null	5#120	6
207	500207	null	5#140	7
208	500208	null	5#160|6#1	8
209	500209	null	5#180|6#1	9
210	500210	null	5#200|6#1	10
211	500211	null	5#220|6#2	11
212	500212	null	5#240|6#2	12
213	500213	null	5#260|6#2	13
214	500214	null	5#280|6#2	14
215	500215	null	5#300|6#3	15
216	500216	null	5#320|6#3	16
217	500217	null	5#340|6#3	17
218	500218	null	5#360|6#3	18
219	500219	null	5#380|6#3	19
220	500220	null	5#400|6#4	20
301	500301	null	null	1
302	500302	null	5#40	2
303	500303	null	5#60	3
304	500304	null	5#80	4
305	500305	null	5#100	5
306	500306	null	5#120	6
307	500307	null	5#140	7
308	500308	null	5#160|6#1	8
309	500309	null	5#180|6#1	9
310	500310	null	5#200|6#1	10
311	500311	null	5#220|6#2	11
312	500312	null	5#240|6#2	12
313	500313	null	5#260|6#2	13
314	500314	null	5#280|6#2	14
315	500315	null	5#300|6#3	15
316	500316	null	5#320|6#3	16
317	500317	null	5#340|6#3	17
318	500318	null	5#360|6#3	18
319	500319	null	5#380|6#3	19
320	500320	null	5#400|6#4	20
401	500401	null	null	1
402	500402	null	5#40	2
403	500403	null	5#60	3
404	500404	null	5#80	4
405	500405	null	5#100	5
406	500406	null	5#120	6
407	500407	null	5#140	7
408	500408	null	5#160|6#1	8
409	500409	null	5#180|6#1	9
410	500410	null	5#200|6#1	10
411	500411	null	5#220|6#2	11
412	500412	null	5#240|6#2	12
413	500413	null	5#260|6#2	13
414	500414	null	5#280|6#2	14
415	500415	null	5#300|6#3	15
416	500416	null	5#320|6#3	16
417	500417	null	5#340|6#3	17
418	500418	null	5#360|6#3	18
419	500419	null	5#380|6#3	19
420	500420	null	5#400|6#4	20
501	500501	null	null	1
502	500502	null	5#240|6#1	2
503	500503	null	5#360|6#1	3
504	500504	null	5#480|6#2	4
505	500505	null	5#600|6#2	5
506	500506	null	5#720|6#3	6
507	500507	null	5#840|6#3	7
508	500508	null	5#960|6#4	8
509	500509	null	5#1080|6#5	9
510	500510	null	5#1200|6#8	10
511	500511	null	5#1320|6#11	11
512	500512	null	5#1440|6#14	12
513	500513	null	5#1560|6#17	13
514	500514	null	5#1680|6#20	14
515	500515	null	5#1800|6#23	15
516	500516	null	5#1920|6#26	16
517	500517	null	5#2040|6#29	17
518	500518	null	5#2160|6#32	18
519	500519	null	5#2280|6#35	19
520	500520	null	5#2400|6#38	20
601	500601	null	null	1
602	500602	null	5#240|6#1	2
603	500603	null	5#360|6#1	3
604	500604	null	5#480|6#2	4
605	500605	null	5#600|6#2	5
606	500606	null	5#720|6#3	6
607	500607	null	5#840|6#3	7
608	500608	null	5#960|6#4	8
609	500609	null	5#1080|6#5	9
610	500610	null	5#1200|6#8	10
