Id	Name	Type	GlobalSystemId	Sort	OpenRules	TaskType	RechargeID	CycleTime
int	string	int	int	int	mut,int#int,1	int	int	int
1	68010001	2	1503	1	1#25	1	9101	0
2	68010002	2	1503	2	3#250	1	9102	0
3	68010003	2	1503	3	3#450	1	9103	0
4	68010004	2	1503	4	3#600	1	9104	0
5	68010005	2	1503	5	3#750	1	9105	0
6	68010015	2	1503	6	3#900	1	9106	0
7	68010016	2	1503	7	3#1050	1	9107	0
8	68010006	1	1502	1	3#400	2	9201	0
9	68010007	3	1504	1	1#40	3	9301	30
10	68010008	1	1505	1	1#90	4	9401	0
11	68010017	2	1506	1	1#30	5	9501	0
12	68010018	2	1506	2	4#350	5	9502	0
13	68010019	2	1506	3	4#600	5	9503	0
14	68010020	2	1506	4	4#800	5	9504	0
15	68010021	2	1506	5	4#1000	5	9505	0
16	68010022	3	1507	1	1#25	6	9601	30
