Id	Level	Exp	Props	Skill
int	int	mut,int#int,1	mut,int#int,2	int
1	0	101#10	null	0
2	1	101#50	62#1000|61#1000	0
3	2	101#100	62#1000|61#1000|55#1000|60#1000	0
4	3	101#200	62#1000|61#1000|55#1000|60#1000|56#1000|113#1000	0
5	4	101#300	62#1000|61#1000|55#1000|60#1000|56#1000|113#1000|63#1000|64#1000	0
6	5	101#400	62#1000|61#1000|55#1000|60#1000|56#1000|113#1000|63#1000|64#1000|51#1000|52#1000	1201080
7	6	101#500	62#2500|61#2500|55#1000|60#1000|56#1000|113#1000|63#1000|64#1000|51#1000|52#1000	0
8	7	101#600	62#2500|61#2500|55#2500|60#2500|56#1000|113#1000|63#1000|64#1000|51#1000|52#1000	0
9	8	101#800	62#2500|61#2500|55#2500|60#2500|56#2500|113#2500|63#1000|64#1000|51#1000|52#1000	0
10	9	101#1000	62#2500|61#2500|55#2500|60#2500|56#2500|113#2500|63#2500|64#2500|51#1000|52#1000	0
11	10	null	62#2500|61#2500|55#2500|60#2500|56#2500|113#2500|63#2500|64#2500|51#2500|52#2500	0
