Id	Level	Integral	Reward	TreasureReward
int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2
1	0	102#140	14#20000	16#100
2	140	102#280	19#2	20#1|19#3
3	280	102#420	1201#500	1201#1000|16#300
4	420	102#560	1201#500	1201#1000|16#300
5	560	102#700	1201#500	1201#1000|16#300
6	700	102#840	12013#5	12013#10|1007#1
7	840	102#980	19#2	20#1|19#3
8	980	102#1120	1201#500	1201#1000|16#300
9	1120	102#1260	1201#500	1201#1000|16#300
10	1260	102#1400	1201#500	1201#1000|16#300
11	1400	102#1540	12013#5	12013#10|1007#1
12	1540	102#1680	19#2	20#1|19#3
13	1680	102#1820	1201#500	1201#1000|16#300
14	1820	102#1960	1201#500	1201#1000|16#300
15	1960	102#2100	1201#500	1201#1000|16#300
16	2100	102#2240	12013#5	12013#10|1007#1
17	2240	102#2380	19#2	20#1|19#3
18	2380	102#2520	1201#500	1201#1000|16#300
19	2520	102#2660	1201#500	1201#1000|16#300
20	2660	102#2800	1201#500	1201#1000|16#300
21	2800	102#2940	1007#1	12013#10|1007#1
22	2940	102#3080	19#2	20#1|19#3
23	3080	102#3220	1201#500	1201#1000|16#300
24	3220	102#3360	1201#500	1201#1000|16#300
25	3360	102#3500	1201#500	1201#1000|16#300
26	3500	102#3640	12013#5	12013#10|1007#1
27	3640	102#3780	19#2	20#1|19#3
28	3780	102#3920	1201#500	1201#1000|16#300
29	3920	102#4060	1201#500	1201#1000|16#300
30	4060	102#4200	1201#500	1201#1000|16#300
31	4200	102#4340	12013#5	12013#10|1007#1
32	4340	102#4480	19#2	20#1|19#3
33	4480	102#4620	1201#500	1201#1000|16#300
34	4620	102#4760	1201#500	1201#1000|16#300
35	4760	102#4900	1201#500	1201#1000|16#300
36	4900	102#5040	1007#1	12013#10|1007#1
37	5040	102#5180	null	19#5
38	5180	102#5320	null	16#500
39	5320	102#5460	null	12013#10
40	5460	102#5600	null	1001#1500|1007#1
41	5600	102#5740	null	20#1|1001#2500
42	5740	102#5880	null	1001#5000
43	5880	102#6020	null	66#600
44	6020	102#6160	null	19#5
45	6160	102#6300	null	12013#10
46	6300	102#6440	null	20#1|1007#1
47	6440	102#6580	null	1001#2500
48	6580	102#6720	null	66#600
49	6720	102#6860	null	19#5
50	6860	102#7000	null	1001#5000
51	7000	null	null	20#2|1007#1
