Id	Quality	Type	Level	Property	Experience	Resolve
int	int	int	int	mut,int#int,2	int	int
5000101	2	1	1	2#200	60	120
5000102	2	1	2	2#220	120	171
5000103	2	1	3	2#240	240	273
5000104	2	1	4	2#270	480	477
5000105	2	1	5	2#300	960	885
5000106	2	1	6	2#330	1920	1701
5000107	2	1	7	2#370	3840	3333
5000108	2	1	8	2#410	7680	6597
5000109	2	1	9	2#450	15360	13125
5000110	2	1	10	2#500	0	26181
5000201	2	2	1	3#200	60	120
5000202	2	2	2	3#220	120	171
5000203	2	2	3	3#240	240	273
5000204	2	2	4	3#270	480	477
5000205	2	2	5	3#300	960	885
5000206	2	2	6	3#330	1920	1701
5000207	2	2	7	3#370	3840	3333
5000208	2	2	8	3#410	7680	6597
5000209	2	2	9	3#450	15360	13125
5000210	2	2	10	3#500	0	26181
5000301	2	3	1	4#200	60	120
5000302	2	3	2	4#220	120	171
5000303	2	3	3	4#240	240	273
5000304	2	3	4	4#270	480	477
5000305	2	3	5	4#300	960	885
5000306	2	3	6	4#330	1920	1701
5000307	2	3	7	4#370	3840	3333
5000308	2	3	8	4#410	7680	6597
5000309	2	3	9	4#450	15360	13125
5000310	2	3	10	4#500	0	26181
5000401	2	4	1	1#2000	60	120
5000402	2	4	2	1#2100	120	171
5000403	2	4	3	1#2250	240	273
5000404	2	4	4	1#2500	480	477
5000405	2	4	5	1#2750	960	885
5000406	2	4	6	1#3150	1920	1701
5000407	2	4	7	1#3650	3840	3333
5000408	2	4	8	1#4150	7680	6597
5000409	2	4	9	1#4750	15360	13125
5000410	2	4	10	1#5500	0	26181
5010101	3	1	1	2#300	120	480
5010102	3	1	2	2#340	240	582
5010103	3	1	3	2#380	480	786
5010104	3	1	4	2#440	960	1194
5010105	3	1	5	2#500	1920	2010
5010106	3	1	6	2#580	3840	3642
5010107	3	1	7	2#680	7680	6906
5010108	3	1	8	2#780	15360	13434
5010109	3	1	9	2#880	30720	26490
5010110	3	1	10	2#1000	0	52602
5010201	3	2	1	3#300	120	480
5010202	3	2	2	3#340	240	582
5010203	3	2	3	3#380	480	786
5010204	3	2	4	3#440	960	1194
5010205	3	2	5	3#500	1920	2010
5010206	3	2	6	3#580	3840	3642
5010207	3	2	7	3#680	7680	6906
5010208	3	2	8	3#780	15360	13434
5010209	3	2	9	3#880	30720	26490
5010210	3	2	10	3#1000	0	52602
5010301	3	3	1	4#300	120	480
5010302	3	3	2	4#340	240	582
5010303	3	3	3	4#380	480	786
5010304	3	3	4	4#440	960	1194
5010305	3	3	5	4#500	1920	2010
5010306	3	3	6	4#580	3840	3642
5010307	3	3	7	4#680	7680	6906
5010308	3	3	8	4#780	15360	13434
5010309	3	3	9	4#880	30720	26490
5010310	3	3	10	4#1000	0	52602
5010401	3	4	1	1#3500	120	480
5010402	3	4	2	1#3800	240	582
5010403	3	4	3	1#4300	480	786
5010404	3	4	4	1#4900	960	1194
5010405	3	4	5	1#5500	1920	2010
5010406	3	4	6	1#6300	3840	3642
5010407	3	4	7	1#7300	7680	6906
5010408	3	4	8	1#8300	15360	13434
5010409	3	4	9	1#9500	30720	26490
5010410	3	4	10	1#11000	0	52602
5010501	3	5	1	55#100	120	480
5010502	3	5	2	55#200	240	582
5010503	3	5	3	55#300	480	786
5010504	3	5	4	55#400	960	1194
5010505	3	5	5	55#500	1920	2010
5010506	3	5	6	55#600	3840	3642
5010507	3	5	7	55#700	7680	6906
5010508	3	5	8	55#800	15360	13434
5010509	3	5	9	55#900	30720	26490
5010510	3	5	10	55#1000	0	52602
5010601	3	6	1	56#100	120	480
5010602	3	6	2	56#200	240	582
5010603	3	6	3	56#300	480	786
5010604	3	6	4	56#400	960	1194
5010605	3	6	5	56#500	1920	2010
5010606	3	6	6	56#600	3840	3642
5010607	3	6	7	56#700	7680	6906
5010608	3	6	8	56#800	15360	13434
5010609	3	6	9	56#900	30720	26490
5010610	3	6	10	56#1000	0	52602
5020101	4	1	1	2#500	240	960
5020102	4	1	2	2#560	480	1164
5020103	4	1	3	2#620	960	1572
5020104	4	1	4	2#710	1920	2388
5020105	4	1	5	2#800	3840	4020
5020106	4	1	6	2#920	7680	7284
5020107	4	1	7	2#1040	15360	13812
5020108	4	1	8	2#1190	30720	26868
5020109	4	1	9	2#1340	61440	52980
5020110	4	1	10	2#1500	0	105204
5020201	4	2	1	3#500	240	960
5020202	4	2	2	3#560	480	1164
5020203	4	2	3	3#620	960	1572
5020204	4	2	4	3#710	1920	2388
5020205	4	2	5	3#800	3840	4020
5020206	4	2	6	3#920	7680	7284
5020207	4	2	7	3#1040	15360	13812
5020208	4	2	8	3#1190	30720	26868
5020209	4	2	9	3#1340	61440	52980
5020210	4	2	10	3#1500	0	105204
5020301	4	3	1	4#500	240	960
5020302	4	3	2	4#560	480	1164
5020303	4	3	3	4#620	960	1572
5020304	4	3	4	4#710	1920	2388
5020305	4	3	5	4#800	3840	4020
5020306	4	3	6	4#920	7680	7284
5020307	4	3	7	4#1040	15360	13812
5020308	4	3	8	4#1190	30720	26868
5020309	4	3	9	4#1340	61440	52980
5020310	4	3	10	4#1500	0	105204
5020401	4	4	1	1#6000	240	960
5020402	4	4	2	1#6600	480	1164
5020403	4	4	3	1#7200	960	1572
5020404	4	4	4	1#8100	1920	2388
5020405	4	4	5	1#9000	3840	4020
5020406	4	4	6	1#10200	7680	7284
5020407	4	4	7	1#11400	15360	13812
5020408	4	4	8	1#12900	30720	26868
5020409	4	4	9	1#14400	61440	52980
5020410	4	4	10	1#16500	0	105204
5020501	4	5	1	55#150	240	960
5020502	4	5	2	55#300	480	1164
5020503	4	5	3	55#450	960	1572
5020504	4	5	4	55#600	1920	2388
5020505	4	5	5	55#750	3840	4020
5020506	4	5	6	55#900	7680	7284
5020507	4	5	7	55#1050	15360	13812
5020508	4	5	8	55#1200	30720	26868
5020509	4	5	9	55#1350	61440	52980
5020510	4	5	10	55#1500	0	105204
5020601	4	6	1	56#150	240	960
5020602	4	6	2	56#300	480	1164
5020603	4	6	3	56#450	960	1572
5020604	4	6	4	56#600	1920	2388
5020605	4	6	5	56#750	3840	4020
5020606	4	6	6	56#900	7680	7284
5020607	4	6	7	56#1050	15360	13812
5020608	4	6	8	56#1200	30720	26868
5020609	4	6	9	56#1350	61440	52980
5020610	4	6	10	56#1500	0	105204
5020701	4	7	1	58#100	240	960
5020702	4	7	2	58#200	480	1164
5020703	4	7	3	58#300	960	1572
5020704	4	7	4	58#400	1920	2388
5020705	4	7	5	58#500	3840	4020
5020706	4	7	6	58#600	7680	7284
5020707	4	7	7	58#700	15360	13812
5020708	4	7	8	58#800	30720	26868
5020709	4	7	9	58#900	61440	52980
5020710	4	7	10	58#1000	0	105204
5020801	4	8	1	57#100	240	960
5020802	4	8	2	57#200	480	1164
5020803	4	8	3	57#300	960	1572
5020804	4	8	4	57#400	1920	2388
5020805	4	8	5	57#500	3840	4020
5020806	4	8	6	57#600	7680	7284
5020807	4	8	7	57#700	15360	13812
5020808	4	8	8	57#800	30720	26868
5020809	4	8	9	57#900	61440	52980
5020810	4	8	10	57#1000	0	105204
5030101	5	1	1	2#1000	480	3000
5030102	5	1	2	2#1080	960	3408
5030103	5	1	3	2#1160	1920	4224
5030104	5	1	4	2#1240	3840	5856
5030105	5	1	5	2#1320	7680	9120
5030106	5	1	6	2#1400	15360	15648
5030107	5	1	7	2#1520	30720	28704
5030108	5	1	8	2#1640	61440	54816
5030109	5	1	9	2#1800	122880	107040
5030110	5	1	10	2#2000	0	211488
5030201	5	2	1	3#1000	480	3000
5030202	5	2	2	3#1080	960	3408
5030203	5	2	3	3#1160	1920	4224
5030204	5	2	4	3#1240	3840	5856
5030205	5	2	5	3#1320	7680	9120
5030206	5	2	6	3#1400	15360	15648
5030207	5	2	7	3#1520	30720	28704
5030208	5	2	8	3#1640	61440	54816
5030209	5	2	9	3#1800	122880	107040
5030210	5	2	10	3#2000	0	211488
5030301	5	3	1	4#1000	480	3000
5030302	5	3	2	4#1080	960	3408
5030303	5	3	3	4#1160	1920	4224
5030304	5	3	4	4#1240	3840	5856
5030305	5	3	5	4#1320	7680	9120
5030306	5	3	6	4#1400	15360	15648
5030307	5	3	7	4#1520	30720	28704
5030308	5	3	8	4#1640	61440	54816
5030309	5	3	9	4#1800	122880	107040
5030310	5	3	10	4#2000	0	211488
5030401	5	4	1	1#12000	480	3000
5030402	5	4	2	1#12600	960	3408
5030403	5	4	3	1#13200	1920	4224
5030404	5	4	4	1#13800	3840	5856
5030405	5	4	5	1#14600	7680	9120
5030406	5	4	6	1#15600	15360	15648
5030407	5	4	7	1#16800	30720	28704
5030408	5	4	8	1#18400	61440	54816
5030409	5	4	9	1#20000	122880	107040
5030410	5	4	10	1#22000	0	211488
5030501	5	5	1	55#200	480	3000
5030502	5	5	2	55#400	960	3408
5030503	5	5	3	55#600	1920	4224
5030504	5	5	4	55#800	3840	5856
5030505	5	5	5	55#1000	7680	9120
5030506	5	5	6	55#1200	15360	15648
5030507	5	5	7	55#1400	30720	28704
5030508	5	5	8	55#1600	61440	54816
5030509	5	5	9	55#1800	122880	107040
5030510	5	5	10	55#2000	0	211488
5030601	5	6	1	56#200	480	3000
5030602	5	6	2	56#400	960	3408
5030603	5	6	3	56#600	1920	4224
5030604	5	6	4	56#800	3840	5856
5030605	5	6	5	56#1000	7680	9120
5030606	5	6	6	56#1200	15360	15648
