id	key	value
int	string	string
1	adventuren_boss_find_reward_title	25010001
2	adventuren_boss_find_reward__txt	25010001
3	adventuren_boss_kill_reward_title	25010001
4	adventuren_boss_kill_reward__txt	25010001
5	adventure_boss_reward_title	25010001
6	adventure_boss_reward_txt	25010001
7	arena_daily_reward_title	25010002
8	arena_daily_reward_txt	25010003
9	arena_season_reward_title	25010004
10	arena_season_reward_txt	25010005
11	adventuren_reward_of_uplevel_title	25010006
12	adventuren_reward_of_uplevel_content	25010007
13	adventuren_reward_of_viplevel_title	25010006
14	adventuren_reward_of_viplevel_content	25010008
15	lamp_lottery_content	25010009
16	lamp_rankup_hero_content	25010010
17	lamp_lottery_differ_content_6	25010001
18	lamp_activate_differ_content_6	25010001
19	lamp_rankup_differ_content_6	25010001
20	lamp_lottery_differ_content_7	25010001
21	lamp_activate_differ_content_7	25010001
22	lamp_rankup_differ_content_7	25010001
23	lamp_lottery_equip_content	25010011
24	lamp_lottery_equipsign_content	25010001
25	lamp_lottery_equiptalisman_content	25010001
26	lamp_rankup_equipsign_content	25010001
27	lamp_rankup_equiptalisman_content	25010001
28	recharge_first_title	25010012
29	recharge_first_txt	25010013
30	recharge_3_title	25010014
31	recharge_3_txt	25010015
32	recharge_4_title	25010016
33	recharge_4_txt	25010017
34	map_overtime_title	25010001
35	map_overtime_txt	25010001
36	recharge_1_title	25010018
37	recharge_1_txt	25010019
38	recharge_1_daily_title	25010020
39	recharge_1_daily_txt	25010021
40	recharge_6_title	25010022
41	recharge_6_txt	25010023
42	recharge_6_daily_title	25010024
43	recharge_6_daily_txt	25010025
44	recharge_6_stars_title	25010026
45	recharge_6_stars_txt	25010027
46	luck_cat_take_reward_content	25010028
47	powerrank_activity_title	25010029
48	powerrank_activity_txt	25010030
49	recharge_7_daily_title	25010001
50	recharge_7_daily_txt	25010001
51	guild.logCreate	25010031
52	guild.logJoin	25010032
53	guild.logKick	25010033
54	guild.logTransfer	25010034
55	guild.logAppointment	25010035
56	guild.logLevel	25010036
57	expertrank_activity_title	25010037
58	expertrank_activity_txt	25010038
59	opencarnival_activity_10_title	25010039
60	opencarnival_activity_10_txt	25010040
61	opencarnival_activity_25_title	25010001
62	opencarnival_activity_25_txt	25010001
63	guild_breakup_title	25010041
64	guild_breakup_txt	25010042
65	receive_activity_title	25010037
66	receive_activity_txt	25010043
67	welfare_activity_daily_title	25010044
68	welfare_activity_daily_txt	25010045
69	silence_txt	25010046
70	name_repeat_txt	25010047
71	bug_unify_title	25010048
72	bug_unify_txt	25010049
73	change_name_title	25010050
74	change_name_txt	25010051
75	bloody_season_title	25010001
76	bloody_season_txt	25010001
77	questionnaire_title	25010001
78	questionnaire_txt	25010001
79	equip_bag_limit_title	25010052
80	equip_bag_limit_txt	25010053
81	EquipSign_bag_limit_title	25010001
82	EquipSign_bag_limit_txt	25010001
83	EquipTalismana_bag_limit_title	25010001
84	EquipTalismana_bag_limit_txt	25010001
85	Conversion_title	25010054
86	Conversion_txt	25010055
87	change_playername_title	25010050
88	change_playername_txt	25010056
89	Sunlong_Gift_Bag_title	25010057
90	Sunlong_Gift_Bag_txt	25010058
91	Sunlong_Integral_title	25010059
